"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"20100184","SMAS MUHAMMADIYAH 14 JAKARTA","JL. DANAU LIMBOTO NO. 2","Prop. D.K.I. Jakarta","SMA","-6.2080000","106.8082000"
"20103424","SMAS ARENA SISWA 2","JL. KRAMAT ASEM RAYA NO. 46","Prop. D.K.I. Jakarta","SMA","-6.2035000","106.8707000"
"20101625","SMAN 16 JAKARTA","JL. BELIBIS TERUSAN NO. 16","Prop. D.K.I. Jakarta","SMA","-6.1933000","106.7862000"
"20103284","SMAN 14 JAKARTA","JL. SMA BARAT CILILITAN","Prop. D.K.I. Jakarta","SMA","-6.2563000","106.8678000"
"20101622","SMAN 2 JAKARTA","JL. GAJAH MADA NO. 175","Prop. D.K.I. Jakarta","SMA","-6.1485000","106.8161000"
"20100795","SMAN 73 JAKARTA","JL. RAYA CAKUNG CILINCING","Prop. D.K.I. Jakarta","SMA","-6.1115000","106.9244000"
"20103181","SMAS MUHAMMADIYAH 12 JAKARTA","JL. KHA DAHLAN NO. 20","Prop. D.K.I. Jakarta","SMA","-6.2088000","106.8630000"
"20107400","SMAS YAPPENDA","JL. SWASEMBADA TIMUR V NO. 10","Prop. D.K.I. Jakarta","SMA","-6.1252000","106.8905000"
"20103425","SMAS ANGKASA 2 H PERDANAKUSUMA","AVIA KOMPLEK SKADRON","Prop. D.K.I. Jakarta","SMA","-6.2755000","106.8883000"
"20107275","SMAS 28 OKTOBER 1928","JL. Mampang Prapatan XI","Prop. D.K.I. Jakarta","SMA","-6.2629000","106.8176000"
"20107398","SMAS WIJAYA KUSUMA JAKARTA","JL. BANDENGAN UTARA NO. 80","Prop. D.K.I. Jakarta","SMA","-6.1359000","106.8017000"
"20103204","SMAS DIPONEGORO 2 JAKARTA","JL. KAYU TINGGI CAKUNG","Prop. D.K.I. Jakarta","SMA","-6.1798000","106.9479000"
"20107382","SMAS KRISTEN IPEKA PLUIT","JL. PLUIT TIMUR B UTARA NO. 1","Prop. D.K.I. Jakarta","SMA","-6.1211000","106.7743000"
"20107342","SMAS YMIK 2 JAKARTA","MANGGARAI UTARA VII","Prop. D.K.I. Jakarta","SMA","-6.2112000","106.8522000"
"20104438","SMAS SUMPAH PEMUDA","JL.RAYA JOGLO NO.36","Prop. D.K.I. Jakarta","SMA","-6.2204000","106.7369000"
"20177916","SMAS LENTERA INDONESIA","JL. SULTAN ISKANDAR MUDA NO. 98","Prop. D.K.I. Jakarta","SMA","-6.2510000","106.7763000"
"20100603","SMAS KRISTEN YUSUF","JL. ARWANA 2/16 JEMBATAN DUA","Prop. D.K.I. Jakarta","SMA","-6.1414000","106.7948000"
"69856892","SMA NORTH JAKARTA INTERCULTURAL SCHOOL","JL. BOULEVARD BUKIT GADING RAYA","Prop. D.K.I. Jakarta","SMA","-6.1585530","106.8960250"
"20107374","SMA DARMA SATRIA PERSADA","JL. KOMPLEK TELUK INDAH BLOK Q2 NO. 2-4","Prop. D.K.I. Jakarta","SMA","-6.1392000","106.7740000"
"20100183","SMAS MUHAMMADIYAH 16 JAKARTA","JL. KALIBARU BARAT NO. 52D","Prop. D.K.I. Jakarta","SMA","-6.1699000","106.8465000"
"20103238","SMAS IGN SLAMET RIYADI","JL. RAYA BOGOR KM.24","Prop. D.K.I. Jakarta","SMA","-6.3169000","106.8624000"
"20107307","SMAS ISLAM AL-KHOLIDIN JAKARTA","Jalan Wijaya I Blok O Komp Masjid Syarif Hidayatullah","Prop. D.K.I. Jakarta","SMA","-6.2471000","106.8063000"
"20100811","SMAN 41 JAKARTA","JL. LAKS. RE MARTADINATA","Prop. D.K.I. Jakarta","SMA","-6.1304000","106.8525000"
"20101327","SMAS 3 KALAM KUDUS","JL.GREEN GARDEN B4 / 1","Prop. D.K.I. Jakarta","SMA","-6.1894000","106.7614000"
"20107399","SMAS YANIIC JAKARTA","JL. TELUK SEMANGKA NO. 103","Prop. D.K.I. Jakarta","SMA","-6.1411000","106.9278000"
