"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"20253934","SMAS IT ATTAUHID BABELAN","KP. MUARA PINANG LIMA","Prop. Jawa Barat","SMA","-6.0957000","107.0529000"
"20244679","SMAS YAKPI SUSUKAN","JL. KH. BUNYAMIN NO. 03","Prop. Jawa Barat","SMA","-6.6276000","108.3758000"
"20219794","SMAS KRISTEN PAULUS","JL. RAJIMAN NO. 11","Prop. Jawa Barat","SMA","-6.9036000","107.5995000"
"20235627","SMAS PGRI JATINANGOR","JL. RAYA JATINANGOR HEGARMANAH JATINANGOR - SUMEDANG","Prop. Jawa Barat","SMA","-6.9289000","107.7795000"
"20246453","SMAS ATTAQWA 02 BABELAN","JL. MASJID HIDAYATULLAH PULO ASEM BABELAN","Prop. Jawa Barat","SMA","-6.1703000","107.0265000"
"20220342","SMAN 1 BOGOR","JL. IR.H. JUANDA NO.16","Prop. Jawa Barat","SMA","-6.5974000","106.7933000"
"20227819","SMA AL-HUDA ARJASARI","JL. BABAKAN MANTRI PINGGIRSARI ARJASARI","Prop. Jawa Barat","SMA","-7.0634590","107.6320630"
"20237991","SMAN 1 MUARAGEMBONG","JL. PANTAI LAUT , KEC. MUARAGEMBONG, BEKASI","Prop. Jawa Barat","SMA","-6.0066000","107.0280000"
"20246376","SMAS AT TAWAZUN","JL. Sirnaraga Dusun Mekarsari RT 03/01","Prop. Jawa Barat","SMA","-6.5270000","107.6844000"
"20235621","SMAN CIMANGGUNG","JL. BUNTER CIHANJUANG","Prop. Jawa Barat","SMA","-6.9569000","107.8209000"
"20223059","SMAS AL IHSAN","JL. BELUT 1 PERUMNAS 2 BEKASI SELATAN","Prop. Jawa Barat","SMA","-6.2463000","106.9868000"
"20251798","SMAS PLUS INFORMATIKA","JL. BOJONGHUNI NO. 9 CIAMIS","Prop. Jawa Barat","SMA","-7.3236255","108.3459017"
"20213886","SMAN 1 RAJAGALUH","JL. MUTIARA NO.60 RAJAGALUH","Prop. Jawa Barat","SMA","-6.7767000","108.3419000"
"20212957","SMA NEGERI 1 SUBANG","JL. H.O. ISKANDAR 4 SUBANG","Prop. Jawa Barat","SMA","-7.1294000","108.5253000"
"20212950","SMA NEGERI 1 CIWARU","JL. RAYA 11 APRIL","Prop. Jawa Barat","SMA","-7.0862000","108.6412000"
"69874079","SMA REGINA CAELI","PERUM METLAND TRANSYOGI KM 1 CILEUNGSI BOGOR","Prop. Jawa Barat","SMA","-6.4136360","107.0200640"
"20233655","SMAN 1 SERANG PANJANG","JL. RAYA CIJENGKOL SAGALAHERANG","Prop. Jawa Barat","SMA","-6.6753000","107.6448000"
"20256636","SMA PASUNDAN MAJALAYA","JL. LEUWIDULANG NO. 22","Prop. Jawa Barat","SMA","-7.0480000","107.7528000"
"20280604","SMAS FUTURE GATE","JL YUDISTIRA KOMP PEMDA BLOK A","Prop. Jawa Barat","SMA","-6.2788000","106.9649000"
"20224107","SMA MUHAMMADIYAH 1","JL. JEND AMIR MACHMUD NO. 7","Prop. Jawa Barat","SMA","-6.8797000","107.5497000"
"20200670","SMAS DARUTAFSIR","JL. KP. PABUARAN KAUM DS. CIBANTENG RT 03/02","Prop. Jawa Barat","SMA","-6.6089000","106.5947000"
"20210745","SMAS ISLAM CIPASUNG","JL. PONPES CIPASUNG","Prop. Jawa Barat","SMA","-7.3499000","108.1272000"
"69918146","SMAN 4 CIBINONG","Jl. BOJONG KONENG RT 01 RW 01","Prop. Jawa Barat","SMA","-6.4862133","106.8582783"
"20208392","SMAN TANJUNGSARI","JL. RAYA TANJUNGSARI NO. 404 GUDANG - SUMEDANG","Prop. Jawa Barat","SMA","-6.8970000","107.8104000"
"69857938","SMAN 12 KOTA DEPOK","Jl. Cipayung No.27","Prop. Jawa Barat","SMA","-6.4199867","106.7955550"
"69881559","SMAN 1 CISAYONG","Jl. RAYA CISINGA KM. 19","Prop. Jawa Barat","SMA","-7.2443660","108.1272680"
"20215023","SMAS MUHAMMADIYAH KEDAWUNG","JL. TUPAREV NO. 70 A","Prop. Jawa Barat","SMA","-6.7104000","108.5371000"
"20227469","SMAN 9 GARUT","JL. BOJONGSARI TANGSI NO. 224","Prop. Jawa Barat","SMA","-7.0608000","108.0907000"
"20224124","SMA SANTA MARIA 3","JL. GATOT SUBROTO NO. 6","Prop. Jawa Barat","SMA","-6.8767000","107.5455000"
"20219750","SMAS ASIA AFRIKA 55","JL.A.YANI NO.107","Prop. Jawa Barat","SMA","-6.9202000","107.6211000"
"20220312","SMAS TUNAS HARAPAN","JL. PAHLAWAN NO.140","Prop. Jawa Barat","SMA","-6.6147933","106.8036400"
"20203719","SMAS MUHAMADIYAH CIPANAS","JL. SUKASARI NO. 47","Prop. Jawa Barat","SMA","-6.7298000","107.0371000"
"20227866","SMAS MUSLIMIN CIPONGKOR","JL. PLTA SAGULING DS BARANANGSIANG CIPONGKOR","Prop. Jawa Barat","SMA","-6.8502000","107.4922000"
"20237369","SMAS MUHAMMADIYAH KARAWANG","JL. K.H. Ahmad Dahlan No. 10-12 Kaum I Kel. Karawang Kulon, Karawang 41311","Prop. Jawa Barat","SMA","-6.3102000","107.2918000"
"20202261","SMAN 1 CISAAT","JL. VETERAN KM. 3 KAB.SUKABUMI","Prop. Jawa Barat","SMA","-6.9251917","106.8807117"
"20251791","SMAN 1 BANJARAN","JL. CIAPUS NO. 07","Prop. Jawa Barat","SMA","-7.0532000","107.5895000"
"20224115","SMA BUDI LUHUR","JL. KERKOF NO. 214 RT. 10/08 KP. PADAKASIH","Prop. Jawa Barat","SMA","-6.8888000","107.5314000"
"20220314","SMAS MUHAMMADIYAH","JL. PAHLAWAN GG RD SALEH 55","Prop. Jawa Barat","SMA","-6.6107633","106.7981517"
