"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"20300736","SMA MUHAMMADIYAH 1 MAJENANG","JL. KAUMAN NO. 2 JENANG","Prop. Jawa Tengah","SMA","-7.2984000","108.7619000"
"20307640","SMAN 1 BANDONGAN","JL. JANGKUNGAN","Prop. Jawa Tengah","SMA","-7.4603000","110.1834000"
"20300728","SMA NEGERI 2 CILACAP","JL. KETAPANG NO. 75, CILACAP","Prop. Jawa Tengah","SMA","-7.6866000","109.0362000"
"20309706","SMAS MUHAMMADIYAH 5 JUWIRING","JL. BULUREJO","Prop. Jawa Tengah","SMA","-7.6512000","110.7320000"
"20338218","SMAS MA ARIF NU AJIBARANG","JL. RAYA PANDANSARI AJIBARANG","Prop. Jawa Tengah","SMA","-7.4035000","109.0800000"
"20309680","SMAN 1 KARANGANOM","JL. RAYA 3 KARANGANOM","Prop. Jawa Tengah","SMA","-7.6498000","110.6272000"
"20319299","SMAN 3 DEMAK","JL. SULTAN TRENGGONO NO.81","Prop. Jawa Tengah","SMA","-6.9043000","110.5980000"
"20338223","SMAS MUHAMMADIYAH 1 PURWOKERTO","JL. DOKTER ANGKA NO. 1 PURWOKERTO","Prop. Jawa Tengah","SMA","-7.4155960","109.2311680"
"20325279","SMAN 3 SLAWI","JL. PROF. MOH. YAMIN SLAWI","Prop. Jawa Tengah","SMA","-6.9773000","109.1340000"
"20306190","SMAN 10 PURWOREJO","KALIKOTES KEC. PITURUH, PURWOREJO","Prop. Jawa Tengah","SMA","-7.6623000","109.8406000"
"20319283","SMAS PEMBANGUNAN MRANGGEN","JL. KEMBANGARUM NO. 148 MRANGGEN","Prop. Jawa Tengah","SMA","-7.0212000","110.5238000"
"20307711","SMAN 1 NGLUWAR","Dongkelan","Prop. Jawa Tengah","SMA","-7.6557000","110.2745000"
"20329521","SMA Hasyim Asy`ari","Jl. Dr. Wahidin No. 104 Pekalongan","Prop. Jawa Tengah","SMA","-6.8969000","109.6807000"
"20338226","SMAS PGRI GUMELAR","JL. PRAMUKA NO. 4 GUMELAR","Prop. Jawa Tengah","SMA","-7.3599000","108.9706000"
"20300755","SMA NEGERI 1 DAYEUHLUHUR","JL. WIRAPRAJA NO. 17","Prop. Jawa Tengah","SMA","-7.2585000","108.6084000"
"20321853","SMAN 1 LIMBANGAN","JL. RAYA LIMBANGAN BOJA","Prop. Jawa Tengah","SMA","-7.1582000","110.3101000"
"20308626","SMAS MUHAMMADIYAH 4 ANDONG","JL SOLO - KARANGGEDE","Prop. Jawa Tengah","SMA","-7.3748000","110.7677000"
"20308607","SMAS BHINNEKA KARYA 3 TERAS","JL RAYA SOLO - BOYOLALI","Prop. Jawa Tengah","SMA","-7.5415000","110.6605000"
