"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"20400391","SMA NEGERI 1 JETIS","JL. Imogiri Barat KM. 11, Kertan","Prop. D.I. Yogyakarta","SMA","-7.8903000","110.3747000"
"20401145","SMAN 1 KALASAN","JL. BOGEM KALASAN","Prop. D.I. Yogyakarta","SMA","-7.7574000","110.4836000"
"20401151","SMAS MUHAMMADIYAH 1 SLEMAN","JL. MAGELANG KM. 13 SLEMAN","Prop. D.I. Yogyakarta","SMA","-7.7052000","110.3467000"
"20403146","SMAS STELLA DUCE 2","JL. DR. SUTOMO NO. 16","Prop. D.I. Yogyakarta","SMA","-7.7959000","110.3784000"
"69944313","SMA BUDI UTAMA","Jl. Wijayakusuma 121B, Kutu Dukuh","Prop. D.I. Yogyakarta","SMA","-7.7580598","110.3609967"
"20401161","SMAN 1 DEPOK","BABARSARI CATURTUNGGAL","Prop. D.I. Yogyakarta","SMA","-7.7736000","110.4129000"
"20401152","SMAS MUHAMMADIYAH 1 PRAMBANAN","JL. GATAK, BOKOHARJO","Prop. D.I. Yogyakarta","SMA","-7.7686000","110.4912000"
"20402124","SMAN 1 KARANGMOJO","NGIPAK, KARANGMOJO 55891","Prop. D.I. Yogyakarta","SMA","-7.9659417","110.6725767"
"20400869","SMAS INSTITUT INDONESIA BERBAH","JL. WONOSARI KM. 8  BERBAH","Prop. D.I. Yogyakarta","SMA","-7.8212000","110.4257000"
"20402040","SMA GOTONG ROYONG SEMIN","BAKALAN, PUNDUNGSARI, SEMIN","Prop. D.I. Yogyakarta","SMA","-7.8660000","110.7385000"
"20402041","SMA DOMINIKUS WONOSARI","Jl. Mgr. Sugiyopranoto No 29 Wonosari Gunungkidul","Prop. D.I. Yogyakarta","SMA","-7.9706767","110.6076500"
"20401156","SMAS KOLESE DE BRITTO DEPOK","JL. LAKSDA ADISUCIPTO 161","Prop. D.I. Yogyakarta","SMA","-7.7813000","110.3924000"
"69947314","SMA ISLAM TERPADU BAITUSSALAM","Pulerejo","Prop. D.I. Yogyakarta","SMA","-7.7446000","110.4901000"
"20402120","SMAN 1 PATUK","BUNDER, PATUK 55862","Prop. D.I. Yogyakarta","SMA","-7.8759000","110.5428000"
"20403182","SMAS BOPKRI 2","JL. JEND. SUDIRMAN NO.87","Prop. D.I. Yogyakarta","SMA","-7.7826000","110.3773000"
"20402117","SMAN 1 SEMANU","SEMANU KIDUL 55893","Prop. D.I. Yogyakarta","SMA","-8.0104000","110.6454000"
"20403161","SMAN 8 YOGYAKARTA","JL. SIDOBALI NO.1","Prop. D.I. Yogyakarta","SMA","-7.8003000","110.3954000"
