"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"20521714","SMAN 1 PRAJEKAN","JL. RAYA SITUBONDO - PRAJEKAN","Prop. Jawa Timur","SMA","-7.7987000","113.9775000"
"20501847","SMAS HANG TUAH 2 GEDANGAN","JL. KRI RATULANGGI NO. 1","Prop. Jawa Timur","SMA","-7.3686000","112.7295000"
"69773538","SMAS SAADHATUT DHARAIN","Dusun Saloros","Prop. Jawa Timur","SMA","-7.0236000","113.2350000"
"20529955","SMAN 2 SUMENEP","JL. KH. WAHID HASYIM III / 11","Prop. Jawa Timur","SMA","-7.0139000","113.8559000"
"20534744","SMAS PGRI 1","JL.  RAYA SURODINAWAN","Prop. Jawa Timur","SMA","-7.4843000","112.4231000"
"69912058","SMAS AL-THOLIBIL ULUM","Dusun Sorren","Prop. Jawa Timur","SMA","-6.9062180","113.2922040"
"20546523","SMAS NURUL JADID","JL. KARANGANYAR","Prop. Jawa Timur","SMA","-7.7130000","113.4970000"
"20549429","SMAS MAARIF NU AL IKHLAS AL MUHDOR YOSO","JL. MAKAM 01","Prop. Jawa Timur","SMA","-8.2491000","113.2572000"
"20505011","SMAN 1 SINGGAHAN","Jl. Raya Mulyoagung No. 1122 Singgahan Tuban","Prop. Jawa Timur","SMA","-6.9623000","111.7863000"
"20539032","SMAS NU BANCAR","JL. DESA BULUJOWO BANCAR","Prop. Jawa Timur","SMA","-6.7707000","111.7193000"
"20507733","SMAN 1 MEJAYAN","JL P SUDIRMAN NO 82","Prop. Jawa Timur","SMA","-7.5478290","111.6523000"
"20532394","SMAS KARTIKA IV-3 SURABAYA","JL. BRAWIJAYA NO. 38","Prop. Jawa Timur","SMA","-7.2974000","112.7284000"
"20551981","SMAS DARUL KHOLIL","JL, KALI MODERN TUNJUNG 11","Prop. Jawa Timur","SMA","-7.0445000","112.7863000"
"20542534","SMAS AL - AZIS BANGIL","JL. LAYUR No. 99 GEMPENG BANGIL","Prop. Jawa Timur","SMA","-7.5949000","112.7934000"
"20532139","SMAS KATOLIK SANTO STANISLAUS","JL. KALIJUDAN  23 - 25","Prop. Jawa Timur","SMA","-7.2607000","112.7736000"
"20500652","SMAS ISLAMIYAH BAWEAN","JL. RAYA TAMBAK NO. 101 A","Prop. Jawa Timur","SMA","-5.7308000","112.6471000"
"20539244","SMAS YAPITA","JL. ARIF RAHMAN HAKIM NO. 19","Prop. Jawa Timur","SMA","-7.2899000","112.7973000"
"20511964","SMAN 1 WATES","JL.POJOK - KC WATES-KAB.KEDIRI","Prop. Jawa Timur","SMA","-7.9164000","112.0932000"
"20511949","SMAN 1 PURWOASRI","Jln. Pahlawan Ds. Ketawang Kec. Purwoasri Kab. Kediri","Prop. Jawa Timur","SMA","-7.6652000","112.1192000"
"20503625","SMA ISLAM NGORO","JL. MERAPI NGORO","Prop. Jawa Timur","SMA","-7.7070000","112.2531000"
"20574536","SMA AL MUSLIM ","JL. RAYA WADUNG ASRI 39 F","Prop. Jawa Timur","SMA","-7.3492000","112.7675000"
"20515429","SMAN 1 NGUNUT","JL. RAYA SUMBERINGIN KIDUL","Prop. Jawa Timur","SMA","-8.1312000","112.0046000"
"20546518","SMAS ISLAM MAMBAUL ULUM","JL. KH. ASYARI KALIACAR","Prop. Jawa Timur","SMA","-7.8581000","113.4164000"
"20540301","SMA PGRI NGORO","JL. KAWI 6b NGORO","Prop. Jawa Timur","SMA","-7.6914000","112.2641000"
"69864665","SMA BAHRUL HUDA","Dusun Sumber Anyar","Prop. Jawa Timur","SMA","-7.2193480","113.4651480"
"20501704","SMAN 1 TARIK","JL.RAYA JANTI","Prop. Jawa Timur","SMA","-7.4334000","112.5231000"
"20540052","SMAS DHARMA WANITA 1","JL. RAYA GEDANGAN NO. 107","Prop. Jawa Timur","SMA","-7.3907000","112.7278000"
"20513142","SMAS DIPONEGORO NGANJUK","JL. KH. AGUS SALIM NO. 6","Prop. Jawa Timur","SMA","-7.6028000","111.8995000"
