"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"10110251","SMAS AL NURA LHOKSUKON","JL. COT GIREK NO.7","Prop. Aceh","SMA","4.9928000","97.3921000"
"10110901","SMAN 3 SIMEULUE BARAT","JL. AMA UMPUL","Prop. Aceh","SMA","2.4484000","96.3039000"
"10107963","SMAN 3 KUALA","JL.KEUCHIK INTAN PD. PAYANGAN","Prop. Aceh","SMA","4.0496000","96.2704000"
"10100572","SMAN 1 GLUMPANG TIGA","JL. BANDA ACEH - MEDAN KM. 129,8","Prop. Aceh","SMA","5.2481090","96.0122780"
"10100569","SMAN 1 BANDAR BARU","JL. BANDA ACEH - MEDAN KM 135 LUENG PUTU","Prop. Aceh","SMA","5.1852000","96.0815000"
"10110554","SMA NEGERI 2 TANAH JAMBO AYE","JL. T. CHIK DITUNONG PANTON LABU KEC.TANAH JAMBO AYE KAB.ACEH UTARA","Prop. Aceh","SMA","4.8598000","97.4533000"
"10100195","SMA NEGERI 1 INGIN JAYA","JL. TGK. COT MALEM","Prop. Aceh","SMA","5.5004300","95.3770917"
"10107157","SMAS SYAKIRAH","JL. BAKTI","Prop. Aceh","SMA","4.2258000","98.0644000"
"10105621","SMAN 3 LHOKSEUMAWE","JL. PEUTUA MALEM HAGU BARAT LAUT LSM","Prop. Aceh","SMA","5.1984890","97.1326800"
"10104525","SMA NEGERI 1 BLANGPEGAYON","JL. BLANGBENGKIK","Prop. Aceh","SMA","3.9692170","97.3349620"
"10101309","SMA NEGERI 1 MATANG KULI","JL. BABUSSALAM PUTRA","Prop. Aceh","SMA","5.0209000","97.2939000"
"10107086","SMA NEGERI 1 JULI","Jl. Gayo Km. 10 Beunyot","Prop. Aceh","SMA","5.1907000","96.7292000"
"69874011","SMA UNGGUL HIDAYATUL ILMI","Jl. Pulo Paya - KeudeeTrumon Sigleng","Prop. Aceh","SMA","2.8685180","97.6315060"
"10104315","SMAN 2 PATRA NUSA MANYAK PAYED","JL. MEDAN - BANDA ACEH KM-452 KAMPUNG BUKIT PANJANG DUA","Prop. Aceh","SMA","4.4063000","98.0389000"
"10107194","SMAN 10 FAJAR HARAPAN BANDA ACEH","JL. FAJAR HARAPAN ATEUK JAWO","Prop. Aceh","SMA","5.5355000","95.3270000"
"10113243","SMAN 6 DARUL MAKMUR","PULO TENGAH","Prop. Aceh","SMA","3.9920000","96.5703000"
"69759157","SMA NEGERI 1 PIRAK TIMU","JLN. CUT MEUTIA","Prop. Aceh","SMA","4.9944500","97.2756810"
"10103103","SMAN 1 LAWE ALAS","JL. CINGKAM MERANGGUN","Prop. Aceh","SMA","3.4196000","97.8233000"
"69874009","SMA NEGERI TRUMON TENGAH","Jl. Tapaktuan - Medan","Prop. Aceh","SMA","2.9039220","97.6521440"
