"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"10258263","SMA NEGERI 1 GOMO","JL. BAWOLUO NO. 1 DESA SIFAOROASI GOMO","Prop. Sumatera Utara","SMA",".8518000","97.7802000"
"10214160","SMAS RK DELI MURNI DISKI SUNGGAL","JL. BINJAI KM. 14,5 DISKI","Prop. Sumatera Utara","SMA","3.5998000","98.5561000"
"10208165","SMAN 1 MUARA SIPONGI","JL. MEDAN PADANG","Prop. Sumatera Utara","SMA",".5386000","99.8163000"
"10205380","SMAN 2 RANTAU UTARA","JL. MENARA NO. 4 RANTAUPRAPAT","Prop. Sumatera Utara","SMA","2.0982000","99.8202000"
"10262411","SMAS YAPIM TARUNA STABAT","JL. JEND. SUDIRMAN","Prop. Sumatera Utara","SMA","3.7513000","98.4736000"
"10257743","SMAN 1 PANTAI CERMIN","JL. MAYJEN H.T. RIZAL NURDIN NO. 01","Prop. Sumatera Utara","SMA","3.6404000","98.9667000"
"10220932","SMAS PULAU BRAYAN DARAT","JL. BILAL UJUNG NO. 3 MEDAN","Prop. Sumatera Utara","SMA","3.6325000","98.6746000"
"10262148","SMA NEGERI 1 ULUSUSUA","DESA RAMBA-RAMBA","Prop. Sumatera Utara","SMA",".7868000","97.7117000"
"10201343","SMAN 1 HINAI","JL. OLAH RAGA BATU MELENGGANG","Prop. Sumatera Utara","SMA","3.8366000","98.4312000"
"10258034","SMAS SWAKARYA","JL. SAMAN HUDI NO 17 BINJAI","Prop. Sumatera Utara","SMA","3.6002579","98.4784079"
"60728995","SMAS BRIGJEND KATAMSO II","JL MARELAN RAYA PSR III","Prop. Sumatera Utara","SMA","3.7350000","98.6244000"
"10212197","SMAS KAMPUS","JL. SUTAN SORIPADA MULIA 64 A","Prop. Sumatera Utara","SMA","1.3965000","99.2617000"
"10258275","SMA NEGERI 1 LOLOMATUA","JL.ULUNOYO","Prop. Sumatera Utara","SMA",".9418000","97.6231000"
"69899996","SMA NEGERI 1 RANTO BAEK","JL. LINTAS MANDAILING SUMBAR","Prop. Sumatera Utara","SMA",".5089482","99.4095123"
"69948912","SMAN 2 PARMONANGAN","DESA MANALU PURBA","Prop. Sumatera Utara","SMA","2.0856658","98.8345608"
"10210852","SMAN 18 MEDAN","JL. WAHIDIN NO. 15 A","Prop. Sumatera Utara","SMA","3.7017000","98.6510000"
"10214113","SMA CHANDRA KUSUMA","PERUMAHAN  CEMARA ASRI  BLOK O","Prop. Sumatera Utara","SMA","3.6357000","98.7067000"
"10212022","SMA SWASTA SISINGAMANGARAJA","Jln. Sisingamangaraja No.101","Prop. Sumatera Utara","SMA","2.9322000","99.8029000"
"10210840","SMAS ST PETRUS MEDAN","JL. LUKU I NO. 1","Prop. Sumatera Utara","SMA","3.5326000","98.6470000"
"10203520","SMAS PERGURUAN NASIONAL","JL. FL. TOBING NO. 42 SIDIKALANG","Prop. Sumatera Utara","SMA","2.7424000","98.3192000"
"10210725","SMAS CAHAYA MEDAN","JL. HAYAM WURUK NO. 11 MEDAN","Prop. Sumatera Utara","SMA","3.5807000","98.6658000"
"10261987","SMAS ADVENT TELADAN","KAMPUNG BARU III","Prop. Sumatera Utara","SMA","1.7542000","100.2223000"
"10210710","SMAS FREE METHODIST","JL. BERINGIN RAYA 152 -E","Prop. Sumatera Utara","SMA","3.6143000","98.6245000"
"10214134","SMAN 1 LUBUK PAKAM","JL. DR.WAHIDIN NO. 1","Prop. Sumatera Utara","SMA","3.5635390","98.8783660"
"10258337","SMAN 1 AFULU","JL. AFULU","Prop. Sumatera Utara","SMA","1.3040560","97.2664260"
"69733966","SMAS TUNAS HARAPAN","DESA SIMANGALAM","Prop. Sumatera Utara","SMA","2.4923000","99.7457000"
