"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"69912450","SMA ISLAM TERPADU NURUL ILMI","JL. Pendidikan No. 1 KM 12","Prop. Riau","SMA",".7028000","101.5614000"
"69922924","SMA PERSIAPAN NEGERI BANGKO PUSAKO","JL. PENDEKAR BAHAN","Prop. Riau","SMA","1.8519170","100.8832914"
"10402935","SMA NEGERI 1 KUNTO DARUSSALAM","JL.SEI RUMBAI NO.88 KOTA LAMA","Prop. Riau","SMA","1.1604000","100.8112000"
"10496358","SMAS PLUS TARUNA ANDALAN","KOMPLEK PER II PT. RAPP","Prop. Riau","SMA",".4446000","101.8302000"
"10403694","SMAN 1 GUNUNG TOAR","JL. PETAPAHAN","Prop. Riau","SMA","-.5674000","101.3863000"
"10402923","SMA NEGERI 1 KABUN","JL.GUA TUJUH SERANGKAI NO.55 KABUN","Prop. Riau","SMA",".7131000","100.4304000"
"10494308","SMAN 1 KELAYANG","JL. NEGARA SIMPANG KELAYANG","Prop. Riau","SMA","-.7120000","102.1079000"
"10400815","SMAN 2 PINGGIR","JL. MUAJOLELO","Prop. Riau","SMA","1.2111000","101.1613000"
"69953793","SMA NEGERI 2 TELUK MERANTI","JL. Lintas Bono","Prop. Riau","SMA",".4043961","102.8222206"
"10403695","SMAN 1 SINGINGI HILIR","JL. JEND. SUDIRMAN NO. 01 RT. 01 RW. 01","Prop. Riau","SMA","-.1839000","101.2806000"
"10497417","SMAN 4 BANGKO PUSAKO","JL. H. ZULKAINI  BANGKO SEMPURNA KM.20","Prop. Riau","SMA","1.7594000","100.8188000"
"10498727","SMA SWASTA MOHD. YUDHA","Jl. Hang Tuah","Prop. Riau","SMA",".9820000","102.5256000"
"10495490","SMAN 2 RUPAT","JL.H.SIHI","Prop. Riau","SMA","1.7382000","101.6774000"
"10405227","SMAS MUHAMMADIYAH BANGKO","JL. SGB","Prop. Riau","SMA","1.9440000","100.9079000"
