"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"10504580","SMAN 4 KOTA JAMBI","JL. IR. H. JUANDA NO.125","Prop. Jambi","SMA","-1.6274867","103.5849533"
"10505212","SMAN 13 TEBO","JL. TEBO - JAMBI","Prop. Jambi","SMA","-1.4832000","102.6586000"
"10501841","SMAS PHI KUALA TUNGKAL","JL. Ki Hajar Dewantara Parit. 2","Prop. Jambi","SMA","-.8340000","103.4698000"
"69873698","SMA NEGERI 3 TANAH SEPENGGAL","JL. TANAH TUMBUH","Prop. Jambi","SMA","-1.4499200","101.9785190"
"10505085","SMAN 4 MA BUNGO","JL. RANGKAYO HITAM","Prop. Jambi","SMA","-1.5014000","102.1291000"
"69822716","SMA NEGERI 12 SAROLANGUN","JL. RIO PAMUNCAK DUSUN BENSO","Prop. Jambi","SMA","-2.4029200","102.5756860"
"10505047","SMAN 14 MERANGIN","PASAR MASURAI","Prop. Jambi","SMA","-2.3693000","102.0132000"
"10503767","SMAN 7 SAROLANGUN","JLN. SEI BELATI RT.04 KELURAHAN SAROLANGUN KEMBANG","Prop. Jambi","SMA","-2.3040000","102.7317000"
"10500384","SMAS ZULHIJJAH MA BULIAN","JLN. GAJAH MADA","Prop. Jambi","SMA","-1.6934000","103.2717000"
"69892236","SMA-IT DARUL IKHLAS","Jln.Lintas Sumatra km.15 Tambang Baru","Prop. Jambi","SMA","-1.8372000","102.2427000"
"10503254","SMAN 7 TEBO","JL. APEL","Prop. Jambi","SMA","-1.4408000","102.2310000"
"10505159","SMAN 11 TEBO","JL.  AHMAD YANI","Prop. Jambi","SMA","-1.3211000","102.2044000"
"10504158","SMAN 2 TANJUNG JABUNG TIMUR","JL. INPRES KM. 3 5 MUARA SABAK","Prop. Jambi","SMA","-1.1283940","104.0957110"
"10504590","SMAS ATTAUFIQ","JL. GUNUNG KIDUL NO. 11","Prop. Jambi","SMA","-1.6028367","103.6290183"
"10505724","SMAN 13 KERINCI","SUNGAI TUTUNG","Prop. Jambi","SMA","-2.0170000","101.4208000"
"10503251","SMAN 4 TEBO","JL. AIR PANAS","Prop. Jambi","SMA","-1.5396000","102.7248000"
"10504553","SMAN 3 KOTA JAMBI","JL. GURU MUKTAR","Prop. Jambi","SMA","-1.6159000","103.6203000"
"10506158","SMAS ISLAM NURUL HUDA","JL. MASJID RT 07 TELUK KEMPAS","Prop. Jambi","SMA","-.7908000","103.0849000"
"10504160","SMAN 1 TANJUNG JABUNG TIMUR","JL. JEND. SUDIRMAN SK 16","Prop. Jambi","SMA","-1.1713000","104.0955000"
"10502393","SMAN 3 KERINCI","Jl. Raya Pulau Tengah","Prop. Jambi","SMA","-2.1755000","101.4687000"
"10503751","SMAN 1 SAROLANGUN","JL. TAMBIR SAROLANGUN","Prop. Jambi","SMA","-2.2861000","102.7128000"
"10502396","SMAN 9 KERINCI","TAMIAI","Prop. Jambi","SMA","-2.1856000","101.6373000"
"10505723","SMAN 12 KERINCI","SIULAK TENANG","Prop. Jambi","SMA","-1.9091000","101.2959000"
"10504623","SMAN 2 KOTA JAMBI","JL. PANGERAN ANTASARI","Prop. Jambi","SMA","-1.6077150","103.6328833"
"10500696","SMAN 2 TANAH TUMBUH","Jln. Dam Tapus Dusun Koto Jayo Kecamatan Tanah Tumbuh","Prop. Jambi","SMA","-1.4458000","101.8718000"
"10505807","SMAN 9 BATANG HARI","JL.SEKOLAH","Prop. Jambi","SMA","-1.9140000","103.1350000"
"10505852","SMAN 15 TEBO","Jl. Yogyakarta","Prop. Jambi","SMA","-1.4389000","102.3629000"
"69727092","SMA NEGERI 4 PENGABUAN","JL. LINTAS TIMUR, DESA TELUK KETAPANG","Prop. Jambi","SMA","-.8102000","103.1128000"
"10502389","SMAN 6 KERINCI","TANJUNG TANAH","Prop. Jambi","SMA","-2.2494000","101.5911000"
"10504559","SMAS NOMMENSEN","JL. BARAU - BARAU I","Prop. Jambi","SMA","-1.6125400","103.6302750"
