"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"10605915","SMA PGRI INDRALAYA UTARA","JL. RAYA NEGARA KM. 32","Prop. Sumatera Selatan","SMA","-3.2129000","104.6790000"
"10603844","SMA NEGERI 03 PALEMBANG","JL. JEND. SUDIRMAN KM 3,5 PALEMBANG","Prop. Sumatera Selatan","SMA","-2.9652000","104.7477000"
"10601455","SMAN 1 MERAPI BARAT","JLN. LINTAS SUMATERA KM. 12 MERAPI BARAT","Prop. Sumatera Selatan","SMA","-3.7954000","103.7000000"
"10646047","SMAN 2 LALAN","DESA PURWA  AGUNG","Prop. Sumatera Selatan","SMA","-2.2575000","103.9567000"
"10603857","SMA NEGERI 18 PALEMBANG","JL. MAYOR RUSLAN NO. 1172  PALEMBANG","Prop. Sumatera Selatan","SMA","-2.9638000","104.7666000"
"10609766","SMA MUHAMMADIYAH 1 LUBUKLINGGAU","JL. GARUDA HITAM","Prop. Sumatera Selatan","SMA","-3.2335000","102.7841000"
"10603846","SMA NEGERI 15 PALEMBANG","JL. KS. TUBUN NO. 10 PALEMBANG","Prop. Sumatera Selatan","SMA","-2.9798000","104.7579000"
"69944823","SMAN 3 MESUJI RAYA","JL. DESA BALIAN RT.01 RW.04","Prop. Sumatera Selatan","SMA","-3.7244073","105.1899404"
"69876823","SMAN 3 TALANG UBI","JALAN LINTAS PENDOPO BENAKAT MINYAK","Prop. Sumatera Selatan","SMA","-3.2907000","103.6891000"
"10648845","SMAN 3 SANGA DESA ","DUSUN 1 DESA MACANG SAKTI","Prop. Sumatera Selatan","SMA","-2.7640000","103.3830000"
"10644998","SMAN 1 PULAU RIMAU","JL. SUNGAI JUARO DESA RAWA BANDA","Prop. Sumatera Selatan","SMA","-2.6059000","104.4615000"
"10609667","SMA MUHAMMADIYAH 09 PALEMBANG","JL. FAQIH USMAN NO.16","Prop. Sumatera Selatan","SMA","-3.0047000","104.7562000"
"10646206","SMAN 2 KELUANG","KEC. KELUANG","Prop. Sumatera Selatan","SMA","-2.6369000","103.8965000"
"10643840","SMA NEGERI 1 MUARA KUANG","JL. RAYA MUARA KUANG NO.237","Prop. Sumatera Selatan","SMA","-3.6423000","104.5648000"
"10609763","SMA BINA SATRIA LUBUKLINGGAU","JL. Garuda KM. 03 Kel. Lubuk tanjung","Prop. Sumatera Selatan","SMA","-3.3126000","102.8389000"
"10609313","SMAN 1 TANJUNG LUBUK","JL. RAYA KOMERING","Prop. Sumatera Selatan","SMA","-3.5561000","104.7459000"
"10609644","SMA INSANIYAH PALEMBANG","JL. KI. MEROGAN LR. KI. BANTEN PALEMBANG","Prop. Sumatera Selatan","SMA","-3.0216000","104.7508000"
"10610293","SMAN CAMPUR SARI","JL. SEMATUNG","Prop. Sumatera Selatan","SMA","-2.8335000","103.0825000"
"69875548","SMAN 2 TANAH ABANG","JALAN RAYA TANAH ABANG MODONG DESA SEDUPI","Prop. Sumatera Selatan","SMA","-3.3366470","104.1948180"
"10609921","SMA NEGERI OLAHRAGA SRIWIJAYA PALEMBANG","JL. MALUKU V PALEMBANG","Prop. Sumatera Selatan","SMA","-3.0469000","104.7916000"
"10609874","SMAS NU PAGAR ALAM","JL. PRATU SUHIR  CIKJIN NO. 49","Prop. Sumatera Selatan","SMA","-4.0214000","103.1872000"
"10646147","SMAN 1 LUBAI ULU","JL. RAYA PRABUMULIH - BATURAJA KM 45","Prop. Sumatera Selatan","SMA","-3.6902000","104.0636000"
"10644162","SMAN PLUS 2 BANYUASIN III","JL. K.H. SULAIMAN PKL. BALAI","Prop. Sumatera Selatan","SMA","-2.8984000","104.3826000"
"10603850","SMA NEGERI 10 PALEMBANG","JL. SRIJAYA NEGARA BUKIT BESAR PALEMBANG","Prop. Sumatera Selatan","SMA","-2.9938000","104.7260000"
"10605584","SMAN 1 BAYUNG LENCIR","JL. RAYA PLG-JAMBI KM 209","Prop. Sumatera Selatan","SMA","-2.0888000","103.9783000"
"10643908","SMAN 3 PRABUMULIH","JL.  M. YUSUF WAHID SUKAJADI","Prop. Sumatera Selatan","SMA","-3.4414000","104.2509000"
"10648119","SMAN 1 GUMAY ULU","JLN. DESA SUMBER KARYA","Prop. Sumatera Selatan","SMA","-3.9325000","103.4649000"
"10646277","SMAN 1 MEKAKAU ILIR","Jalan Kemang Bandung","Prop. Sumatera Selatan","SMA","-4.7320000","103.8056000"
"10605602","SMAS PGRI SEKAYU","JL. KOL. WAHID UDIN KAYUARA","Prop. Sumatera Selatan","SMA","-2.9085000","103.8082000"
"10605600","SMAS PGRI BABAT TOMAN","Jl. Gotong Royong Lk. IV Kel. Babat","Prop. Sumatera Selatan","SMA","-2.7354000","103.6360000"
"10647875","SMAS SYIHABUDDIN","JL. RAYA KOMERING","Prop. Sumatera Selatan","SMA","-3.6273000","104.7028000"
"69825139","SMA NAHDHOTUL ISLAM SRI TIGA","JL. TANJUNG API-API KM 52","Prop. Sumatera Selatan","SMA","-2.5555000","104.8569000"
"10643909","SMAN 4 PRABUMULIH","JL. BATURAJA KEL. TG. RAMBANG","Prop. Sumatera Selatan","SMA","-3.5547000","104.2615000"
"10600240","SMAN 1 BABAT TOMAN","Jl. Sekolah No. 01 Kelurahan Babat Kecamatan Babat Toman Kab. Musi Banyuasin","Prop. Sumatera Selatan","SMA","-2.7381000","103.6356000"
"10609670","SMA NURUL AMAL PALEMBANG","Jl. Gersik Lr. Singkil/Selada No.127","Prop. Sumatera Selatan","SMA","-2.9623000","104.7614000"
"10609620","SMA AL-AMALUL KHAIR PALEMBANG","JL. LUNJUK JAYA RT. 48","Prop. Sumatera Selatan","SMA","-2.9821000","104.7303000"
"10601461","SMAS SANTO YOSEF LAHAT","JLN. SEKOLAH NO. 13 LAHAT","Prop. Sumatera Selatan","SMA","-3.7946000","103.5301000"
"10609308","SMAN 1 MESUJI MAKMUR","JL. PEMATANG PANGGANG -BELITANG","Prop. Sumatera Selatan","SMA","-4.1771000","104.7488000"
"10645006","SMAS YP MANTRA","JL. A. RIVAI ABDULLAH 396 MARIANA","Prop. Sumatera Selatan","SMA","-2.9808000","104.8637000"
"10646240","SMAS SUMBER JAYA","DESA SUMBER JAYA","Prop. Sumatera Selatan","SMA","-4.0307000","104.7822000"
"10609686","SMA SEJAHTERA PALEMBANG","Jl. Ki Anwar Mangku","Prop. Sumatera Selatan","SMA","-3.0063000","104.8045000"
"10646286","SMAN SELANGIT","JL. LINTAS SUMATERA KM 21","Prop. Sumatera Selatan","SMA","-3.1327000","102.8154000"
"69947175","SMA NEGERI 2 ABAB","Jln. Pertamina Pengabuan","Prop. Sumatera Selatan","SMA","-3.1762864","104.2163678"
"10601448","SMAN 1 JARAI","JLN. MAYOR RUSLAN DESA KARANG TANDING","Prop. Sumatera Selatan","SMA","-3.9338000","103.2674000"
"10610271","SMAN 1 BANDING AGUNG","JL. NIAGARA","Prop. Sumatera Selatan","SMA","-4.8005000","103.9077000"
"10645761","SMAN 1 MUARA PAYANG","DESA LAWANG AGUNG LAMA","Prop. Sumatera Selatan","SMA","-3.9611000","103.3388000"
"10645847","SMAS ISLAM SHOLATUL FATIKH","Jln. Blok Pasar Desa Sumber Deras","Prop. Sumatera Selatan","SMA","-3.9275000","105.0786000"
"69929611","SMA AR - RIYADL","DESA MEKAR JADI","Prop. Sumatera Selatan","SMA","-2.4642383","103.9798256"
"10606625","SMAS YAIQLI JATI MULYO","DESA JATI MULYO II KEC. MADANG SUKU II KAB. OKU TIMUR PROV. SUMATERA SELATAN","Prop. Sumatera Selatan","SMA","-4.0932000","104.4424000"
"69867981","SMA TIARA NUSA PALEMBANG","JL. KOL H. BURLIAN LR. KAMIL NO 1061","Prop. Sumatera Selatan","SMA","-2.9438890","104.7333470"
"10609625","SMA BHAKTI NUSANTARA PALEMBANG","JL. GOTONG ROYONG SUNGAI BUAH PLG","Prop. Sumatera Selatan","SMA","-2.9669000","104.7321000"
"10648904","SMA IT IZZUDDIN PALEMBANG","JL. DEMANG LEBAR DAUN","Prop. Sumatera Selatan","SMA","-2.9745000","104.7262000"
"10647707","SMAN 5 PAGAR ALAM","JL. LINTAS PAGAR ALAM LAHAT","Prop. Sumatera Selatan","SMA","-4.0216000","103.4007000"
"10600902","SMAN 1 TANJUNG AGUNG","JL. LIBERTY SIMANJUNTAK NO. 14","Prop. Sumatera Selatan","SMA","-3.9578000","103.7383000"
"10604362","SMA BUDI UTOMO LUBUKLINGGAU","JL. BENGAWAN SOLO","Prop. Sumatera Selatan","SMA","-3.2889000","102.8610000"
"10646009","SMAN 1 RAMBANG","JL. RAYA SUGIH WARAS","Prop. Sumatera Selatan","SMA","-3.4908000","104.0202000"
