"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"10810216","SMAN 1 SEMAKA","JL. ALIM ULAMA KARANG REJO SEMAKA","Prop. Lampung","SMA","-5.5174000","104.5380000"
"10807030","SMA S FRANSISCUS","JL.BUMIMENANTI 2","Prop. Lampung","SMA","-5.3734000","105.2505000"
"69949194","SMA Islam Al Fattah","Kampung Tanjung Tiga Kecamatan Rebang Tangkas","Prop. Lampung","SMA","-4.6545763","104.3258625"
"10805049","SMAN 2 KOTA AGUNG","JL. SOEKARNO HATTA NO. 2 KOMPLEK ISLAMIC CENTER KOTAAGUNG","Prop. Lampung","SMA","-5.4872000","104.6427000"
"10809290","SMAN 1 MENGGALA","JL. CENDANA NO.5","Prop. Lampung","SMA","-4.5168000","105.2317000"
"10805043","SMAS XAVERIUS PRINGSEWU","JL. MAWAR I NO. 32","Prop. Lampung","SMA","-5.3594000","104.9784000"
"10809706","SMAN 17 BANDAR LAMPUNG","JL.SOEKARNO HATTA","Prop. Lampung","SMA","-5.4634000","105.3249000"
"10801947","SMAS PANCAKRIDA","JL. RAYA SRIMULYO KALIREJO","Prop. Lampung","SMA","-5.2070000","104.9599000"
"10806009","SMAS MA ARIF 3 SEKAMPUNG UDIK","JL. SUNAN AMPEL NO.08","Prop. Lampung","SMA","-5.3292000","105.5815000"
"69759260","SMAN 2 WAY SERDANG","JL. MERDEKA NO.07 DESA HADI MULYO","Prop. Lampung","SMA","-4.1738000","105.2268000"
"69949091","SMAN 1 BAKAUHENI","Jl. Pariwisata Batu Alif Desa Kelawi","Prop. Lampung","SMA","-5.8552000","105.7243000"
"10805032","SMAS PGRI 2 PRINGSEWU","JL. JOHAR NO.11","Prop. Lampung","SMA","-5.3617000","104.9872000"
"10806080","SMAN 1 RAMAN UTARA","JL.Raya Raman Aji","Prop. Lampung","SMA","-5.0190000","105.4215000"
"10814594","SMAS MAARIF 1 SUKATANI","JL. KI SUNTARA NO. 05","Prop. Lampung","SMA","-5.6509000","105.6131000"
"10815051","SMAN 1 ABUNG TINGGI","JL.A.GHAFAR NO.40","Prop. Lampung","SMA","-4.8796000","104.6401000"
"10807590","SMAS MA ARIF 1 METRO","JL. MR GELE HARUN 15 KAUMAN","Prop. Lampung","SMA","-5.1173000","105.3063000"
"10810592","SMAS ISLAM MA ARIF P PASIR","JL LINTAS TIMUR  SUMATERA BAKAUHENI","Prop. Lampung","SMA","-5.6728000","105.7800000"
"10809508","SMAS BHAKTI JAYA","JL. NEGERI CAMPANG JAYA","Prop. Lampung","SMA","-4.7099000","104.7613000"
"10802064","SMAN 1 TRIMURJO","JL.KARANG BOLONG 11 F","Prop. Lampung","SMA","-5.1150000","105.2523000"
"10806003","SMAS TELADAN WAY JEPARA","JL. PRAMUKA LABUHAN RATU 1","Prop. Lampung","SMA","-5.1676000","105.7450000"
"10807058","SMAN 12 BANDAR LAMPUNG","JL. LETK. HENDRO SURATMIN","Prop. Lampung","SMA","-5.3817000","105.3016000"
"10805990","SMAS MUHAMMADIYAH 1 GUNUNG PELINDUNG","Jalan KH Ahmad Dahlan Nomor 48 Gang VI Pelindung Jaya","Prop. Lampung","SMA","-5.4266000","105.7546000"
"10800683","SMAS MUTIARA","JL. RAYA NATAR PEMANGGILAN","Prop. Lampung","SMA","-5.3286000","105.2048000"
"10806031","SMAS IBNU SINA WAY JEPARA","JL. KAMPUS IBNU SINA","Prop. Lampung","SMA","-5.1508000","105.7919000"
