"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"30101954","SMAS PELITA JAYA JANGKANG","DUSUN ENGKOLAI JANGKANG","Prop. Kalimantan Barat","SMA",".5537000","110.8143000"
"30105453","SMAS PGRI 1 SINGKAWANG","JL. H. THALIB","Prop. Kalimantan Barat","SMA",".9139000","108.9952000"
"30106139","SMAN 4 SEKADAU","JL. Poros Setor Karya","Prop. Kalimantan Barat","SMA",".1801000","110.9490000"
"30102510","SMAN 1 SINTANG","JL. S. PARMAN 86 SINTANG","Prop. Kalimantan Barat","SMA",".0766000","111.4958000"
"30105086","SMAS SANTO PAULUS PONTIANAK","JL. AR. HAKIM","Prop. Kalimantan Barat","SMA","-.0280000","109.3357000"
"69948915","SMA NEGERI 2 JONGKONG","JL, LINTAS SENARA","Prop. Kalimantan Barat","SMA",".5987260","112.3036070"
"30100359","SMAS MUHAMMADIYAH SAMBAS","JL. MASUDI","Prop. Kalimantan Barat","SMA","1.3672000","109.3090000"
"30102506","SMAN 1 KET HULU","JL. PAHLAWAN No. 1","Prop. Kalimantan Barat","SMA",".9257000","110.8969000"
"69946354","SMA NEGERI 2 SIDING","KECAMATAN SIDING","Prop. Kalimantan Barat","SMA","1.2947060","109.8785810"
"30101105","SMAN 1 SUNGAI PINYUH","JL. PENDIDIKAN","Prop. Kalimantan Barat","SMA",".2751000","109.0781000"
"30101940","SMAN 1 NOYAN","JL.PETUNGUN","Prop. Kalimantan Barat","SMA",".6665000","110.5515000"
"30109656","SMAS TUNAS BANGSA","JL. ARTERI  SUPADIO","Prop. Kalimantan Barat","SMA","-.0870000","109.3684000"
"30109706","SMA ISLAM AL-ASY ARIYYAH","JL.PARWASAL","Prop. Kalimantan Barat","SMA","-.0154000","109.3433000"
"30100388","SMAN 1 SUBAH","JL.RAYA SUBAH SATAI","Prop. Kalimantan Barat","SMA","1.1607000","109.4800000"
"30102527","SMAS SINAR KASIH SINTANG","JL. AKCAYA II BLOK B NO. 3 SINTANG","Prop. Kalimantan Barat","SMA",".0722000","111.4980000"
"30105471","SMAS SOELTHAN M TSJAFIOEDDIN SINGKAWANG","JL. SM. TSJAFIOEDDIN NO. 84 SINGKAWANG","Prop. Kalimantan Barat","SMA",".9093000","108.9812000"
"30104505","SMAN 1 NGABANG","JL. VETERAN NGABANG","Prop. Kalimantan Barat","SMA",".5900000","110.0936000"
"30105079","SMAS ISLAM BAWARI","JL. MERDEKA NO 173","Prop. Kalimantan Barat","SMA","-.0220000","109.3301000"
"30101074","SMAN 2 MEMPAWAH HILIR","JL. CHANDRAMIDI","Prop. Kalimantan Barat","SMA",".3523000","108.9595000"
"30106122","SMAN 1 BELITANG HILIR","JL. ADI SUCIPTO SEI AYAK II","Prop. Kalimantan Barat","SMA",".1346000","111.2355000"
"30109893","SMAS AL RAHMAH SEKADAU","JLN. MERDEKA TIMUR KM. 7 SEKADAU","Prop. Kalimantan Barat","SMA","-.0421000","111.0059000"
"30102507","SMAN 1 KETUNGAU TENGAH","JL. SILIWANGI MERAKAI","Prop. Kalimantan Barat","SMA",".7059000","111.4496000"
"30101104","SMAN 1 SUNGAI RAYA","JL. ADISUCIPTO","Prop. Kalimantan Barat","SMA","-.0761000","109.3760000"
"30105211","SMAN 2 PONTIANAK","JL. RE. MARTADINATA","Prop. Kalimantan Barat","SMA","-.0153000","109.3163000"
"30103478","SMAN 1 NANGA TAYAP","JL. PROPINSI KM.1 NANGA TAYAP","Prop. Kalimantan Barat","SMA","-1.5282000","110.5615000"
"30104459","SMAS PAK KASIH SIDAS","JL. RAYA SIDAS","Prop. Kalimantan Barat","SMA",".3715000","109.8059000"
"69830120","SMAN 1 SIMPANG DUA","JL. KABUPATEN DESA SEMANDANG KANAN","Prop. Kalimantan Barat","SMA","-.7622210","110.2710640"
"30103480","SMAN 1 KETAPANG","JL. BASUKI RAHMAT NO. 63 KETAPANG","Prop. Kalimantan Barat","SMA","-1.8307000","109.9870000"
"30102513","SMAN 3 SINTANG","JL. PENDIDIKAN SINTANG","Prop. Kalimantan Barat","SMA",".0608000","111.4949000"
"30108133","SMAN 1 SAJAD","DESA TENGGULI KECAMATAN SAJAD","Prop. Kalimantan Barat","SMA","1.4025000","109.3741000"
"30106129","SMAN 1 SEKADAU","JL. MERDEKA NO. 40/B","Prop. Kalimantan Barat","SMA",".0144000","110.8748000"
"30107322","SMAN 1 KAYAN HILIR","NANGA MAU KEC. KAYAN HILIR","Prop. Kalimantan Barat","SMA","-.1098000","111.9202000"
"69949241","SMAN 1 MUARA PAWAN","JL. TANJUNG PURA","Prop. Kalimantan Barat","SMA","-1.8025072","110.0515533"
"69915792","SMA AL-BAYAN MUARA PAWAN","JL. PRAMUKA RT.2, RW.1 DESA SUKAMAJU","Prop. Kalimantan Barat","SMA","-1.7358823","110.1048532"
"69859358","SMA NEGERI 3 SUKADANA","Jl. Semanjak","Prop. Kalimantan Barat","SMA","-1.1813160","110.0788530"
"30102907","SMAN 1 EMBALOH HULU","JL. TAMANGGUNG L. KASSO","Prop. Kalimantan Barat","SMA","1.0965000","112.4620000"
"30101072","SMAN 1 SEGEDONG","JL. SY. ABUBAKAR","Prop. Kalimantan Barat","SMA",".1534000","109.1988000"
"30107325","SMAS KARYA KASIH MERAKAI","JL. MERAKAI - SINTANG","Prop. Kalimantan Barat","SMA",".6891000","111.5146000"
"30109717","SMAN 3 SUI RAYA","DESA SUI ASAM","Prop. Kalimantan Barat","SMA","-.2155000","109.5405000"
"30107740","SMAN 1 KUALA BEHE","JL.RAYA KUALA BEHE","Prop. Kalimantan Barat","SMA",".5329000","110.0820000"
"30105082","SMAS ISLAM HARUNIYAH PONTIANAK","JL. TANJUNG RAYA I","Prop. Kalimantan Barat","SMA","-.0357000","109.3530000"
"30106210","SMAN 2 TELUK KERAMAT","JALAN RAYA PIMPINAN","Prop. Kalimantan Barat","SMA","1.5560680","109.2166630"
"30108273","SMAS METHODIST SANGGAU LEDO","JL. SUMONDO","Prop. Kalimantan Barat","SMA","1.1442000","109.7001000"
"69831639","SMA Kristen Filadelfia Sadaniang","Jl. Dusun Tikalong","Prop. Kalimantan Barat","SMA",".6051490","109.1964050"
"69830077","SMA ISLAM AL-AZHAR PONTIANAK","Jl. Ahmad Yani, No. 2 Pontianak","Prop. Kalimantan Barat","SMA","-.0582000","109.3511000"
"30100390","SMAN 1 TEKARANG","JL.RAYA TEKARANG","Prop. Kalimantan Barat","SMA","1.2750000","109.1421000"
"30107739","SMAN 2 MANDOR","JL. RAYA NGARAK","Prop. Kalimantan Barat","SMA",".3449000","109.2965000"
"30108076","SMAN 2 MELIAU","Jl Kapuas RT 2 RW 1","Prop. Kalimantan Barat","SMA","-.1008000","110.3714000"
