"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"30200287","SMAN 1 KAPUAS BARAT","JL. PEMUDA KM. 1 MANDOMAI KEC.KAPUAS BARAT, KAB.KAPUAS.PROV.KALIMANTAN TENGAH","Prop. Kalimantan Tengah","SMA","-2.8382430","114.3928630"
"30203965","SMAS PERSIAPAN MONTALLAT","JL. GUNUNG TIMANG-MONTALLAT","Prop. Kalimantan Tengah","SMA","-1.3696000","114.7702000"
"30204214","SMAN 2 KATINGAN HILIR","JL.TJILIK RIWUT KM.2,5","Prop. Kalimantan Tengah","SMA","-1.8886000","113.3998000"
"69761873","SMAS HARAPAN DUSUN UTARA","DESA MARAWAN LAMA","Prop. Kalimantan Tengah","SMA","-1.5148000","114.7947000"
"30201455","SMAN 1 MENTAYA HULU","JL.YC RANGKAP RT.07 RW 3","Prop. Kalimantan Tengah","SMA","-2.1476000","112.3877000"
"30205406","SMAN 8 PALANGKARAYA","KEL. KAMELOH BARU","Prop. Kalimantan Tengah","SMA","-2.2649000","114.0641000"
"30205232","SMA NEGERI SATU ATAP 1 DUSUN UTARA","JALAN PEMBANGUNAN, DESA TARUSAN","Prop. Kalimantan Tengah","SMA","-1.5019000","114.8757000"
"30208764","SMAN 1 BUKIT RAYA","Jalan Raden Sura Rakit","Prop. Kalimantan Tengah","SMA","-.9401690","112.2522600"
"30204481","SMA NEGERI 2 DANAU SEMBULUH","JL. JARENANG NO.01 TELAGA PULANG","Prop. Kalimantan Tengah","SMA","-2.8650000","112.2700000"
"69896450","SMA NEGERI 2 TEWAH","Rangan Mihing","Prop. Kalimantan Tengah","SMA","-.9526000","113.6306000"
"69899253","SMA NEGERI 1 PAJU EPAT","Jl. Negara Tamiang Layang - Telang KM. 17","Prop. Kalimantan Tengah","SMA","-2.0897094","114.9707593"
"30200285","SMAS MUHAMMADIYAH KUALA KAPUAS","JL. BARITO NO. 11 KUALA KAPUAS","Prop. Kalimantan Tengah","SMA","-3.0094000","114.3950000"
"30203487","SMAS MUHAMMADIYAH 1","JL. RTA. MILONO KM. 1 NO.","Prop. Kalimantan Tengah","SMA","-2.2200000","113.9208000"
"30200286","SMAS ISLAM TERPADU BABUSSALAM","JL. PATIH RUMBIH NO. 22 RT 07/04  K KAPUAS","Prop. Kalimantan Tengah","SMA","-2.9914000","114.3859000"
"30200960","SMAS PGRI TUMPUNG LAUNG","DESA PARING LAHUNG,KEC.MONTALLAT","Prop. Kalimantan Tengah","SMA","-1.1935000","114.8264000"
"30202457","SMAN 1 BENUA LIMA","JL. PADAT KARYA  PASAR PANAS","Prop. Kalimantan Tengah","SMA","-2.1881000","115.2276000"
"30202255","SMA KATOLIK ST. ARNOLDUS JANSSEN KUALA KURUN","JL.DAMANG GAMAN NO.1 KUALA KURUN","Prop. Kalimantan Tengah","SMA","-1.1032000","113.8685000"
"30207361","SMA NEGERI 1 TANAH SIANG SELATAN","Jl.Putir Sikan KM. 4","Prop. Kalimantan Tengah","SMA","-.2485000","114.3832000"
"30203412","SMAS KATOLIK P RAYA","JL. TJILIK RIWUT KM 1 NO","Prop. Kalimantan Tengah","SMA","-1.9764000","113.8307000"
"30201850","SMAN 1 KOTAWARINGIN LAMA","JL. PANGKALAN MUNTAI KM.2","Prop. Kalimantan Tengah","SMA","-2.4757000","111.4275000"
"30200792","SMAN 1 KARAU KUALA","JL. BARITO RAYA","Prop. Kalimantan Tengah","SMA","-2.0418000","114.8960000"
"30203097","SMAS ASSERUYANIYYAH","JL. LETJEND S PARMAN","Prop. Kalimantan Tengah","SMA","-3.3698000","112.5529000"
"30203477","SMAN 3 PALANGKA RAYA","JL. G. OBOS NO","Prop. Kalimantan Tengah","SMA","-2.2158000","113.9162000"
"30203482","SMAS PARINTIS","JL.BENGARIS BUKIT PINANG.","Prop. Kalimantan Tengah","SMA","-2.2414000","113.9694000"
"30201430","SMAS MARANATHA SAMPIT","JL. S.PARMAN NO.27 SAMPIT","Prop. Kalimantan Tengah","SMA","-2.5374000","112.9621000"
"30203101","SMAN 1 SERUYAN TENGAH","JL. Tajudin Kusuma","Prop. Kalimantan Tengah","SMA","-1.9127000","112.1077000"
"30203799","SMAS PGRI -2 SAMPIT","Jl.II. DS.TERANTANG","Prop. Kalimantan Tengah","SMA","-2.4041000","113.0589000"
"30202960","SMA NEGERI 1 BATANG KAWA","JL. MANTIKEI NO. 8","Prop. Kalimantan Tengah","SMA","-1.7535000","111.2226000"
"30205270","SMAN 1 MIRI MANASA","Jl. Sma No. 01","Prop. Kalimantan Tengah","SMA","-.5789000","113.5384000"
