"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"30303639","SMAN 1 SATUI","JL.WARGA BARU 2","Prop. Kalimantan Selatan","SMA","-3.7743000","115.3930000"
"69772943","SMAS Nusantara","Jl. Transmigrasi","Prop. Kalimantan Selatan","SMA","-3.1851000","115.9951000"
"30305377","SMAN 1 UPAU","JL. MTQ RT. IV NO. 106","Prop. Kalimantan Selatan","SMA","-2.0685000","115.6119000"
"30301004","SMAN 1 TABUKAN","JL. RUMPUN BAMBU","Prop. Kalimantan Selatan","SMA","-2.8375000","114.6587000"
"30304435","SMAS PGRI 1 BANJARMASIN","JL. SULTAN ADAM","Prop. Kalimantan Selatan","SMA","-3.3046000","114.6048000"
"30303861","SMAN 1 JUAI","JL. SETIA KARSA KOMP. PENDIDIKAN MUNGKUR UYAM","Prop. Kalimantan Selatan","SMA","-2.2693000","115.5779000"
"69754716","SMAN 1 MEKARSARI","JL. TAMAN SARI BUNGA","Prop. Kalimantan Selatan","SMA","-3.2847000","114.5007000"
"30301002","SMAN 1 WANARAYA","JL. KOLAM KIRI RT. 3","Prop. Kalimantan Selatan","SMA","-3.0616000","114.6188000"
"30301494","SMAS KARTIKA V-2 BINUANG","JL. RAYA TIMUR BINUANG","Prop. Kalimantan Selatan","SMA","-3.1569000","115.0909000"
"30301490","SMAN 1 TAPIN SELATAN","JL. MUNGGU KAPASAN NO. 165","Prop. Kalimantan Selatan","SMA","-3.0067000","115.1363000"
"30304600","SMAN 4 BANJARBARU","JL. JENDERAL A. YANI KM. 21,600","Prop. Kalimantan Selatan","SMA","-3.4352520","114.7137100"
"30302134","SMAN 3 BARABAI","JL. GRILYA HASAN BASERI NO. 4","Prop. Kalimantan Selatan","SMA","-2.5525000","115.4464000"
"30312602","SMAS HASBUNALLAH","JL LESTARI INDAH NO. 01 KOMP. PERUM. SWADHARMA","Prop. Kalimantan Selatan","SMA","-2.1800060","115.4178140"
"20275991","SMAS MAWAR PUTIH","JL. DESA KUIN KECIL","Prop. Kalimantan Selatan","SMA","-3.3751000","114.5508000"
"30303638","SMAN 1 SUNGAI LOBAN","Sebamban I Blok A RT. 03 RW. 01","Prop. Kalimantan Selatan","SMA","-3.5880000","115.7890000"
"30304521","SMAS PGRI 4 BANJARMASIN","JL. VETERAN KM. 4,5 SIMPANG SMP 7 DALAM GG. 10","Prop. Kalimantan Selatan","SMA","-3.3160000","114.6158000"
"30301079","SMAN 1 ANJIR MUARA","Jl. Handil Bahalang","Prop. Kalimantan Selatan","SMA","-3.1559000","114.5560000"
"69772940","SMAN 1 Kuranji","Jl. Trans Sebamban VI","Prop. Kalimantan Selatan","SMA","-3.5176000","115.7032000"
"30313811","SMAN 1 PAMINGGIR","JL. PAMINGGIR","Prop. Kalimantan Selatan","SMA","-2.5257000","114.8648000"
"30303655","SMAN 1 KUSAN HULU","Jl. Mandiri Bakti RT. 006","Prop. Kalimantan Selatan","SMA","-3.2269000","115.6816000"
"69830458","SMA ISLAM TERPADU UKHUWAH BANJARMASIN","JL. BUMI MAS RAYA KOMPLEK BUMI HANDAYANI XII A","Prop. Kalimantan Selatan","SMA","-3.3457000","114.6071000"
"30311681","SMAN 8 BARABAI","JL.SEPAKAT PANDAWAN","Prop. Kalimantan Selatan","SMA","-2.5707000","115.3508000"
"30304274","SMAS MUHAMMADIYAH 1","JL. S. PARMAN NO. 221","Prop. Kalimantan Selatan","SMA","-3.3060000","114.5876000"
"30305376","SMAN 1 JARO","JL. BATUNG RAYA RT. 01","Prop. Kalimantan Selatan","SMA","-1.8484000","115.6244000"
"30304596","SMAS PGRI 2 BANJAR BARU","JL. KEBUN KARET NO. 1","Prop. Kalimantan Selatan","SMA","-3.4443380","114.8047250"
"30304599","SMAN 3 BANJARBARU","Jalan Banua Praja Utara","Prop. Kalimantan Selatan","SMA","-3.4742620","114.8421900"
"30314151","SMAN 9 BARABAI","Jl. Kesatria Batu Tangga","Prop. Kalimantan Selatan","SMA","-2.5249000","115.5204000"
"30303011","SMAN 1 MUARA HARUS","JL. WILAS RT. 04","Prop. Kalimantan Selatan","SMA","-2.2459000","115.3272000"
"30305505","SMAN 1 KURIPAN","KURIPAN KAB BATOLA","Prop. Kalimantan Selatan","SMA","-2.6095000","114.7982000"
"30313820","SMAN 1 KELUMPANG BARAT","Jl. Provinsi Km. 350 Desa Batang Kulur","Prop. Kalimantan Selatan","SMA","-2.8300000","116.0706000"
"30304280","SMAN 1 BANJARMASIN","JL. MULAWARMAN NO. 25","Prop. Kalimantan Selatan","SMA","-3.3166000","114.5824000"
"30312896","SMAN 1 TABUNGANEN","JL. SIMPANG PALUI  TABUNGANEN TENGAH","Prop. Kalimantan Selatan","SMA","-3.4163000","114.4794000"
"30303658","SMAS TANAH BUMBU","JL. PROPINSI  KM.167","Prop. Kalimantan Selatan","SMA","-3.4848000","115.5663000"
"30303656","SMAN 1 KUSAN HILIR","JL. Kusuma Negara km 2,2","Prop. Kalimantan Selatan","SMA","-3.5770000","115.9830000"
"30311495","SMAN 1 PULAU LAUT TENGAH","JL. RAYA TJG. SERDANG KM. 36","Prop. Kalimantan Selatan","SMA","-3.4651000","116.0713000"
"30311501","SMAN 1 KELUMPANG UTARA","JL. BURUNG LEPAS RT 3 KP 72165","Prop. Kalimantan Selatan","SMA","-2.8576000","116.2870000"
"30301491","SMAN 1 RANTAU","JL. BRIGJEN. H. HASAN BASRY KM.2 RANTAU","Prop. Kalimantan Selatan","SMA","-2.9286000","115.1687000"
"69758487","SMAS IT ASSALAM","JL. ZAMRUD NO. 2","Prop. Kalimantan Selatan","SMA","-3.3843000","114.8446000"
"30302535","SMAN 1 DANAU PANGGANG","JL. SUKA RAMAI NO. 063 RT.4","Prop. Kalimantan Selatan","SMA","-2.4649000","115.1054000"
"30311958","SMAN 1 BERUNTUNG BARU","JL. PENDIDIKAN RT.02 RW.01","Prop. Kalimantan Selatan","SMA","-3.4977000","114.5755000"
"30311498","SMAS TUT WURI HANDAYANI","JL. POROS KALTIM","Prop. Kalimantan Selatan","SMA","-2.9193000","116.0288000"
"30304240","SMAS ISLAM SABILAL MUHTADIN","JL. SULTAN ADAM KOMPLEK MALKON TEMON RT.23 RW.9 BANJARMASIN","Prop. Kalimantan Selatan","SMA","-3.3173000","114.5902000"
"30302983","SMAN 3 TANJUNG","JL. JEND. BASUKI RAHMAT, KOMP. KARYA BAKTI TNI RT 02","Prop. Kalimantan Selatan","SMA","-2.1186000","115.3997000"
"30304272","SMAN 4 BANJARMASIN","JL. TELUK TIRAM LAUT NO.6","Prop. Kalimantan Selatan","SMA","-3.3336242","114.5807853"
"30301799","SMAN 3 KANDANGAN","JALAN KAMBOJA","Prop. Kalimantan Selatan","SMA","-2.7756000","115.2659000"
"30300240","SMAN 1 MATARAMAN","JL. JEND. A. YANI KM. 58,5","Prop. Kalimantan Selatan","SMA","-3.3236000","114.9706000"
"30305362","SMAN 1 ALUH-ALUH","JL. INPRES RT.02 RW.01","Prop. Kalimantan Selatan","SMA","-3.4610000","114.5585000"
"30300241","SMAN 1 PENGARON","JL PAHLAWAN","Prop. Kalimantan Selatan","SMA","-3.2985000","115.0900000"
"69768552","SMA NEGERI 2 JORONG",". A. Yani KM. 121 Desa Sungai Baru RT 10 Kec. Jorong Kab. Tanah Laut 70881","Prop. Kalimantan Selatan","SMA","-3.8912000","115.2393000"
"30304595","SMAS PGRI 1 BANJARBARU","JL. AL - JAFRI NO. 43 BANJARBARU","Prop. Kalimantan Selatan","SMA","-3.4523180","114.8302330"
"69851427","SMAN 2 HALONG","DESA UREN RT.1","Prop. Kalimantan Selatan","SMA","-2.3436000","115.7204000"
"30300984","SMAN 1 MARABAHAN","JL. AES. NASUTION MARABAHAN","Prop. Kalimantan Selatan","SMA","-2.9813000","114.7648000"
