"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"30402383","SMAN 1 MUARA PAHU","JL. BINA KAMPUNG","Prop. Kalimantan Timur","SMA","-.3497800","116.0228370"
"30404598","SMAS Tunas Kelapa Samarinda","Jl. M. Yamin No.6 Samarinda","Prop. Kalimantan Timur","SMA","-.4732150","117.1479250"
"30402081","SMAS ITCI PPU","JL. PELAWAN KM 5 RT. 07 NO. 33 KEL.MARIDAN","Prop. Kalimantan Timur","SMA","-1.0871000","116.6875000"
"30404452","SMAN 1 SANDARAN","JL. PERAPAT TUNGGAL","Prop. Kalimantan Timur","SMA","1.0149000","118.4431000"
"30400217","SMA NEGERI 1 MUARA MUNTAI","JL. DR. FL TOBING RT 03 NO.53","Prop. Kalimantan Timur","SMA","-.3555000","116.4017000"
"30405337","SMA TUKUNG MADING TABANG","JL. TUKUNG RITAN","Prop. Kalimantan Timur","SMA",".5833000","115.8704000"
"30405878","SMAN 1 BUSANG","Jl. Apau Belawing","Prop. Kalimantan Timur","SMA","1.1418000","116.4330000"
"30405329","SMA RAHMATULLAH MARANG KAYU","JL SAMARINDA - BONTANG","Prop. Kalimantan Timur","SMA","-.3894000","117.0143000"
"30405885","SMA NEGERI 2 MUARA BADAK","JL. POROS BADAK MARANG KAYU","Prop. Kalimantan Timur","SMA","-.2936000","117.4336000"
"30402073","SMAN 1 PPU","JL. PROVINSI KM. 3 KEL.PENAJAM KEC.PENAJAM","Prop. Kalimantan Timur","SMA","-1.2616000","116.7645000"
"30404461","SMAS Islam Samarinda","Jl. K.H. Achmad Dahlan No. 2","Prop. Kalimantan Timur","SMA","-.4958600","117.1548083"
"30405823","SMAN 1 LONG MESANGAT","JALAN PEMBANGUNAN","Prop. Kalimantan Timur","SMA",".5642000","116.5650000"
"30400100","SMAN 1 PASIR BELENGKONG","JL. SIMPANG BATU","Prop. Kalimantan Timur","SMA","-1.9978000","116.2192000"
"30400220","SMA NEGERI 1 TENGGARONG SEBERANG","JL. POROS SEPARI I","Prop. Kalimantan Timur","SMA","-.2608000","117.1137000"
"69786405","SMAN 4 SENDAWAR","Jl.Munaan Ore, Muara Asa","Prop. Kalimantan Timur","SMA",".0212000","115.7524000"
"30400223","SMA NEGERI 2 TENGGARONG","JL. PESUT RT VII NO.112","Prop. Kalimantan Timur","SMA","-.4485000","116.9923000"
"30400219","SMA NEGERI 1 SANGA-SANGA","JL. DRS. SYAHRIL DAHLAN IV","Prop. Kalimantan Timur","SMA","-.6433000","117.2376000"
"30407324","SMAN 1 BONGAN","JL. Mulawarman Muara Kedang","Prop. Kalimantan Timur","SMA","-1.0327000","116.0723000"
"30401487","SMAN 5 BALIKPAPAN SELATAN","JL. ABDI PRAJA BLOK F1 NO.119","Prop. Kalimantan Timur","SMA","-1.2420450","116.8975167"
"30404462","SMA Negeri 16 Samarinda","Jl. Piano No. 04","Prop. Kalimantan Timur","SMA","-.4883783","117.1495433"
"30405317","SMA YPK TENGGARONG","JL MAWAR I NO.48 TENGGARONG","Prop. Kalimantan Timur","SMA","-.4085000","116.9843000"
"30400557","SMAN 1 PENYINGGAHAN","JL. KI HAJAR DEWANTARA RT 03","Prop. Kalimantan Timur","SMA","-.3860000","116.2227000"
"30409891","SMA NEGERI 1 KENOHAN","JL. INPRES RT. 1","Prop. Kalimantan Timur","SMA",".8299000","115.7414000"
"30405308","SMA ISLAM SANIPAH SAMBOJA","JL. RAYA BALIKPAPAN","Prop. Kalimantan Timur","SMA","-.9679000","117.1567000"
"30405623","SMAN 2 SANGATTA UTARA","JL. SOEKARNO HATTA","Prop. Kalimantan Timur","SMA",".5337000","117.5534000"
"30405592","SMAN 7 BERAU","JL. KEDAUNG","Prop. Kalimantan Timur","SMA","2.1532000","117.4613000"
"30404584","SMAN 9 BALIKPAPAN UTARA","JL. SOEKARNO HATTA KM.16","Prop. Kalimantan Timur","SMA","-1.1453000","116.8759000"
"30400576","SMA NEGERI 1 LONG HUBUNG","JL. POROS, DESA DATAH BILANG","Prop. Kalimantan Timur","SMA",".2066910","115.5421650"
"30401780","SMAS TUNAS BANGSA","JL. RUBY EX.SUTOYO RT.46","Prop. Kalimantan Timur","SMA",".1135000","117.4817000"
"30409921","SMAN 3 SENDAWAR","JL. BETIRIN RT 8","Prop. Kalimantan Timur","SMA","-.1674000","115.7853000"
"69875545","SMAN 2 LINGGANG BIGUNG","JL. LINGGANG MELAPEH RT. 3","Prop. Kalimantan Timur","SMA","-.1103020","115.4445430"
"30401500","SMAS KATHOLIK ADI SUCIPTO","JL. MT HARYONO RT. 42","Prop. Kalimantan Timur","SMA","-1.2287000","116.8728000"
"30405309","SMA AL HAYAT SAMBOJA","JL BATUAH KM 36","Prop. Kalimantan Timur","SMA","-1.0105000","116.9740000"
"30404304","SMA Negeri 17 Samarinda","Jl. Pattimura","Prop. Kalimantan Timur","SMA","-.5277000","117.1493000"
"30409878","SMAN 10 BERAU","JL. RAJA ALAM 2 RT.3 BATU PUTIH","Prop. Kalimantan Timur","SMA","1.3756000","118.4354000"
"30400573","SMA NEGERI 1 LONG BAGUN","JL. BANG JUK, DS. UJOH BILANG RT IX","Prop. Kalimantan Timur","SMA",".6988000","114.3883000"
"30400113","SMAN 1 TANAH GROGOT","JL. ST. IBRAHIM KHALILUDDIN TANAH GROGOT","Prop. Kalimantan Timur","SMA","-1.9046000","116.1939000"
"30400562","SMAN 1 MUARA LAWA","JL. TRANS KALIMANTAN RT 2","Prop. Kalimantan Timur","SMA","-.4610000","115.7613000"
"30405312","SMA NEGERI 1 MUARA WIS","JL. KAKAP MUARA WIS SEBERANG","Prop. Kalimantan Timur","SMA","-.3584000","116.3893000"
"30405565","SMAN 1 TELUK PANDAN","JL. Poros Bontang - Sangatta KM. 17","Prop. Kalimantan Timur","SMA",".2265000","117.4641000"
"69822736","SMAN 14 BERAU","Jln. Poros Biatan No.01 Rt. 02 Kampung Karangan","Prop. Kalimantan Timur","SMA","1.7154000","118.0402000"
"30404355","SMAS PGRI 13 TANJUNG REDEB","DR. MURDJANI 2","Prop. Kalimantan Timur","SMA","2.1437000","117.5007000"
"30404270","SMAS Setia Marga Samarinda","Jl. Abdul Sani Gani RT.17 No.73","Prop. Kalimantan Timur","SMA","-.5192000","117.1255000"
"30405835","SMA NEGERI 2 SAMBOJA","JL. SOEKARNO-HATTA KM. 42","Prop. Kalimantan Timur","SMA","-.9669000","116.9844000"
"30403013","SMAS Syaichona Cholil Samarinda","Jl. Batu Indah RT. 41","Prop. Kalimantan Timur","SMA","-.3880000","117.1468000"
"30400326","SMA NEGERI 1 ANGGANA","JL. MASJID RT 6","Prop. Kalimantan Timur","SMA","-.5669000","117.2841000"
"30400574","SMAN 1 LONG IRAM","JL. DR SOEWONDO RT.VI","Prop. Kalimantan Timur","SMA","-.0124000","115.6317000"
"30401808","SMAS YKP MONAMAS BONTANG","JL. A. YANI NO. 70","Prop. Kalimantan Timur","SMA",".1310000","117.4899000"
"69769393","SMA IT NURUL ILMI TENGGARONG","JL. AHMAD DAHLAN NO. 47 TENGGARONG","Prop. Kalimantan Timur","SMA","-.3940000","116.9827000"
"30401054","SMA Negeri 8 Samarinda","Jl. Untung Suropati","Prop. Kalimantan Timur","SMA","-.5290000","117.1112000"
"30405826","SMAN 2 LONG IKIS","JL. SAWIT JAYA","Prop. Kalimantan Timur","SMA","-1.5838350","116.1556330"
"30401409","SMAS ADVENT","JL. KAPTEN PIERE TENDEAN NO.57","Prop. Kalimantan Timur","SMA","-1.2683533","116.8360483"
"30405591","SMAS RIYADLUS SOLIHIN","JL.DANAU PANJANG RT VII","Prop. Kalimantan Timur","SMA","2.0082000","117.3198000"
"30404178","SMAS Gotong Royong Samarinda","Jl. Marsda Aburrahman Saleh Gg. 3 RT. 22","Prop. Kalimantan Timur","SMA","-.4949000","117.1609000"
"30400381","SMAN 2 BERAU","JL. MARSMA ISWAHYUDI RT.02","Prop. Kalimantan Timur","SMA","2.4005000","116.5408000"
"69896292","SMA Negeri 2 Busang","Jalan Sentosa","Prop. Kalimantan Timur","SMA",".8310112","116.3101676"
"30400376","SMAN 3 BERAU","JL. SOEKARNO HATTA NO.98","Prop. Kalimantan Timur","SMA","1.5866000","118.1880000"
"30401063","SMAS Katolik W. R. Soepratman ","Jl. WR. Soepratman No.03","Prop. Kalimantan Timur","SMA","-.4995000","117.1425000"
"30404453","SMAN 1 SANGKULIRANG","JL. M. HUSNI THAMRIN NO.70","Prop. Kalimantan Timur","SMA",".9874000","117.9786000"
"30400575","SMAN 1 LINGGANG BIGUNG","JL. AHMAD YANI RT 07","Prop. Kalimantan Timur","SMA","-.1606000","115.5869000"
"30405315","SMA NEGERI 1 TENGGARONG","JL. MULAWARMAN RT XII","Prop. Kalimantan Timur","SMA","-.4100000","116.9881000"
"30402077","SMAN 5 PPU","JL. PROPINSI KM 15 KEL.GIRIMUKTI KEC PENAJAM","Prop. Kalimantan Timur","SMA","-1.3449000","116.6930000"
"30401488","SMAN 4 BALIKPAPAN SELATAN","JL. SEPINGGAN BARU III NO.36","Prop. Kalimantan Timur","SMA","-1.2461000","116.9068000"
"30405574","SMAN 8 BERAU","JL. MANUNGGAL 87 RT 04","Prop. Kalimantan Timur","SMA","1.2213000","118.7380000"
"30401066","SMA Negeri 1 Samarinda","Jl. Drs. H. Anang Hasyim","Prop. Kalimantan Timur","SMA","-.3958000","117.1751000"
"69786406","SMAS KRISTEN BALA KESELAMATAN","Jl. Pendidikan RT. 38","Prop. Kalimantan Timur","SMA",".1056000","115.9149000"
"69761840","SMAS Islam Bunga Bangsa","Jl. D.I Panjaitan No.51","Prop. Kalimantan Timur","SMA","-.5034430","117.0846310"
"30405336","SMA NEGERI 1 TABANG","JL. BHAYANGKARA","Prop. Kalimantan Timur","SMA",".5662000","116.0189000"
"30404438","SMAN 1 MUARA BENGKAL","JL. ASMAWI SY","Prop. Kalimantan Timur","SMA",".4488000","116.7174000"
"30407371","SMAS ISLAM BINA IMAN","NEGARA NO.32 RT.VII","Prop. Kalimantan Timur","SMA","-1.9528000","116.2110000"
"69889021","SMAS Budi Bakti","Jl. PM. Noor No. 9A","Prop. Kalimantan Timur","SMA","-.4507000","117.1531000"
"30401493","SMAS SYAICHONA CHOLIL","JL. MULAWARMAN RT 10 NO.59","Prop. Kalimantan Timur","SMA","-1.2535200","116.9193817"
"30402919","SMAS AL HASSAN","JL. TELAGA SARI KOMPLEK PELAJAR","Prop. Kalimantan Timur","SMA","-1.2699517","116.8314750"
"30404179","SMAS Sunodia Samarinda","Jl. Kartini No.112A","Prop. Kalimantan Timur","SMA","-.4933550","117.1570817"
"30405306","SMA HARAPAN SAMBOJA","JL PELAJAR RT IV","Prop. Kalimantan Timur","SMA","-1.0187000","117.0298000"
"30404266","SMAS Muhammadiyah 2 Samarinda","Jl. Slamet Riyadi","Prop. Kalimantan Timur","SMA","-.5101000","117.1154000"
"69728697","SMAN 11 BERAU","KAMPUNG EKA SAPTA","Prop. Kalimantan Timur","SMA","1.3770000","117.9544000"
"30400578","SMA SWASTA AWANG LONG","JL. KH. DEWANTARA RT.II","Prop. Kalimantan Timur","SMA",".8055000","114.4583000"
"30400216","SMA NEGERI 1 MUARA KAMAN","JL. MULAWARMAN","Prop. Kalimantan Timur","SMA","-.1468000","116.7326000"
"30405319","SMA NEGERI 1 SEBULU","JL. LATSITARDA RT. IV","Prop. Kalimantan Timur","SMA","-.2735000","116.9937000"
"30401055","SMA Negeri 9 Samarinda","Jl. Giri Rejo","Prop. Kalimantan Timur","SMA","-.4153000","117.1832000"
"30400327","SMA NEGERI 1 KOTA BANGUN","JL. KI HAJAR DEWANTARA","Prop. Kalimantan Timur","SMA","-.2652630","116.5947810"
"30403011","SMAS SF Assisi Samarinda","Jl. Belatuk No.23 RT.17","Prop. Kalimantan Timur","SMA","-.4758000","117.1546000"
"69930839","SMA INTEGRAL HIDAYATULLAH","SMA INTEGRAL HIDAYATULLAH","Prop. Kalimantan Timur","SMA","2.1378713","117.4951476"
"30401052","SMA Negeri 6 Samarinda","Jl. Trikora RT. 08","Prop. Kalimantan Timur","SMA","-.5654000","117.1706000"
"30401489","SMAN 3 BALIKPAPAN ","JL. WOLTER MONGINSIDI BARU RT 32","Prop. Kalimantan Timur","SMA","-1.2241950","116.8172150"
"30405307","SMA ISLAM ULUMUDDIN SAMBOJA","Jl. Balikpapan-Handil RT. 5 No. 219","Prop. Kalimantan Timur","SMA","-.9249000","117.2055000"
"30401809","SMAS YAYASAN PUPUK KALTIM BONTANG","JL. DAHLIA PC. VI PT PUPUK KALTIM","Prop. Kalimantan Timur","SMA",".1421000","117.4675000"
"30402381","SMAN 1 DAMAI","JL. TRANS KALIMANTAN RT.VI","Prop. Kalimantan Timur","SMA","-.3656000","115.7043000"
"30409925","SMAN 1 LONG PAHANGAI","JL. GOLGOTA KAMPUNG LONG PAHANGAI 1","Prop. Kalimantan Timur","SMA",".8841000","114.6929000"
"30400272","SMA NEGERI 1 MARANG KAYU","JL. BATU MENETES","Prop. Kalimantan Timur","SMA","-.2032000","117.3129000"
"30401785","SMAN 2 BONTANG","JL. H.M. ARDANS","Prop. Kalimantan Timur","SMA",".1155000","117.4652000"
"30400178","SMAS MUHAMMADIYAH TANAH GROGOT","JL. PANGERAN MENTERI TANAH GROGOT NO. 96 TANAH GROGOT-KAB.PASER KALTIM","Prop. Kalimantan Timur","SMA","-1.8988000","116.1937000"
"69786424","SMAN 1 TANJUNG HARAPAN","Jalan M. Dachri Tanjung Aru RT V","Prop. Kalimantan Timur","SMA","-2.1696000","116.5839000"
"30405327","SMA MUHAMMADIYAH MUARA BADAK","JL. KH DEWANTARA","Prop. Kalimantan Timur","SMA","-.3246000","117.4191000"
"30401787","SMAS YAYASAN PENDIDIKAN VIDYA DAHANA PATRA","JL. BADAK NO. 2 KOMPLEKS PT BADAK NGL","Prop. Kalimantan Timur","SMA",".1155000","117.4652000"
