"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"40102593","SMAS KORPRI MANADO","Jl. Rpark (kompleks Perum Pemda Propinsi)","Prop. Sulawesi Utara","SMA","1.4911000","124.8582000"
"40103070","SMAN 2 BITUNG","JL. SISWA","Prop. Sulawesi Utara","SMA","1.4477000","125.1683000"
"40100318","SMAN 1 BOLAANG","JL. RAYA AKD INOBONTO","Prop. Sulawesi Utara","SMA",".9176000","124.1137000"
"40102624","SMAS PGRI 3 MANADO","JL. POGIDON TUMUMPA MANADO","Prop. Sulawesi Utara","SMA","1.5207000","124.8482000"
"40102024","SMAN 1 TOMBATU","Jaga 4","Prop. Sulawesi Utara","SMA","1.0388000","124.6896000"
"40100325","SMAN 1 BOLANG ITANG","JALAN TRANS SULAWESI BOLANGITANG","Prop. Sulawesi Utara","SMA",".9023000","123.3073000"
"40104644","SMAN 2 SIAU TIMUR","LIA","Prop. Sulawesi Utara","SMA","2.7830000","125.4519000"
"40104775","SMAN 1 TAGULANDANG","TAGULANDANG","Prop. Sulawesi Utara","SMA","2.3483000","125.3816000"
"40100323","SMAN 2 KOTAMOBAGU","JL. AMAL NO 39 KOTAMOBAGU","Prop. Sulawesi Utara","SMA",".7291000","124.3025000"
"40103173","SMAS KRISTEN 2 TOMOHON","KOTA TOMOHON","Prop. Sulawesi Utara","SMA","1.3351000","124.8381000"
"40100911","SMAS D W PINELENG","JL. MANADO - TOMOHON","Prop. Sulawesi Utara","SMA","1.3904000","124.8400000"
"40101440","SMAN 1 TAMAKO","KAMPUNG BALANE","Prop. Sulawesi Utara","SMA","3.4637000","125.5163000"
"40103833","SMAN 1 PINELENG","Jln. Walana Desa Pineleng Dua Jaga II Kecamatan Pineleng, Kabupaten Minahasa","Prop. Sulawesi Utara","SMA","1.4010000","124.8244000"
"40102586","SMAS DON BOSCO","JL. WR. SUPRATMAN MANADO","Prop. Sulawesi Utara","SMA","1.4877000","124.8441000"
"40103069","SMAS MUHAMMADIYAH BITUNG","JL. R.E. MARTHADINATA  NO.14","Prop. Sulawesi Utara","SMA","1.4484000","125.1841000"
"40101745","SMAN 1 NANUSA","Jln. Taloara Desa Karatung Kec. Nanusa","Prop. Sulawesi Utara","SMA","4.7302000","127.0863000"
"40101996","SMAS PGRI POIGAR","JL. TRANS SULAWESI DESA POIGAR KEC. SINONSAYANG","Prop. Sulawesi Utara","SMA","1.0186000","124.3089000"
"40100900","SMAN 1 TOMBARIRI","JL. RANOWANGKO","Prop. Sulawesi Utara","SMA","1.3877000","124.6780000"
"40104902","SMAN 1 TOMBULU","JL. KEMBES SATU TOMBULU","Prop. Sulawesi Utara","SMA","1.3942000","124.8591000"
"40100311","SMAS KATOLIK THEODORUS KOTAMOBAGU","JL. DIPONEGORO","Prop. Sulawesi Utara","SMA",".7482000","124.3179000"
"69822745","SMAS  KATOLIK ST. FRANSISKUS DE SALLES KOKLEH","KOKOLEH SATU","Prop. Sulawesi Utara","SMA","1.6233000","125.0311000"
"40100869","SMAN 1 LEMBEAN TIMUR","JL. SAM RATULANGI","Prop. Sulawesi Utara","SMA","1.2045710","124.9813250"
"40101432","SMAS PETRA SAWANG JAUH","MOHONG SAWANG","Prop. Sulawesi Utara","SMA","3.7339000","125.4437000"
"40100314","SMAN 1 SANG TOMBOLANG","DESA LOLANAN KEC SANG TOMBOLANG","Prop. Sulawesi Utara","SMA",".8263000","123.8391000"
"40102590","SMAS KATOLIK ST LAURENTIUS","JL. MAESA NO.6","Prop. Sulawesi Utara","SMA","1.4850000","124.8656000"
"40103834","SMAN 2 PINELENG","JL. VETERAN DESA SEA","Prop. Sulawesi Utara","SMA","1.4057000","124.7998000"
"40100322","SMAN 1 DUMOGA","JL. RAYA  AKD IMANDI","Prop. Sulawesi Utara","SMA",".5788000","124.0642000"
"69900620","SMA Negeri 1 Touluaan Selatan","Kalait","Prop. Sulawesi Utara","SMA",".9893890","124.6261570"
"40102414","SMAS KRISTEN AIRMADIDI","AIRMADIDI BAWAH","Prop. Sulawesi Utara","SMA","1.4221000","124.9778000"
"40101753","SMAN 1 KABARUAN","DESA RARANGE","Prop. Sulawesi Utara","SMA","3.8169000","126.7660000"
"40100895","SMAN 1 KAKAS","JL. KAKAS LANGOWAN","Prop. Sulawesi Utara","SMA","1.1757000","124.8766000"
"40100316","SMAS SWADHARMA WERDI AGUNG","JL. SWADHARMA NO.2","Prop. Sulawesi Utara","SMA",".5503000","124.0301000"
"40103832","SMAN 2 LANGOWAN","JL. TANDENGAN","Prop. Sulawesi Utara","SMA","1.1567000","124.8186000"
"69949174","SMA NEGERI 1 PININGKATAN TULE","Desa Tule","Prop. Sulawesi Utara","SMA","4.0610490","126.7586361"
"69760563","SMAS YADIKA","JALAN AKD KOPANDAKAN II","Prop. Sulawesi Utara","SMA",".7079000","124.2736000"
"40102587","SMAS IMAM BONJOL","JL. KARPER NO. 19","Prop. Sulawesi Utara","SMA","1.5203000","124.8508000"
"40100894","SMAS YBP TATELI","JL. MANADO - TANAWONGKO","Prop. Sulawesi Utara","SMA","1.4438000","124.7587000"
"40105222","SMAN POSIGADAN","JL. TRANS SULAWESI","Prop. Sulawesi Utara","SMA",".3971000","123.8384000"
