"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"69947006","SMAN 2 KASIMBAR","JL. Trans Sulawesi","Prop. Sulawesi Tengah","SMA","-.1031563","119.9677135"
"40204387","SMAN 1 RIO PAKAVA","DESA MINTI MAKMUR LALUNDU 1","Prop. Sulawesi Tengah","SMA","-1.3278350","119.5140230"
"40203514","SMAS GKST IMANUEL","JL. PROF. MOH. YAMIN NO. 25","Prop. Sulawesi Tengah","SMA","-.9038000","119.8899000"
"69728485","SMAN 1 BULAGI SELATAN","LOLANTANG","Prop. Sulawesi Tengah","SMA","-1.3483000","123.0384000"
"40202313","SMAS COKROAMINOTO","JL. HOS COKROAMINOTO","Prop. Sulawesi Tengah","SMA","1.0349000","120.8115000"
"40201627","SMAN 1 PAGIMANA","JL. MAWAR NO.45","Prop. Sulawesi Tengah","SMA","-.8030000","122.6462000"
"69822749","SMAN 1 PALELEH BARAT","JL. MALAITOM NO. 2","Prop. Sulawesi Tengah","SMA","1.0507000","121.9386000"
"40206482","SMAS ALKH TONGKO","JLN. TRANS SULAWESI POSO - AMPANA","Prop. Sulawesi Tengah","SMA","-1.4064000","120.8479000"
"40204324","SMAN 2 LAMALA","JL. SISWA NO. O1 SOBOL","Prop. Sulawesi Tengah","SMA","-1.0053000","123.2465000"
"69727664","SMAN 1 BALINGGI","DESA SULI","Prop. Sulawesi Tengah","SMA","-.5148000","120.0045000"
"69864622","SMA NEGERI 2 UNA-UNA","JALAN LEGANDAKA","Prop. Sulawesi Tengah","SMA","-.5415360","121.6909860"
"40206474","SMAN 1 MASAMA","JL. ESA KARYA","Prop. Sulawesi Tengah","SMA","-.8495000","123.1335000"
"40201668","SMAN 1 LAMALA","JL. SISWA NO. 113","Prop. Sulawesi Tengah","SMA","-.8993000","123.1418000"
"40202043","SMAN 1 BIAU","JL. MA. TURUNGKU NO. 74","Prop. Sulawesi Tengah","SMA","1.1607000","121.4266000"
"40203516","SMAS KATOLIK","JL. DANAU POSO NO. 23","Prop. Sulawesi Tengah","SMA","-.8993000","119.8620000"
"40200725","SMAN 1 BANAWA","JL. BANAWA NO. 208","Prop. Sulawesi Tengah","SMA","-.6799000","119.7358000"
"40200722","SMA NEGERI 2 SIGI","JL. DAYOSAWI NO.121","Prop. Sulawesi Tengah","SMA","-.9843000","119.8768000"
"40201703","SMAS KATHOLIK ST YOSEP","JL. BUKIT TINGGI NO. 136","Prop. Sulawesi Tengah","SMA","-.9598000","122.7855000"
"40201328","SMAN 1 LORE SELATAN","JL. BUMI JAMBU","Prop. Sulawesi Tengah","SMA","-1.8824000","120.2456000"
"69770323","SMA LABSCHOOL UNTAD","JL. SETIA BUDI 14 PALU","Prop. Sulawesi Tengah","SMA","-.8837000","120.0020000"
"69775582","SMAS IT ASSOHWAH TOILI","JL. DURIAN NO.44","Prop. Sulawesi Tengah","SMA","-1.4196000","122.3019000"
"40206478","SMAN 1 LAMPASIO","DESA SIBEA","Prop. Sulawesi Tengah","SMA",".9010000","120.8685000"
"40202945","SMAN 1 TORUE","JL.GUNUNG SARI","Prop. Sulawesi Tengah","SMA","-.9912000","120.3295000"
"40203842","SMA NEGERI 8 SIGI","JL. TRANS. BORA-PALOLO","Prop. Sulawesi Tengah","SMA","-1.0479000","119.9283000"
"40203608","SMAN 7 PALU","JL. BAIYA NO. 29","Prop. Sulawesi Tengah","SMA","-.7295000","119.8629000"
"40205119","SMAN 1 PARIGI TENGAH","JL. TIMBALUKA","Prop. Sulawesi Tengah","SMA","-.7560000","120.1160000"
"69947112","SMAN 1 TOMINI","Jl. Pasar Tomini","Prop. Sulawesi Tengah","SMA",".5547121","120.5888276"
"69786421","SMAN 1 BOLANO","JL. KOLANO","Prop. Sulawesi Tengah","SMA","-.4046000","120.0019000"
"69876150","SMA NEGERI 3 PAGIMANA","JL. JURUSAN LUWUK KM 28 POH","Prop. Sulawesi Tengah","SMA","-.9424180","122.5720550"
"40200248","SMAN 1 TINANGKUNG","JL. KRI TELUK BAYUR","Prop. Sulawesi Tengah","SMA","-1.3150000","123.2896000"
"40201327","SMAN 1 LORE UTARA","JL. TRANS KADUWAA","Prop. Sulawesi Tengah","SMA","-1.4308000","120.3234000"
