"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"40314404","SMAS BATARA GOWA","JL. MALINO NO. 48","Prop. Sulawesi Selatan","SMA","-5.2108983","119.4581133"
"69900830","SMA  NEGERI 19 BULUKUMBA","LINGKUNGAN GUSUNG,E JL. SUKUN KELURAHAN  JALANJANG KM.08 KABUPATEN BULUKUMBA","Prop. Sulawesi Selatan","SMA","-5.5004000","120.0953000"
"40306108","SMAN 1 BAJO","JL. JAMBU","Prop. Sulawesi Selatan","SMA","-3.3645000","120.3198000"
"40309848","SMAS MATARI ALLO","JL. PANGERAN DIPONEGORO. 100 RANTEPAO","Prop. Sulawesi Selatan","SMA","-2.9695420","119.9048920"
"40312579","SMAN 1 TANA LILI","JL. KIHAJAR DEWANTARA","Prop. Sulawesi Selatan","SMA","-2.6301000","120.5681000"
"40303663","SMAN 1 WATANSOPPENG","JL. SAMUDRA NO.2","Prop. Sulawesi Selatan","SMA","-4.3557000","119.8828000"
"40318874","SMAN 1 BAJENG BARAT","JL.POROS LIMBUNG-GALENGSONG","Prop. Sulawesi Selatan","SMA","-5.3141000","119.4166000"
"40307236","SMA FRATER MAKASSAR","JL. KUMALA NO. 151","Prop. Sulawesi Selatan","SMA","-5.1776000","119.4159000"
"40300674","SMAS PESANTREN IMMIM MINASATE NE","JL. H. FADLI LURAN","Prop. Sulawesi Selatan","SMA","-4.8393000","119.5742000"
"69946523","SMA Negeri 2 Tamalatea","Serukang","Prop. Sulawesi Selatan","SMA","-5.6526232","119.6947017"
"69924506","SMA FILADELFIA","Komp. Golden Park (Azalea) Panakkukang","Prop. Sulawesi Selatan","SMA","-5.1330188","119.4620524"
"40318868","SMAN 2 SABBANG","Jalan Kemakmuran","Prop. Sulawesi Selatan","SMA","-2.7197000","120.1815000"
"40302147","SMAN 1 MALLUSETASI","JL. H.A TJAMBOLANG NO. 5","Prop. Sulawesi Selatan","SMA","-4.1855000","119.6312000"
"69728682","SMAS IT AN-NAS 1 MANDAI","BONTOA","Prop. Sulawesi Selatan","SMA","-5.0435000","119.5682000"
"40303162","SMAN 1 PENRANG","JL. RADDAE POROS DOPING - JALANG","Prop. Sulawesi Selatan","SMA","-4.0472000","120.0462000"
"40305842","SMAN 1 MAIWA","JL. JERUK MANIS MARANGIN","Prop. Sulawesi Selatan","SMA","-3.7499000","119.8602000"
"40302552","SMAN 1 WATAMPONE","JL. TERNATE NO. 1 WATAMPONE","Prop. Sulawesi Selatan","SMA","-4.5428000","120.3217000"
"40307361","SMA NUR KARYA TIDUNG","JL. LETJEN HERTASNING NO. 1","Prop. Sulawesi Selatan","SMA","-5.1436000","119.4173000"
"40305470","SMAN 2 PANCA RIJANG","JL. LASINRANG NO. 94 RAPPANG","Prop. Sulawesi Selatan","SMA","-3.8502490","119.8429140"
"69876149","SMA IT CENDEKIA BAJIMINASA","Dusun Saukang","Prop. Sulawesi Selatan","SMA","-5.5211370","120.0455050"
"40313357","SMAS DARMAYADI","JL. SUKARIA NO. 22","Prop. Sulawesi Selatan","SMA","-5.1439000","119.4419000"
"40313257","SMAS ITIHAD","JL. GUNUNG LOKONG NO. 44","Prop. Sulawesi Selatan","SMA","-5.1371000","119.4185000"
