"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"60103192","SMAN 3 PP TERSELATAN","JL. LAKSAMANA R KASENDA","Prop. Maluku","SMA","-7.5845000","127.4364000"
"60102894","SMAN 3 KAIRATU","Jl. Lintas Seram - Latu","Prop. Maluku","SMA","-3.4248000","128.6809000"
"69728727","SMAN OKI BARU","DESA OKI BARU","Prop. Maluku","SMA","-3.7958000","126.8312000"
"60100979","SMA NEGERI 4 BURU","JL. PENDIDIKAN","Prop. Maluku","SMA","-3.5805000","127.2424000"
"60105318","SMAS BUDI MULIA SAUMLAKI","JL. MISI SAUMLAKI","Prop. Maluku","SMA","-7.9853000","131.2958000"
"60103650","SMA SEMINARI ST YUDAS THADEUS LANGGUR","JL. JEND. SOEDIRMAN LANGGUR","Prop. Maluku","SMA","-5.6657000","132.7341000"
"60102967","SMAS PGRI 1 AMBON","JL. YAN PAAYS","Prop. Maluku","SMA","-3.7257000","128.2551000"
"60102005","SMAN 3 AMBON","JL. PANTAI RUMAH TIGA","Prop. Maluku","SMA","-3.6595000","128.1933000"
"60103376","SMA KRISTEN LEKSULA","LEKSULA","Prop. Maluku","SMA","-3.3789000","126.1013000"
"60103685","SMAS KRISTEN DOBO","JL. CENDRAWASIH","Prop. Maluku","SMA","-5.7819917","134.2119000"
"60100316","SMAN 1 SERAM UTARA","JL. BANDAR UDARA WAHAI","Prop. Maluku","SMA","-2.8108000","129.4428000"
"60102020","SMAS MARIA MEDIATRIX","JL. DR. MALAIHOLLO","Prop. Maluku","SMA","-3.7043000","128.1599000"
"60102017","SMAS PGRI 2 AMBON","JL. WEM TEHUPIORY","Prop. Maluku","SMA","-3.6423000","128.2670000"
"60102965","SMAN 11 AMBON","JL. JEND. SOEDIRMAN","Prop. Maluku","SMA","-3.6826000","128.1904000"
"60101449","SMAN 1 PP BABAR","JL. KARANG PANJANG","Prop. Maluku","SMA","-7.8725330","129.5946510"
"69849369","SMA NEGERI 5 TUAL","JL. Hoat Taar","Prop. Maluku","SMA","-5.6503000","132.7547000"
"69832004","SMAN TELUK ELPAPUTIH","Tananahu","Prop. Maluku","SMA","-3.1184520","128.8337410"
"60101448","SMAN 1 PP TERSELATAN","JL. URLOIKAY","Prop. Maluku","SMA","-8.0740000","127.1637000"
"60102887","SMAN 4 SERAM BARAT","KAWA","Prop. Maluku","SMA","-3.0461480","128.2719410"
"60100315","SMAN 1 SAPARUA","JL. WAISISIL","Prop. Maluku","SMA","-3.5846967","128.6524483"
"60101465","SMAN AMTUFU WERTAMRIAN","JL. TRANS  YAMDENA - LORULUN","Prop. Maluku","SMA","-7.8479000","131.3813000"
"60103737","SMAN 3 TEHORU","WAILOLU","Prop. Maluku","SMA","-3.2487000","129.5542000"
"60102015","SMAN 8 AMBON","JL. WEM TEHUPEIORY","Prop. Maluku","SMA","-3.6980000","128.2804000"
"60102893","SMAN 4 WAESALA","TIANG BENDERA","Prop. Maluku","SMA","-3.2470710","127.7550160"
"69955228","SMA NEGERI 3 TANIWEL","Nuniali","Prop. Maluku","SMA","-2.8719630","128.3968060"
"69867919","SMA PERSIAPAN LOULEAN","JL. IMAM DZIKIR BADARUDIN","Prop. Maluku","SMA","-4.0764000","131.4368000"
"60102022","SMAS KRISTEN REHOBOTH","JL. DR. KAYADOE","Prop. Maluku","SMA","-3.7060000","128.1736000"
"69893231","SMA NEGERI WAIN","Jln. U. K. Leisubun, Pesisir Timur","Prop. Maluku","SMA","-5.8114120","132.7769060"
"60101015","SMA NEGERI 3 BURU","Jl. Joyoboyo No. 04","Prop. Maluku","SMA","-3.3476000","126.9572000"
"69947454","SMA NEGERI 2 TNS","Jl. Lintas Seram Waipia","Prop. Maluku","SMA","-3.2086000","128.9747000"
"60102004","SMAN 4 AMBON","JL. WOLTER MONGINSIDI","Prop. Maluku","SMA","-3.6490380","128.2343590"
"60102713","SMAN 2 WAISALA","TELAGA NIPA","Prop. Maluku","SMA","-3.1631000","127.8417000"
"60102959","SMAN 2 SERAM TIMUR","Jln Essiriun","Prop. Maluku","SMA","-3.7122000","130.7535000"
"60103923","SMAN 8 LONGGAR/APARA","DESA LONGGAR","Prop. Maluku","SMA","-6.6621000","134.6841000"
"60101802","SMAS YOS SUDARSO DOBO","JL. MUTIARA NO. 132","Prop. Maluku","SMA","-5.7614000","134.2339000"
"60100325","SMAN 2 MASOHI","JL. BARU SUGIARTO","Prop. Maluku","SMA","-3.3029000","128.9714000"
"60100159","SMAN 2 SALAHUTU","JLN.SULI ATAS","Prop. Maluku","SMA","-3.6180000","128.3094000"
"60101485","SMAS KRISTEN SAUMLAKI","JL. BHAYANGKARA SAUMLAKI","Prop. Maluku","SMA","-7.9841000","131.2962000"
"69949714","SMA NEGERI 5 PULAU HARUKU","Jl. Thomas Matulessy - Hulaliu","Prop. Maluku","SMA","-3.5523840","128.4760243"
"60102717","SMAS PGRI 3 KAIRATU","TIHULALE","Prop. Maluku","SMA","-3.3794000","128.5044000"
"60103317","SMA NEGERI 3 KEI KECIL","Jl. Trinitas Ohoira. Kei Kecil Barat, Kab. Maluku Tenggara","Prop. Maluku","SMA","-5.8408000","132.6933000"
"60100981","SMAN AMBALAU","AMBALAU","Prop. Maluku","SMA","-3.8516000","127.1791000"
"60100332","SMAS PGRI 1 SAPARUA","JL. NONA MILA","Prop. Maluku","SMA","-3.5736800","128.6667500"
"60103879","SMA NEGERI 4 PULAU GOROM","JL.RUDOLF RUKKA","Prop. Maluku","SMA","-4.1325000","131.3651000"
"69772549","SMA NEGERI HUAMUAL","Dusun Batu Lubang","Prop. Maluku","SMA","-3.1196000","128.4879000"
"60100324","SMAN 1 LEIHITU BARAT","HATU","Prop. Maluku","SMA","-3.6813000","128.0258000"
"60103509","SMAN 2 TEHORU","JL. TARBIYAH","Prop. Maluku","SMA","-3.3086000","129.3517000"
"60102238","SMAS AL - HILAAL TEHORU","JLN.NUNUMAHU","Prop. Maluku","SMA","-3.1992000","129.7682000"
"69822775","SMAN 6 KAIRATU","Angkota No. 7A- Kairatu","Prop. Maluku","SMA","-3.3692000","128.4445000"
"60102240","SMAN 3 PULAU HARUKU","ALHIHAI","Prop. Maluku","SMA","-3.6156000","128.4257000"
"60102007","SMAN 10 AMBON","JL. NAMALATU","Prop. Maluku","SMA","-3.7715000","128.1199000"
"60100322","SMAN 1 SERAM UTARA TIMUR SETI","JLN. PATTIMURA","Prop. Maluku","SMA","-2.9766000","129.9260000"
"60102292","SMAN KUR","JL. SOEKARNO HATTA","Prop. Maluku","SMA","-5.3363000","131.9712000"
"60103545","SMA RAUDAH DANAR","DESA DANAR","Prop. Maluku","SMA","-5.9317000","132.7643000"
"60104031","SMAN 2 SERAM UTARA TIMUR SETI","TANAH MERAH","Prop. Maluku","SMA","-3.0006690","129.1601180"
"69947434","SMA NEGERI 3 SERAM UTARA","Jl. Trans Seram","Prop. Maluku","SMA","-2.9729335","129.3787423"
"60103406","SMAN 14 AMBON","Jln. Wolter Monginsidi, Lorong Pertanian Passo","Prop. Maluku","SMA","-3.6362000","128.2499000"
"60102014","SMAN 7 AMBON","JL. DR. J. LEIMENA","Prop. Maluku","SMA","-3.6609000","128.1569000"
"69870898","SMA WAER","WAER","Prop. Maluku","SMA","-4.5507543","129.9460326"
"60100819","SMAN 1 TUAL","Jl. Patimmura","Prop. Maluku","SMA","-5.6375000","132.7487000"
"69940233","SMA NEGERI 2 SERAM UTARA TIMUR KOBI","Waimusi","Prop. Maluku","SMA","-2.9768593","129.7888744"
"60101668","SMAN 1 WERINAMA","JL.WAILISSA","Prop. Maluku","SMA","-3.3551000","130.1956000"
"60100346","SMAN 7 LEIHITU","JL. RAYA WAKAL NO.06","Prop. Maluku","SMA","-2.8354000","129.6830000"
"69943689","SMA INSAN CITA KWAOS","JL. LINTAS SERAM","Prop. Maluku","SMA","-3.7461812","130.7898233"
"69940652","SMA NEGERI WALY","DESA WALY","Prop. Maluku","SMA","-3.3296010","126.5113730"
"60103611","SMAN 5 LEIHITU","URENG","Prop. Maluku","SMA","-3.6625000","127.9564000"
"60100317","SMAN 1 TEHORU","JL. WAE YAPANA","Prop. Maluku","SMA","-3.3030000","129.4583000"
"60102520","SMAN 1 TUTUK TOLU","JL. TRIKORA DANAMA","Prop. Maluku","SMA","-3.5721000","130.8745000"
"60100817","SMA NEGERI 1 KEI BESAR","KOMP. WAKATRAAN","Prop. Maluku","SMA","-5.6524000","133.0018000"
"69770333","SMAN 2 SERAM UTARA ","TRANS SERAM","Prop. Maluku","SMA","-2.9627210","129.3826280"
"60100321","SMAN 2 SAPARUA","JL.RAYA  HONIMOA","Prop. Maluku","SMA","-3.5568550","128.6882000"
"60102886","SMAN 5 KAIRATU","Jln. Trans Seram","Prop. Maluku","SMA","-3.4014000","128.6842000"
"69893230","SMA NEGERI WAB","Desa Wab - Kecamatan Hoat Sorbay","Prop. Maluku","SMA","-5.7966013","132.6805922"
"60103320","SMA NEGERI 4 KEI KECIL","DESA ELAR","Prop. Maluku","SMA","-5.8961000","132.7737000"
"60103904","SMAN 2 TANIWEL","SUKARAJA","Prop. Maluku","SMA","-2.9387000","128.5885000"
"60100980","SMAN BILORO","BILORO","Prop. Maluku","SMA","-3.2472000","126.0442000"
"60103465","SMAN PULAU MANIPA","KELANG ASAUDE","Prop. Maluku","SMA","-3.2767000","127.5470000"
"60102716","SMAN 4 KAIRATU","SINAR AMALOHY","Prop. Maluku","SMA","-3.4322000","128.4186000"
"60101543","SMA NEGERI 3 SERAM BARAT","KATAPANG,HUAMUAL SERAM BARAT","Prop. Maluku","SMA","-2.9979000","128.2150000"
"60102244","SMAN 1 SERAM UTARA BARAT","Jalan Trans Seram-Pasanea","Prop. Maluku","SMA","-2.8049000","129.0570000"
"60105301","SMAN 1 TANIMBAR SELATAN","JL. MATHILDA BATLEJERI SAUMLAKI","Prop. Maluku","SMA","-7.9675000","131.3071000"
"60101541","SMAN 1 TANIWEL","JL. WAISAUINA","Prop. Maluku","SMA","-2.8508000","128.4918000"
"60100820","SMA NEGERI 2 KEI KECIL","Jln.PERUMNAS-OHOIJANG","Prop. Maluku","SMA","-5.6492000","132.7341000"
"69772524","SMAN TIAKUR","TIAKUR","Prop. Maluku","SMA","-8.1498000","127.7962000"
"60103950","SMAN MDONA HYERA","Jln. Lembaga-Lelang, Kode Pos 97652","Prop. Maluku","SMA","-8.2181000","128.9217000"
"69937940","SMA NEGERI 2 TELUK ELPUTIH","Jl. Trans Seram Samasuru","Prop. Maluku","SMA","-3.2894000","128.7460000"
"60101530","SMAN 2 KAIRATU","JL.RAYA WAESAMU","Prop. Maluku","SMA","-3.2834000","128.3181000"
"60101443","SMAN 2 NIRUNMAS","WATMURI","Prop. Maluku","SMA","-7.3450000","131.6085000"
"69867920","SMA PERSIAPAN WATUBELA","JL. J. RUMAKAMAR - LAHEMA","Prop. Maluku","SMA","-4.4092800","131.6071740"
"60100818","SMA NEGERI 1 KEI KECIL","JL. SOEKARNO HATTA","Prop. Maluku","SMA","-5.6505000","132.7344000"
"60103514","SMAN 2 LEIHITU BARAT","JLN.RAYA LARIKE","Prop. Maluku","SMA","-3.7229000","127.9253000"
"60100351","SMAS PGRI OMA HARUKU","JL. OMA HARUKU","Prop. Maluku","SMA","-3.6154000","128.4257000"
"60102519","SMAN 2 BULA","JL.BATU HITAM - WAIMATAKABO","Prop. Maluku","SMA","-3.0497000","130.1454000"
"60103515","SMAS MUHAMMADIYAH MAMALA","JLN.LATU POLANUNU","Prop. Maluku","SMA","-2.8592000","129.7010000"
"60102962","SMAS KR KALAM KUDUS","JL. CHR. M. TIAHAHU","Prop. Maluku","SMA","-3.6879000","128.1899000"
"69774670","SMAN 4 PULAU HARUKU","ROHOMONI","Prop. Maluku","SMA","-3.5597000","128.4284000"
"69867932","SMA NEGERI PERSIAPAN MANIPA TIMUR","Huwale Dusun Namae","Prop. Maluku","SMA","-3.3244690","127.5268540"
"60102021","SMAS KRISTEN YPKPM","JL. DIPONEGORO NO. 61 AMBON","Prop. Maluku","SMA","-3.7012000","128.1832000"
"60103096","SMAS LKMD LAHA","JL. SULTAN KHAIRUN DJAMIL","Prop. Maluku","SMA","-3.7128000","128.0948000"
"60103191","SMAN 2 PP TERSELATAN","JL.MAROUW","Prop. Maluku","SMA","-8.0744212","127.1632147"
"60100340","SMAS KRISTEN 1 SAPARUA","JL. WAISISIL","Prop. Maluku","SMA","-3.5767000","128.6504000"
"60103507","SMAS KRISTEN TNS","JL. TRANA TNS","Prop. Maluku","SMA","-3.2276930","129.0510890"
