"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"50103124","SMAN 4 DENPASAR","JL.GUNUNG RINJANI DENPASAR","Prop. Bali","SMA","-8.6642580","115.1993900"
"50103149","SMAS TAMAN RAMA","JL. COKROAMINOTO NO. 382 DENPASAR","Prop. Bali","SMA","-8.6207480","115.1986700"
"50103889","SMAS TAMAN RAMA","KOMP. PERUM PURI GADING BLOK A BR. CENGILING","Prop. Bali","SMA","-8.7991000","115.1552000"
"50103672","SMAS PARIWISATA KERTA WISATA","JL. KH. DEWANTARA JASRI AMLAPURA","Prop. Bali","SMA","-8.4426000","115.6144000"
"50103725","SMAS WIRABHAKTI","DESA SAWAN","Prop. Bali","SMA","-8.1574000","115.1767000"
"50103670","SMAN 1 MANGGIS","JL. RAYA ULAKAN NO. 81 KARANGASEM","Prop. Bali","SMA","-8.4918000","115.5211000"
"50102578","SMAN 1 KINTAMANI","JL. YUDISTIRA BAYUNGGEDE","Prop. Bali","SMA","-8.2890967","115.3317617"
"50102378","SMAN 1 NUSA PENIDA","JL. PENDIDIKAN DESA PED NUSA PENIDA","Prop. Bali","SMA","-8.6771666","115.4928600"
"50104096","SMAN SATU ATAP NUSA PENIDA","DESA TANGLAD, NUSA PENIDA","Prop. Bali","SMA","-8.7721516","115.5807827"
"50101696","SMAN 1 KUTA UTARA","JL. MADE BULET NO. 19 DALUNG KUTA UTARA","Prop. Bali","SMA","-8.6189000","115.1697000"
"50100283","SMAN 2 BANJAR","JALAN BANTENG","Prop. Bali","SMA","-8.1991000","114.9674000"
"50105446","SMAS HARAPAN MULIA DENPASAR","JL. PURA DEMAK NO. 19 DENPASAR","Prop. Bali","SMA","-8.6804180","115.1933900"
"50100847","SMAS SARASWATI NEGARA","JL. GAJAH MADA","Prop. Bali","SMA","-8.3640000","114.6522000"
"50101697","SMAS NGURAH RAI","JL. RAYA KEROBOKAN","Prop. Bali","SMA","-8.6964000","115.1718000"
"50100412","SMAN 1 SERIRIT","JL. DIPONOGORO NO. 100 SERIRIT","Prop. Bali","SMA","-8.1931000","114.9270000"
"50102094","SMAN 1 TEGALLALANG","JL. I WAYAN LUNGA, TEGALLALANG","Prop. Bali","SMA","-8.4521000","115.2808000"
"50102577","SMAN 1 SUSUT","JL. PUTRA YUDHA","Prop. Bali","SMA","-8.4136683","115.3469417"
"69899778","SMA Cerdas Insan Sejahtera (CIS) Bali","Jalan Bhineka Nusa Kangin 1-X Desa Dalung,Kecamatan Kuta Utara, Kabupaten Badung","Prop. Bali","SMA","-8.6719000","115.1638000"
"50101665","SMAS BUDI UTAMA","JL. GUNUNG SANGHIYANG KEROBOKAN","Prop. Bali","SMA","-8.6943000","115.1729000"
"50102780","SMAN 1 SIDEMEN","Br. Dinas Kebon, Ds. Telagatawang, Kec. Sidemen, Kab. Karangasem, Bali","Prop. Bali","SMA","-8.4824000","115.4448000"
"50100824","SMAN 2 NEGARA","JLN. MAYOR SUGIANYAR CIVIC CENTRE","Prop. Bali","SMA","-8.3531000","114.6350000"
"50100388","SMAN 1 BANJAR","DESA BANYUATIS","Prop. Bali","SMA","-8.2641000","115.0262000"
"50100409","SMAS CANDIMAS PANCASARI","JL. DESA PANCASARI","Prop. Bali","SMA","-8.2373000","115.1403000"
"50103745","SMAN 1 BEBANDEM","JL. RAYA JUNGUTAN","Prop. Bali","SMA","-8.4414000","115.5604000"
"50102779","SMAN 2 AMLAPURA","JL. UNTUNG SURAPATI AMLAPURA","Prop. Bali","SMA","-8.4422000","115.5979000"
"50103125","SMAN 3 DENPASAR","JL. NUSA INDAH DENPASAR","Prop. Bali","SMA","-8.6507480","115.2319820"
