"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"50204727","SMAS AL HIDAYAH","JL. SOEKARNO HATTA","Prop. Nusa Tenggara Barat","SMA","-8.4891000","118.8690000"
"50219566","SMAN 1 ORONG TELU","JL. LINTAS LENANGGUAR-BATUROTOK KM. 30","Prop. Nusa Tenggara Barat","SMA","-8.7527000","117.1836000"
"50219630","SMA NW  SUKARARA","Jl. Gunung Awas No. 02 Sukarara Kec. Sakra Barat Kab. Lombok Timur","Prop. Nusa Tenggara Barat","SMA","-8.7338000","116.5176000"
"50220487","SMAS PGRI BELO","JL. LINTAS Belo - Ntonggu","Prop. Nusa Tenggara Barat","SMA","-8.5355000","118.7393000"
"50202416","SMAS YADINU MASBAGIK","JL. RINJANI MASBAGIK UTARA","Prop. Nusa Tenggara Barat","SMA","-8.6159000","116.4740000"
"50205619","SMAS PGRI BOLO","JL. PENDIDIKAN SILA BIMA","Prop. Nusa Tenggara Barat","SMA","-8.5010000","118.6192000"
"50201381","SMAS KORPRI PRAYA","JLN. WR SUPRATMAN NO. 14 PRAYA","Prop. Nusa Tenggara Barat","SMA","-8.7087980","116.2781720"
"50204728","SMAS AL MA ARIF","Jln Sukun No. 5 Karara Monggonao","Prop. Nusa Tenggara Barat","SMA","-8.4681000","118.7423000"
"50205633","SMAN 1 SURALAGA","JLN. RAYA SURALAGA - GERES","Prop. Nusa Tenggara Barat","SMA","-8.6369000","116.5584000"
"69949667","SMA ISLAM AL YAUM","Gubuk Belimbing","Prop. Nusa Tenggara Barat","SMA","-8.6050650","116.3315550"
"50204515","SMAN 5 MATARAM","JL. UDAYANA NO. 2A MATARAM","Prop. Nusa Tenggara Barat","SMA","-8.5797000","116.1027000"
"50205208","SMAS ARRAHMAN LINGKOK GODAK KOPANG","JL. NYEREDEP LINGKOK-GODAK","Prop. Nusa Tenggara Barat","SMA","-8.5857300","116.3756116"
"50219668","SMAS ISLAM TERPADU","JL. MAJAPAHIT NO 54B PUNIA MATARAM","Prop. Nusa Tenggara Barat","SMA","-8.5896220","116.0963780"
"50202396","SMAS AL HASANIYAH JENGGIK","JLN NEGARA KM. 40 MATARAM - SELONG","Prop. Nusa Tenggara Barat","SMA","-8.6380000","116.3887000"
"50205082","SMAN 2 PRINGGARATA","RARUNG","Prop. Nusa Tenggara Barat","SMA","-8.5756305","116.2755584"
"69918594","SMA IT DHIAUL FIKRI SUKARARA","Jl. Tarbiatul Fikri Dusun Elah Langgem","Prop. Nusa Tenggara Barat","SMA","-8.7158766","116.4625008"
"50205613","SMAN 2 LAMBU","JL DAM DIWU MORO SANGGA LAMBU","Prop. Nusa Tenggara Barat","SMA","-8.5924000","118.9769000"
"50205620","SMAS MAHDAR BOLO","JL. PENDIDIKAN KANANGA","Prop. Nusa Tenggara Barat","SMA","-8.5026000","118.6248000"
"50203690","SMAN 1 HUU","JL. LINTAS LAKEY","Prop. Nusa Tenggara Barat","SMA","-8.7155000","118.4546000"
"50220464","SMAN 2 WOHA","JL. BUYA HAMKA","Prop. Nusa Tenggara Barat","SMA","-8.5767000","118.6749000"
"50220298","SMAN 2 LEMBAR","JL. YOS SUDARSO LEMBAR","Prop. Nusa Tenggara Barat","SMA","-8.7059000","116.0874000"
"50204007","SMAN 1 BOLO","JL PENDIDIKAN  SILA BIMA","Prop. Nusa Tenggara Barat","SMA","-8.5031000","118.6258000"
"50228887","SMAN 2 LANGGUDU","JL. LINTAS LAMBU - LANGGUDU","Prop. Nusa Tenggara Barat","SMA","-8.6467000","118.9036000"
"50204735","SMAS SINAR JAYA","JL. W. MONGINSIDI","Prop. Nusa Tenggara Barat","SMA","-8.4263000","118.7443000"
"69883641","SMA ISLAM BAITURRAHMAN MAHMUDI BEBUAK","Desa Bebuak Kecamatan Kopang Kabupaten Lombok Tengah","Prop. Nusa Tenggara Barat","SMA","-8.6022160","116.3591220"
"50200365","SMAN 1 BAYAN","JL. RAYA TANJUNG - BAYAN","Prop. Nusa Tenggara Barat","SMA","-8.2305000","116.4182000"
"50204009","SMAN 1 SANGGAR","Jalan La Hami Sandue Sanggar","Prop. Nusa Tenggara Barat","SMA","-8.3760000","118.3108000"
"50204306","SMA NEGERI 1 JEREWEH","JALAN RAYA   LINTAS JEREWEH MALUK KM. 02","Prop. Nusa Tenggara Barat","SMA","-8.8702380","116.8172260"
"50202411","SMAN 1 PRINGGABAYA","Jalan Raya Labuhan Lombok Pringgabaya Utara","Prop. Nusa Tenggara Barat","SMA","-8.5181000","116.6475000"
"50201395","SMAN 1 BATUKLIANG UTARA","JL. PARIWISATA AIK BUKAQ TERATAK","Prop. Nusa Tenggara Barat","SMA","-8.5859784","116.3196225"
"50220573","SMAS AL ASHRIYAH","JL. PESONA GANG BANUSANUSI","Prop. Nusa Tenggara Barat","SMA","-8.5529000","116.1029000"
"69952824","SMA NEGERI 3 LANGGUDU","Karampi","Prop. Nusa Tenggara Barat","SMA","-8.6717642","118.8483430"
"50200384","SMAN 1 KEDIRI","JL. TGH. ABDUL KARIM","Prop. Nusa Tenggara Barat","SMA","-8.6408383","116.1322583"
"50205410","SMAS ISLAM ABHARIAH","JL. RENGGANIS RAYA","Prop. Nusa Tenggara Barat","SMA","-8.6278000","116.1023000"
"50202412","SMAN 1 MASBAGIK","JL. RAYA MASBAGIK SELATAN","Prop. Nusa Tenggara Barat","SMA","-8.6290000","116.4831000"
"69886273","SMA ISLAM TERPADU TGH. UMAR KELAYU","JL. TGH. Ahmad Tretetet","Prop. Nusa Tenggara Barat","SMA","-8.6488930","116.5289990"
"50203311","SMAN 1 UTAN","JL. LINTAS SUMBAWA BESAR - UTAN","Prop. Nusa Tenggara Barat","SMA","-8.4056000","117.1638000"
"50202504","SMAN 1 SIKUR","GERAMI","Prop. Nusa Tenggara Barat","SMA","-8.6027000","116.4334000"
"50203309","SMAN 1 PLAMPANG","JL. RAYA SUMBAWA BESAR - PLAMPANG KM. 61","Prop. Nusa Tenggara Barat","SMA","-8.7870000","117.7685000"
"50220372","SMAS IT UTSMAN BIN AFFAN","JL. BENDUNGAN RAHALAYU","Prop. Nusa Tenggara Barat","SMA","-8.5201000","118.4851000"
"50219588","SMAS MUHAMMADIYAH POHGADING","JLN. MUARA HARAPAN","Prop. Nusa Tenggara Barat","SMA","-8.4509000","116.6518000"
"50200385","SMAN 1 KAYANGAN","JL. Pendidikan Kayangan","Prop. Nusa Tenggara Barat","SMA","-8.2563000","116.2611000"
