"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"50309599","SMAN 1 FATULEU BARAT","Tuakau","Prop. Nusa Tenggara Timur","SMA","-9.8091000","123.6863000"
"69946205","SMA NEGERI 02 KABOLA","Kebun Kopi","Prop. Nusa Tenggara Timur","SMA","-8.1734000","124.5334000"
"50309120","SMAS FRATER DON BOSCO","JL. TRANS LEMBATA - LAMOHARA - LEWOLEBA","Prop. Nusa Tenggara Timur","SMA","-8.3617000","123.4482000"
"50302312","SMAS KATOLIK SANTA MARIA RUBIT","ROMANDURU","Prop. Nusa Tenggara Timur","SMA","-8.6946000","122.3435000"
"50309319","SMA NEGERI HAREKAKAE","JL. Jurusan Translok Harekakae","Prop. Nusa Tenggara Timur","SMA","-9.5601000","124.9237000"
"50307284","SMAS KRISTEN 1 SOE","JLN. A. KAESMETAN","Prop. Nusa Tenggara Timur","SMA","-9.8649000","124.2962000"
"69762591","SMAN PROBUR","MATARABEN","Prop. Nusa Tenggara Timur","SMA","-8.3705000","124.4162000"
"69947784","SMA Negeri 1 Kodi Balaghar","SMA Negeri 1 Kodi Balaghar","Prop. Nusa Tenggara Timur","SMA","-9.6751904","119.1145072"
"50303811","SMA KATOLIK ANDA LURI","JL. M. T. HARYONO No.21 WAINGAPU","Prop. Nusa Tenggara Timur","SMA","-9.6528483","120.2676000"
"50303442","SMAS BINA KUSUMA","JL.RANAKA   NO 53 RUTENG  KEL. CAREP","Prop. Nusa Tenggara Timur","SMA","-8.6126000","120.4804000"
"69898964","SMA KRISTEN 3 KALABAHI MEBUNG","Jl. Sibone Mebung","Prop. Nusa Tenggara Timur","SMA","-8.2078302","124.6535157"
"50302622","SMA MUHAMMADIYAH ENDE","JL. WOLOARE B","Prop. Nusa Tenggara Timur","SMA","-8.8328000","121.6404000"
"69774563","SMAS ST MAXMILIAN KOLBE","Wukir","Prop. Nusa Tenggara Timur","SMA","-8.5801750","120.8466730"
"69842627","SMA NEGERI 4 KOMODO","KENARI","Prop. Nusa Tenggara Timur","SMA","-8.6115000","119.8460000"
"69947184","SMAN 2 BAJAWA","Jl. W.J Lalamentik. Kel. Faobata","Prop. Nusa Tenggara Timur","SMA","-8.7761881","120.9838008"
"50309603","SMAN 1 MALAKA TENGAH","JL. MAROERAI - Besikama - 85763","Prop. Nusa Tenggara Timur","SMA","-9.6458000","124.9159000"
"50302308","SMA ALVAREZ PAGA","JL. ELTARI PAGA","Prop. Nusa Tenggara Timur","SMA","-8.7797000","122.0437000"
"69944240","SMA Negeri 5 Lamba Leda","Wae Rambung","Prop. Nusa Tenggara Timur","SMA","-8.4035251","120.6048741"
"50304064","SMAS SEMINARI SINAR BUANA","WAITABULA","Prop. Nusa Tenggara Timur","SMA","-9.4366000","119.2165000"
"69889079","SMA NEGERI WEBRIAMATA","WEBRIAMATA","Prop. Nusa Tenggara Timur","SMA","-9.6840000","124.8599000"
"50300270","SMA NEGERI 1 AMARASI BARAT","JL. H.R. KOROH","Prop. Nusa Tenggara Timur","SMA","-10.2888000","123.6973000"
"69899648","SMA NEGERI 1 KAHAUNGU ETI","Jl.Kamanggih - Mauramba","Prop. Nusa Tenggara Timur","SMA","-9.8924000","120.4824000"
"50306083","SMAS SINT PITER","JL.KENANGA NO.1","Prop. Nusa Tenggara Timur","SMA","-10.1858100","123.6020170"
"50309611","SMAN 1 WEWEWA UTARA","PALLA","Prop. Nusa Tenggara Timur","SMA","-9.5374000","119.3587000"
"69725270","SMAN 4 SAMBI RAMPAS","LENGKO RANA","Prop. Nusa Tenggara Timur","SMA","-8.3884000","120.7977000"
"69889073","SMAN Kabola","Kabola","Prop. Nusa Tenggara Timur","SMA","-8.1811361","124.5614671"
"50309383","SMAS BINA MANDIRI SUKABI","Jl. Susteran Wedik-Desa Kamanasa","Prop. Nusa Tenggara Timur","SMA","-9.5127000","124.8901000"
"69733989","SMAN 1 LIAE","WADUWALLA","Prop. Nusa Tenggara Timur","SMA","-10.6081000","121.8531000"
"50305399","SMA TRI DHARMA ENDE","JL. MELATI ATAS","Prop. Nusa Tenggara Timur","SMA","-8.8362000","121.6643000"
"69899650","SMA NEGERI 1 RINDI","Jl.Waingapu - Mangili","Prop. Nusa Tenggara Timur","SMA","-9.9632000","120.6646000"
"50303429","SMAN 1 LANGKE REMBONG","JL. HARIMAU  RUTENG","Prop. Nusa Tenggara Timur","SMA","-8.6105000","120.4690000"
"50302305","SMAN 1 NITA","JL. NITA-KOTING","Prop. Nusa Tenggara Timur","SMA","-8.6837000","122.1802000"
"50302623","SMA KATOLIK FRATERAN NDAO","JL. IMAM BONJOL NO. 39","Prop. Nusa Tenggara Timur","SMA","-8.8359000","121.6377000"
"50302627","SMA ADHYAKSA ENDE","JL. SAM RATULANGI","Prop. Nusa Tenggara Timur","SMA","-8.8235000","121.6667000"
"50304931","SMAN 1 KUPANG","JL. CAK DOKO NO. 59","Prop. Nusa Tenggara Timur","SMA","-10.1648980","123.5898750"
"50301897","SMA SWASTA YOHANES PAULUS II","JL. KI HAJAR DEWANTARA","Prop. Nusa Tenggara Timur","SMA","-8.3463000","122.9577000"
"50304066","SMAS KARANU WAIKABUBAK","JL.KODAKA","Prop. Nusa Tenggara Timur","SMA","-9.6354333","119.4264850"
"69947662","SMA Swasta Marapati","Pemuda, Bukambero","Prop. Nusa Tenggara Timur","SMA","-9.4330813","119.1418269"
"50304067","SMAN 1 KODI","BONDO KODI","Prop. Nusa Tenggara Timur","SMA","-9.5941000","118.9855000"
"50308594","SMAN 1 ELAR","LENGKO ELAR","Prop. Nusa Tenggara Timur","SMA","-8.5138000","120.7819000"
"50307939","SMAS ST GREGORIUS REO","REO","Prop. Nusa Tenggara Timur","SMA","-8.3542000","120.4560000"
"69864615","SMA NEGERI MAGEPANDA","MAGEPANDA","Prop. Nusa Tenggara Timur","SMA","-8.5820490","122.0641410"
"50308597","SMAN 1 POCO RANAKA","MANO","Prop. Nusa Tenggara Timur","SMA","-8.6064417","120.5406100"
"69897141","SMA Raden Adjeng Kartini","Maktihan","Prop. Nusa Tenggara Timur","SMA","-9.6525000","124.9286000"
"50307304","SMAS STELAMARIS NIKI-NIKI","JLN. RATU PENCINTA DAMAI","Prop. Nusa Tenggara Timur","SMA","-9.8069000","124.4768000"
"69768160","SMAN 6 POCO RANAKA","LONTO ULU","Prop. Nusa Tenggara Timur","SMA","-8.5405267","120.5642417"
"50310687","SMAN 4 KOTA KOMBA","MBATA","Prop. Nusa Tenggara Timur","SMA","-8.6820000","120.7225000"
"50302955","SMAN 1 MAUPONGGO","JL. HERMAN MUSA KABE","Prop. Nusa Tenggara Timur","SMA","-8.8943000","121.1507000"
"50307297","SMAN KI E","Jl. Kaes Soinbala, Kie","Prop. Nusa Tenggara Timur","SMA","-9.8468000","124.5496000"
"50305306","SMAS MUHAMMADIYAH MAUMERE","JL. JENDERAL SUDIRMAN","Prop. Nusa Tenggara Timur","SMA","-8.6499000","122.2507000"
"50309317","SMA NEGERI 2 ATAMBUA","Jln. Santa Krus","Prop. Nusa Tenggara Timur","SMA","-9.1356000","124.8658000"
"50302313","SMAS ST PETRUS KEWAPANTE","JL. RAYA KEWAPANTE","Prop. Nusa Tenggara Timur","SMA","-8.6437000","122.2959000"
"50300267","SMAN 1 TAEBENU","JL. PELITA","Prop. Nusa Tenggara Timur","SMA","-10.1951000","123.6964000"
"50303418","SMAS ST DON BOSCO","JL. SOEKARNO RUTENG","Prop. Nusa Tenggara Timur","SMA","-8.6140000","120.4529000"
"50300271","SMA NEGERI 1 AMFOANG UTARA","JL. S.C.TALNONI","Prop. Nusa Tenggara Timur","SMA","-9.4930000","123.7985000"
"69728423","SMAN INSANA BARAT","JL. Raya Mamsena","Prop. Nusa Tenggara Timur","SMA","-9.4884000","124.6048000"
"50307942","SMAN 1 RUTENG ANAM","ANAM","Prop. Nusa Tenggara Timur","SMA","-8.6272000","120.3627000"
"69864704","SMA  SWASTA ANUGERAH KASIH ","JL Prumnas-Lamahora","Prop. Nusa Tenggara Timur","SMA","-8.4070650","123.4181690"
"69895841","SMA RADA PAMBA","MATA KAPORE","Prop. Nusa Tenggara Timur","SMA","-9.6303000","119.0427000"
"50307941","SMAN 1 REOK","Loce","Prop. Nusa Tenggara Timur","SMA","-8.3843000","120.3785000"
"50307282","SMAS EFATA SOE","JLN. SUDIRMAN NO. 1","Prop. Nusa Tenggara Timur","SMA","-9.8645000","124.2789000"
"69768163","SMAN 8 BORONG","WALING","Prop. Nusa Tenggara Timur","SMA","-8.6447160","120.6395220"
"50308602","SMAN 2 KOTA KOMBA","MOK","Prop. Nusa Tenggara Timur","SMA","-8.7355000","120.7562000"
"50309375","SMAS KRISTEN ATAMBUA","JL. HBS DACOSTA","Prop. Nusa Tenggara Timur","SMA","-9.1056000","124.8927000"
"69799865","SMA NEGERI PEMANA","DESA PEMANA","Prop. Nusa Tenggara Timur","SMA","-8.3585000","122.3080000"
"69888754","SMA NEGERI 1 SOLOR SELATAN","Kalike Aimatan","Prop. Nusa Tenggara Timur","SMA","-8.4718770","123.0167720"
"69843060","SMA NEGERI BININO","Jln Sunfin Oenenu","Prop. Nusa Tenggara Timur","SMA","-9.4311000","124.4392000"
"50308982","SMAN 1 LEMBOR SELATAN","AMBA","Prop. Nusa Tenggara Timur","SMA","-8.7395670","120.1928370"
"50307416","SMAN 1 TAEKAS","MARIA FATIMAH BAEN","Prop. Nusa Tenggara Timur","SMA","-9.4146000","124.4799000"
