"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"60300593","SMAS YPPK YOHANES 23","JL. KIMAAM","Prop. Papua","SMA","-8.0893000","139.8028000"
"60303523","SMAS YPK IMANUEL AGUNG SAMOFA BIAK","JL. S.CONDRONEGORO","Prop. Papua","SMA","-1.1684000","136.0859000"
"60302459","SMAS YPPGI ENAROTALI","JL. MAMBRUK","Prop. Papua","SMA","-3.9299000","136.3787000"
"60303490","SMAS YPPK YOS SUDARSO","JL. ANGKASA","Prop. Papua","SMA","-8.1043000","139.8898000"
"60301597","SMAS YPPK SANTO THOMAS WAMENA","JL. GATOT SUBROTO WAMENA","Prop. Papua","SMA","-4.0870467","138.9452333"
"69880589","SMA NEGERI ERAGAYAM","DESA ERAGAYAM","Prop. Papua","SMA","-3.7694160","138.9283910"
"60301039","SMAN 5 JAYAPURA","JL.ANGKASAPURA BASE G","Prop. Papua","SMA","-2.7140000","140.8341000"
"60301005","SMAS KRISTEN KALAM KUDUS","ARDIPURA I NO.50","Prop. Papua","SMA","-2.5470000","140.7025000"
"60300979","SMAN 1 OKBIBAB","JL. TURKOP","Prop. Papua","SMA","-4.6659000","140.6655000"
"69877199","SMA Taruna Karya","Jl. Wisata","Prop. Papua","SMA","-3.3201550","135.5465617"
"60302983","SMA Negeri 6 Nabire","Jl. Galunggung","Prop. Papua","SMA","-3.1784653","135.7289340"
"60304063","SMAN 1 AGATS","JL. YOS SUDARSO","Prop. Papua","SMA","-5.5340000","138.1390000"
"60301008","SMAS GABUNGAN","JL. SAMUDERA NO. 24 JAYAPURA","Prop. Papua","SMA","-2.5348000","140.7250000"
"60302717","SMAN 1 KURIK","Jl. Ahmad Yani","Prop. Papua","SMA","-8.2788000","140.2890000"
"60301893","SMA Muhammadiyah Nabire","Jl. Panti Asuhan","Prop. Papua","SMA","-3.3848659","135.4910656"
"60301895","SMA Negeri 2 Nabire","Jl. Poros Bumi Mulia - Wanggar - Nabire - Papua","Prop. Papua","SMA","-3.4338767","135.4074750"
"69762700","SMAN LANDIKMA ","DESA LANDIKMA","Prop. Papua","SMA","-3.8355000","139.3460000"
"60300928","SMAN 1 SARMI","Jl. Inpres Mararena","Prop. Papua","SMA","-1.8759000","138.7526000"
"60301891","SMA Al-Madina","Jl. Perintis","Prop. Papua","SMA","-3.3917750","135.4830950"
"60302992","SMAN 1 MAKKI","JLN. WAMENA TIOM","Prop. Papua","SMA","-3.9509000","138.7476000"
"60301902","SMA YPK Tabernakel","JL. KUSUMA BANGSA","Prop. Papua","SMA","-3.3588889","135.5047222"
"60301011","SMAS YAPEN 45 ENTROP","JL.FERI.NO.4-5.ENTROP","Prop. Papua","SMA","-2.5548000","140.6317000"
"60301899","SMA Yapis Nabire","Jl. Ampera No 12","Prop. Papua","SMA","-3.3743862","135.5112287"
"69762710","SMAN 5 SENTRA PENDIDIKAN","JLN. RAYA SP. V SENTRA PENDIDIKAN","Prop. Papua","SMA","-4.5409000","136.8363000"
"60302990","SMAN 1 PIRIME","JLN. WAMENA TIOM","Prop. Papua","SMA","-4.0582000","138.6729000"
"69762701","SMAN APAHAPSILI ","DESA APAHAPSILI","Prop. Papua","SMA","-3.7791000","139.3313000"
"60301595","SMAS YPK BETLEHEM","JL. BHAYANGKARA NO. 48","Prop. Papua","SMA","-4.0965883","138.9388700"
"60301717","SMAS YPK 2 BIAK","JL. YOS SUDARSO NO. 31","Prop. Papua","SMA","-1.1903000","136.0979000"
"60300372","SMAN 2 BIAK","JL.BOSNIK RAYA BIAK","Prop. Papua","SMA","-1.1917000","136.1529000"
"60304064","SMAN 1 ATSY","JL. YONAS WADER","Prop. Papua","SMA","-5.6634000","138.7148000"
"60300175","SMAN 1 NIMBORAN","JL. ICIM POBAIM","Prop. Papua","SMA","-2.5716000","140.1896000"
"69903633","SMA NEGERI 7 URMBORIDORI","URMBORIDORI","Prop. Papua","SMA","-.7213000","135.7290000"
"60302453","SMAN 1 PANIAI","JL. WATA, Enarotali","Prop. Papua","SMA","-3.9370000","136.3876000"
"69846119","SMA YPK PENABUR SERUI","Jalan hasanuddin Serui","Prop. Papua","SMA","-1.8058350","136.2790030"
"60303259","SMA NEGERI I ASGON","JL. NAPOHOI, ECI","Prop. Papua","SMA","-6.1284000","139.1614000"
"60304199","SMAN 1 DOGIYAI","JLN. TRANS PAPUA NABIRE-ENAROTALI KM. 184","Prop. Papua","SMA","-3.9015000","135.9811000"
"60300797","SMA YPPK Adhi Luhur ","Jl. Merdeka","Prop. Papua","SMA","-3.3719444","135.5080556"
"60301625","SMA NEGERI 1 KORIDO","JL.RAYA KORIDO","Prop. Papua","SMA","-.8381000","135.6002000"
"69861087","SMA YPK TIMIKA","JL.SHOP.  GORONG-GORONG","Prop. Papua","SMA","-4.5520000","136.8962000"
"60301593","SMAN BOLAKME","POROS WAMENA TOLIKARA 48 KM","Prop. Papua","SMA","-3.8074000","139.0718000"
"60302715","SMAS YPK MERAUKE","JL. BRAWIJAYA","Prop. Papua","SMA","-8.5061000","140.4101000"
"69901832","SMA Negeri 2 Makki","Makki","Prop. Papua","SMA","-3.9438000","138.6314000"
"60302885","SMAS HMM AL FALAH TIMIKA","JL. PEMUDA - SP. I","Prop. Papua","SMA","-4.5943000","136.8683000"
"60304846","SMAN ELELIM","JL. WAMENA - TENGON ELELIM","Prop. Papua","SMA","-3.8518000","139.5177000"
"60303659","SMAN WIRINGGAMBUT","WIRUNGGAMBUT","Prop. Papua","SMA","-4.0112000","138.6814000"
"60302893","SMAS YPPK TIGA RAJA TIMIKA","JL.CENDERAWASIH","Prop. Papua","SMA","-4.5417000","136.8857000"
"69831613","SMA KRISTEN ANUGRAH DEKAI","DEKAI","Prop. Papua","SMA","-3.8257130","139.9167690"
"60304836","SMAN 2 DABRA","jln pendidikan dabra 1","Prop. Papua","SMA","-3.0714000","138.7939000"
"60301371","SMA YASUKA ANSUS","JL. Unemi ANSUS","Prop. Papua","SMA","-1.7325060","135.8092500"
"60301594","SMAS PGRI WAMENA","JL. BHAYANGKARA NO. 132 WAMENA","Prop. Papua","SMA","-4.1015417","138.9337850"
"60302181","SMA NEGERI 1 OKSIBIL","JL.YAPIMAKOT","Prop. Papua","SMA","-4.8726000","140.7754000"
"60304692","SMAN 1 KENYAM","KENYAM","Prop. Papua","SMA","-3.5843000","135.1219000"
"60300640","SMAN 3 MERAUKE","JL.KAMIZAUN MOPAH LAMA","Prop. Papua","SMA","-8.5315000","140.4189000"
"60301896","SMA Negeri 3 Nabire","Jl Padat Karya Sanoba","Prop. Papua","SMA","-3.3327783","135.5312467"
"69881035","SMA NEGERI KHUSUS OLAH RAGA","Jl. Merah Putih Buper","Prop. Papua","SMA","-2.5406670","140.6826770"
"60300181","SMA NEGERI 2 SENTANI","JL. RAYA SENTANI - DEPAPRE","Prop. Papua","SMA","-2.5045000","140.3790000"
"60300478","SMA ONATE SERUI","JLN. SOTASORE KANDO","Prop. Papua","SMA","-1.7989000","136.4329000"
"60302889","SMAN 3 TIMIKA","JL. CENDERAWASIH KOKONAO","Prop. Papua","SMA","-4.2685000","135.9283000"
"60300840","SMAS ADVENT TIMIKA","JLN. C. HEATUBUN NO. 3","Prop. Papua","SMA","-4.4877000","136.7024000"
"69893468","SMA ADVENT UREI FAISEI WAROPEN","JL.Inpres Waren","Prop. Papua","SMA","-2.3180000","136.4203000"
"60302732","SMAN 1 TANAH MERAH","JL. RAYA AMBONGGO TANAH MERAH","Prop. Papua","SMA","-6.0894500","140.3075980"
"60301004","SMAS MANDALA TRIKORA","JL. DIPONEGORO NO. 14","Prop. Papua","SMA","-2.5442000","140.6955000"
"60302279","SMAN BOKONDINI","MAIRINI","Prop. Papua","SMA","-3.4820000","138.7734000"
"60301019","SMAN 4 JAYAPURA","JL. RAYA ABEPURA ENTROP","Prop. Papua","SMA","-2.5773000","140.6909000"
"60302458","SMAN 3 PANIAI","Jln. Karel Gobai","Prop. Papua","SMA","-3.8179000","136.3661000"
"60303590","SMA PERSIAPAN KEMTUK GRESI","JL. KAMPUNG IBUT KEMTUK GRESI","Prop. Papua","SMA","-2.6009000","140.2283000"
"60304909","SMA NEGERI KOBAKMA","DESA KOBAKMA","Prop. Papua","SMA","-3.7568760","139.0052640"
"60302886","SMAN 1 MIMIKA","JL. YOS SUDARSO - SEMPAN","Prop. Papua","SMA","-4.5700000","136.8861000"
"60302991","SMAN ABENAHO","JL. WAMENA - TENGON PASVALLEY","Prop. Papua","SMA","-3.7736000","139.2702000"
"69822794","SMAS  2 YAPIS ARSO X","JL. POROS JATURAHARJA ARSO X","Prop. Papua","SMA","-3.0859000","140.4313000"
"69893731","SMA NEGERI 2 OBAA","JL.AGHAM","Prop. Papua","SMA","-6.5597000","139.4664000"
"60304204","SMAN KURULU","JLN. CENDERAWASIH NO. 08","Prop. Papua","SMA","-4.0573000","139.2193000"
"60300177","SMA YPPGI SENTANI","JL. YAHIM SENTANI","Prop. Papua","SMA","-2.5753050","140.5052070"
"60300371","SMAN 1 BIAK","JL. YAFDAS","Prop. Papua","SMA","-1.1629000","136.0661000"
"60302733","SMA YPPK PETRUS HOEBOER MINDIPTANA","OGA BAWAH","Prop. Papua","SMA","-5.8752750","140.7020580"
"60302884","SMAN 4 MIMIKA","JLN. RAYA SP. V TIMIKA","Prop. Papua","SMA","-4.5309000","136.8432000"
"60303101","SMA NEGERI 3 WARIS","JL. TRANS IRIAN KALIBOM","Prop. Papua","SMA","-3.2190000","140.7833000"
"60303261","SMA NEGERI 1 OBAA","JL. AGHAM NO. 40 KEPI","Prop. Papua","SMA","-6.5721000","139.2609000"
"60304201","SMAN 2 DOGIYAI","JLN. TOKAPO MOANEMANI","Prop. Papua","SMA","-3.5448000","136.0926000"
"60300638","SMAN 1 MUTING","JL.NDIWA KM 1","Prop. Papua","SMA","-7.5775000","138.5724000"
"60302280","SMAN KANGGIME","TRANS PUNCAK JAYA","Prop. Papua","SMA","-3.4353000","138.3405000"
"69912759","SMA NEGERI 1 BEOGA","Jalan Raya Yulokoma Beoga","Prop. Papua","SMA","-3.7880000","137.1272000"
"60301706","SMAN 3 BIAK","DESA INGGIRI","Prop. Papua","SMA","-1.1512000","136.0416000"
