"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"10703503","SMAN 11 MUKOMUKO","JLN. POROS","Prop. Bengkulu","SMA","-3.0268000","101.6409000"
"10701981","SMAN 01 LEBONG SAKTI","JL. Raya Curup-Muara Aman, Kec. Lebong Sakti","Prop. Bengkulu","SMA","-3.1362120","102.2458060"
"10702284","SMAN 1 TEBAT KARAI","JL. TERTIK 100","Prop. Bengkulu","SMA","-3.6699000","102.6118000"
"10700669","SMAN 1 REJANG LEBONG","JL. BASUKI RACHMAT NO. 1","Prop. Bengkulu","SMA","-3.4776000","102.5215000"
"10702738","SMAN 5 MUKOMUKO","JL.USHULUDIN","Prop. Bengkulu","SMA","-2.4236000","101.1689000"
"10700677","SMAS XAVERIUS CURUP","JL..D.I.PANJAITAN NO. 17","Prop. Bengkulu","SMA","-3.4632000","102.5226000"
"69947941","SMA NEGERI 7 BENGKULU TENGAH","Desa Batu Beriang","Prop. Bengkulu","SMA","-3.5447000","102.3114000"
"10701796","SMAN 3 KAUR","JL. RAYA TANJUNG IMAN","Prop. Bengkulu","SMA","-4.7042000","103.2995000"
"10702285","SMAN 1 KEPAHIANG","JL. PASAR UJUNG KEPAHIANG","Prop. Bengkulu","SMA","-3.6522000","102.5928000"
"69873537","SMAN 16 Mukomuko","Jl. Poros Sp 9","Prop. Bengkulu","SMA","-2.4572000","101.0967000"
"10703505","SMAN 13 MUKOMUKO","JLN. SYECH MUTLA","Prop. Bengkulu","SMA","-2.5733590","101.2982850"
"10703015","SMAN 1 KABAWETAN","JL. RAYA TANGSI BARU","Prop. Bengkulu","SMA","-3.6013000","102.5891000"
"69774868","SMAN 10 SELUMA","Padang Kuas","Prop. Bengkulu","SMA","-3.8719000","102.5846000"
"10700284","SMA NEGERI 01 LAIS","JALAN PEMBANGUNAN","Prop. Bengkulu","SMA","-3.5095000","102.0477000"
"10703495","SMAN 10 MUKOMUKO","JLN. TELUK BERINGIN","Prop. Bengkulu","SMA","-2.6084270","101.3116080"
"10702462","SMAS MUHAMMADIYAH 1","JL. BALI","Prop. Bengkulu","SMA","-3.7857000","102.2641000"
"10703129","SMAN 7 MUKOMUKO","JALAN JEND. AHMAD YANI","Prop. Bengkulu","SMA","-2.4520000","101.4229000"
"10702415","SMAN 2 BENGKULU","JL. MAHONI NO.14","Prop. Bengkulu","SMA","-3.7954190","102.2713590"
"10702438","SMAS PANCASILA","Jalan Rinjani","Prop. Bengkulu","SMA","-3.8081000","102.2893000"
"10703077","SMAN 01 TOPOS","JL. SUKA NEGERI","Prop. Bengkulu","SMA","-3.1420000","102.2464000"
"10703784","SMAN 3 BENGKULU TENGAH","DESA PASAR PEDATI KM.12","Prop. Bengkulu","SMA","-3.7135000","102.2465000"
"10702457","SMAS PALLAWA","JL. MANGGA V","Prop. Bengkulu","SMA","-3.8259230","102.3086970"
"10701553","SMAN 8 SELUMA","JL. RAYA TALANG KABU","Prop. Bengkulu","SMA","-4.2636000","102.7848000"
"10701554","SMAN 4 SELUMA","JL. Desa Sendawar-Pajar Bulan","Prop. Bengkulu","SMA","-4.0616000","102.8973000"
"10702737","SMAN 8 MUKOMUKO","JL. LINTAS BARAT SUMATERA","Prop. Bengkulu","SMA","-2.3719000","101.2569000"
"10700975","SMAS PGRI BENGKULU SELATAN","JL. ZAINAB BAHMADA RUSTAM","Prop. Bengkulu","SMA","-4.4622000","102.9116000"
"69766210","SMAN 10 PENTAGON KAUR","Gedung Sako II, Kec. Kaur Selatan, Kab. Kaur, 38563","Prop. Bengkulu","SMA","-4.7474000","103.3735000"
"10702876","SMAS MUHAMMADIYAH CURUP","JL. JEND. SUDIRMAN","Prop. Bengkulu","SMA","-3.4535000","102.5600000"
"10700302","SMAN 2 BENGKULU TENGAH","JL.Rindu Hati","Prop. Bengkulu","SMA","-3.7061000","102.5082000"
"10700667","SMAN 8 REJANG LEBONG","JL. DESA AIR MELES ATAS","Prop. Bengkulu","SMA","-3.4663000","102.9347000"
"10700670","SMAN 10 REJANG LEBONG","JL. Lintas PJKA Kotapadang","Prop. Bengkulu","SMA","-3.4247000","102.9758000"
"69753041","SMAN 9 KAUR","LAWANG AGUNG","Prop. Bengkulu","SMA","-4.5761000","103.2559000"
"10702412","SMAN 5 BENGKULU","JL. CENDANA NO. 20","Prop. Bengkulu","SMA","-3.7946000","102.2718000"
"10702464","SMAS HIDAYATULLAH","JL. HALMAHERA","Prop. Bengkulu","SMA","-3.8376000","102.3351000"
"10703326","SMAN 1 MUARA KEMUMU","JL. RAYA SOSOKAN TABA","Prop. Bengkulu","SMA","-3.6454000","102.6839000"
"10703504","SMAN 12 MUKOMUKO","Jl. Lintas Bengkulu - Padang","Prop. Bengkulu","SMA","-2.5229000","101.0783000"
"69879000","SMA IT IQRA","JLN. MERAWAN 21 RT.20 RW.07 KOTA BENGKULU","Prop. Bengkulu","SMA","-3.7939720","102.2857490"
"10700968","SMAN 2 BENGKULU SELATAN","JL. KOLONEL BARLIAN","Prop. Bengkulu","SMA","-4.4509000","102.9215000"
"10702981","SMA NEGERI 01 HULU PALIK","JL. RAYA SUMBEREJO","Prop. Bengkulu","SMA","-3.2607000","102.1619000"
"10702414","SMAN 3 BENGKULU","JL. RE. MARTADINATA  NO. 41","Prop. Bengkulu","SMA","-3.8452000","102.3204000"
"10701823","SMAN 4 KAUR","JL. SIMPANG TIGA PD. GUCI","Prop. Bengkulu","SMA","-4.3721000","103.3363000"
"10701559","SMAN 2 SELUMA","JLN. RAYA DESA SIMPANG TIGA PAGAR GASING","Prop. Bengkulu","SMA","-4.1801000","102.6956000"
"69734272","SMAN 6 BENGKULU TENGAH","JL. RAYA AIR SEBAKUL KODE POS.38381","Prop. Bengkulu","SMA","-3.8325000","102.3567000"
"10703075","SMAN 01 PINANG BELAPIS","JL. RAYA KETENONG","Prop. Bengkulu","SMA","-3.0216000","102.1056000"
"69949147","SMA NEGERI 14 REJANG LEBONG","Desa Lubuk Alai","Prop. Bengkulu","SMA","-3.4739904","102.8211383"
"10702408","SMAN 8 BENGKULU","JL. WR Supratman","Prop. Bengkulu","SMA","-3.7560000","102.2907000"
"10703197","SMAN 2 REJANG LEBONG","JL. A.YANI NO.443 KESAMBE BARU","Prop. Bengkulu","SMA","-3.4568000","102.7201000"
"10700685","SMAN 3 REJANG LEBONG","JL. DR.A.K GANI","Prop. Bengkulu","SMA","-3.4512000","102.9150000"
"10700972","SMAN 6 BENGKULU SELATAN","JL. RAYA KAYU KUNYIT","Prop. Bengkulu","SMA","-4.4715000","102.9378000"
"69957327","SMAN 11 LAYANAN KHUSUS","Jalan Pondok Pusaka","Prop. Bengkulu","SMA",".0000000",".0000000"
"10700967","SMAN 3 BENGKULU SELATAN","JL. JEND. AHMAD YANI","Prop. Bengkulu","SMA","-4.4445000","102.9290000"
"10700299","SMAN 1 PADANG JAYA","JALAN SEMERU NO.14","Prop. Bengkulu","SMA","-3.4404000","102.0813000"
"10700300","SMAS MUHAMMADIYAH","JLN. LETKOL SYAMSUL BAHRUN","Prop. Bengkulu","SMA","-3.4319000","102.1943000"
"10702283","SMAN 1 UJAN MAS","Jalan Raya Kelurahan Ujan Mas Kabupaten Kepahiang","Prop. Bengkulu","SMA","-3.5575000","102.5204000"
"10700887","SMAN 9 BENGKULU SELATAN","JL. RAYA KELUTUM KM. 12","Prop. Bengkulu","SMA","-4.3495000","102.8775000"
"10702984","SMAN 1 GIRI MULYA","JALAN FLAMBOYAN","Prop. Bengkulu","SMA","-2.7447000","101.7557000"
"10700687","SMAS PGRI 1 CURUP","JL.S.SUKOWATI NO. 7 CURUP","Prop. Bengkulu","SMA","-3.5073000","102.6108000"
"10702820","SMAS MUHAMMADIYAH BINTUHAN","JL. PASAR PAGI BINTUHAN","Prop. Bengkulu","SMA","-4.7077000","103.3624000"
"10701556","SMAN 1 SELUMA","JL.Bengkulu-Tais KM.61 TAIS","Prop. Bengkulu","SMA","-4.0776960","102.5804440"
