"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"60201365","SMAN 4 HALMAHERA TIMUR","DESA NUSA JAYA","Prop. Maluku Utara","SMA",".8476000","128.0060000"
"60202787","SMAS ISLAM JAILOLO","JLN. PAHLAWAN BANAU","Prop. Maluku Utara","SMA","1.0638000","127.4663000"
"69851434","SMA ISLAM MISBAHUL AULAD BACAN","DESA MARABOSE KECAMATAN BACAN","Prop. Maluku Utara","SMA","-.6277962","127.5223969"
"60202792","SMA NEGERI 2 HALMAHERA BARAT","Jl. RAYA GAM ICI","Prop. Maluku Utara","SMA","1.5066000","127.5552000"
"60202076","SMAN 10 TIDORE KEPULAUAN","JL. RAYA  MAREKU","Prop. Maluku Utara","SMA",".6886000","127.3674000"
"60203360","SMA NEGERI 27 HALMAHERA SELATAN","Jln. Tanah Gusur","Prop. Maluku Utara","SMA","-.7678000","128.2176000"
"69879001","SMA PEDULI BANGSA WOOI","DESA WOOI KECAMATAN OBI TIMUR","Prop. Maluku Utara","SMA","-1.6073800","128.0737450"
"60205559","SMAN 6 HALMAHERA TIMUR","BOKIMAAKE","Prop. Maluku Utara","SMA","1.2603000","128.2430000"
"69852840","SMAN 12 HALMAHERA TIMUR","MABA PURA","Prop. Maluku Utara","SMA",".8743560","128.2521230"
"60203440","SMAN 5 HALMAHERA TIMUR","JL. TRANS HALMAHERA","Prop. Maluku Utara","SMA",".6881000","128.2924000"
"60203677","SMA NEGERI 35 HALMAHERA SELATAN","Jl. Siswa Desa Soligi","Prop. Maluku Utara","SMA","-1.6552000","127.4233000"
"69928455","SMA PEDULI BANGSA MANATAHAN","DESA MANATAHAN KEC. OBI BARAT","Prop. Maluku Utara","SMA","-1.4201275","127.3377584"
"60203607","SMAS IT ALBINA KOTA TERNATE","JL. UNKHAIR PERUM BUKIT BINTANG KEL. KALUMATA KEC. KOTA TERNATE SELATAN","Prop. Maluku Utara","SMA",".7801000","127.3751000"
"60203361","SMA NEGERI 26 HALMAHERA SELATAN","JL. Air Bersih Pelita","Prop. Maluku Utara","SMA","-.6552000","127.2431000"
"60203630","SMAS NUSANTARA","JLN. LINTAS HALE-AKE","Prop. Maluku Utara","SMA",".9874000","127.5041000"
"60200542","SMAS ALHILAAL SANANA","JL. WAI BAU","Prop. Maluku Utara","SMA","-2.0550000","125.9747000"
"60201660","SMA NEGERI 5 HALMAHERA SELATAN","JL. BUBLO","Prop. Maluku Utara","SMA","-.3562000","127.8475000"
"60200721","SMAN 3 KOTA TERNATE","JL. PERTAMINA","Prop. Maluku Utara","SMA",".8125000","127.3842000"
"60724613","SMAS BPD TOBELO SELATAN","JL. RAYA PACA","Prop. Maluku Utara","SMA","1.5842000","127.9523000"
"60202102","SMAN 1 SULABESI TIMUR","JL. SISWA","Prop. Maluku Utara","SMA","-2.3967000","126.0579000"
"60203357","SMA NEGERI 24 HALMAHERA SELATAN","Jln. Kebun Kasbi","Prop. Maluku Utara","SMA","-.0526000","127.4088000"
"60200709","SMAS ISLAM KOTA TERNATE","JL STADION","Prop. Maluku Utara","SMA",".7860000","127.3832000"
"60201364","SMAN 3 HALMAHERA TIMUR","BICOLI","Prop. Maluku Utara","SMA",".5914000","128.5041000"
"60201924","SMAS MUHAMMADIYAH GALELA","LAHA MAJOJO","Prop. Maluku Utara","SMA","1.8268000","127.8430000"
"60201681","SMA MUHAMMADIYAH OBI","JL. KETAPANG","Prop. Maluku Utara","SMA","-1.2469000","127.6478000"
"60202296","SMAN 5 HALMAHERA TENGAH","JL.BANEMO","Prop. Maluku Utara","SMA",".3509000","128.5846000"
"60203358","SMA NEGERI 20 HALMAHERA SELATAN","Jln. Balisa","Prop. Maluku Utara","SMA","-.4625000","127.3085000"
"60202786","SMAS LPM TAHAFO","DESA TAHAFO","Prop. Maluku Utara","SMA","1.5175000","127.5763000"
"60200294","SMAN 1 PULAU MOROTAI","JL. SISWA DARUBA","Prop. Maluku Utara","SMA","2.0667000","128.3162000"
"60202466","SMAN SULABESI BARAT","JL. RAYA KABAU","Prop. Maluku Utara","SMA","-2.1900000","125.8947000"
"60201926","SMAN 4 HALMAHERA UTARA","JL. H. ADAM MALIK","Prop. Maluku Utara","SMA","1.0945220","127.7665710"
"60200950","SMAN 2 TIDORE KEPULAUAN","JL. RAYA RUM SOASIO","Prop. Maluku Utara","SMA",".6455000","127.3707000"
"60200296","SMAN 1 HALMAHERA UTARA","JL. SISWA DESA GAMSUNGI","Prop. Maluku Utara","SMA","1.7254000","128.0073000"
"69944710","SMA NEGERI 9 HALMAHERA BARAT","DESA PEOT KECAMATAN SAHU","Prop. Maluku Utara","SMA","1.1955664","127.4584772"
"60203637","SMA NEGERI 7 HALMAHERA BARAT","JALAN RAYA SIDANGOLI","Prop. Maluku Utara","SMA",".8994000","127.5141000"
"69921012","SMA NEGERI 2 TALIABU UTARA","Jl. Taman Siswa, Desa Jorjoga","Prop. Maluku Utara","SMA","-1.7683777","124.7832043"
