"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"20601867","SMAN 1 BANJARSARI","Jl. Gunung Kencana Km. 01","Prop. Banten","SMA","-6.5550000","106.0031000"
"20613825","SMA KATOLIK BHAKTI PRIMA","Jalan Beringin No.8","Prop. Banten","SMA","-6.3400000","106.7270000"
"20613519","SMAN 22 KABUPATEN TANGERANG","JL. Bumi Puspiptek Asri Sektor I","Prop. Banten","SMA","-6.3019000","106.6324000"
"20623138","SMAS SUMBER DAYA MANDIRI","JL. K.H. SAID KP. SOLOKAN","Prop. Banten","SMA","-6.1440000","106.3955000"
"20605363","SMAS PGRI 1 KOTA SERANG","JL. K.H. ABDUL FATAH HASAN 17/B SERANG","Prop. Banten","SMA","-6.1250000","106.1680000"
"20616061","SMAS PAHOA","JL. KI HAJAR DEWANTARA NO.1","Prop. Banten","SMA","-6.2381000","106.6363000"
"20603375","SMAS RUHUL BAYAN","JL. RAYA CISAUK - LEGOK, CISAUK","Prop. Banten","SMA","-6.2969000","106.6570000"
"20605358","SMAS MEDANGGILI","JL. RAYA JAKARTA KM. 10","Prop. Banten","SMA","-6.1251000","106.2361000"
"20606296","SMAS AL KHAIRIYAH 3","JL. H. ENGGUS ARJA CITANGKIL","Prop. Banten","SMA","-6.0163000","106.0403000"
"20603341","SMAS ISLAM AL-FALAH KRESEK","JL. RAYA SYEKH NAWAWI","Prop. Banten","SMA","-6.1303000","106.3815000"
"69949411","SMA NURUL ILMI DARUNNAJAH","Jl. Palka Km.05. Kp. Sindangheula","Prop. Banten","SMA","-6.1912091","106.1236465"
"20616487","SMAS AL AZKIYA","KP MUNCANG RT/RW 01/01","Prop. Banten","SMA","-6.5472000","106.2921000"
"69734160","SMAN 7 KOTA SERANG","KP LIMPAR RT 001/006","Prop. Banten","SMA","-6.1762000","106.1789000"
"20614413","SMAN 18 KABUPATEN TANGERANG","JL. RAYA PEMDA","Prop. Banten","SMA","-6.2570750","106.4875250"
"20606520","SMAS MAJAPAHIT","JL. BATAS PENINGGILAN","Prop. Banten","SMA","-6.2303000","106.7214000"
"20600466","SMAN 4 PANDEGLANG","JL. RAYA LABUAN KM. 29 - PANDEGLANG","Prop. Banten","SMA","-6.3893000","105.9152000"
"20603161","SMAS BINA BHAKTI KRONJO","JL. PENDIDIKAN NO. 1 PASILIAN","Prop. Banten","SMA","-6.0692000","106.4230000"
"20603166","SMAS DAARUL MUJTAHIDIN","JL. BUGEL PABUARAN","Prop. Banten","SMA","-6.1441000","106.5604000"
"20605348","SMAS RAUDLATUL ATHFAL","JL. KH.FAYUMI THOWIEL NO.1","Prop. Banten","SMA","-6.0796000","106.3332000"
