"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"10901411","SMAN 1 SIMPANG RIMBA","JL. BATIN TIKAL SP. RIMBA","Prop. Bangka Belitung","SMA","-2.8006000","106.0344000"
"10900631","SMAN 1 JEBUS","JL. RAYA JEBUS NO. 331","Prop. Bangka Belitung","SMA","-1.7403000","105.4542000"
"69947890","SMA NEGERI 2 PUDING BESAR","JL. RAYA DESA SAING","Prop. Bangka Belitung","SMA","-2.0294208","105.8862158"
"10901135","SMAN 3 PANGKAL PINANG","JL. MENTOK","Prop. Bangka Belitung","SMA","-2.1400770","106.0935300"
"10901371","SMAS BAHRUL ULUM","JL. MATRAS LAMA","Prop. Bangka Belitung","SMA","-1.8177000","106.0939000"
"10901559","SMA N 1 BAKAM","JL. RAYA MENTOK PK. PINANG","Prop. Bangka Belitung","SMA","-1.9517000","105.8367000"
"10901435","SMAN 1 PANGKALAN BARU","JL Green Babel","Prop. Bangka Belitung","SMA","-2.1841000","106.1554000"
"69760809","SMAN 1 PARITTIGA","DESA TELAK","Prop. Bangka Belitung","SMA","-1.6802000","105.5605000"
"10900629","SMAN 1 KELAPA","JL. RAYA KELAPA NO.03","Prop. Bangka Belitung","SMA","-1.8885000","105.6990000"
"10900236","SMAN 1 MERAWANG","JL. BARU SIMPANG SERANDANG","Prop. Bangka Belitung","SMA","-1.9665000","106.0080000"
"10900238","SMAN 1 BELINYU","JL. M. SYAFRI RACHMAN BELINYU","Prop. Bangka Belitung","SMA","-1.6494000","105.7872000"
"10900458","SMAN 2 TANJUNG PANDAN","JL. JEND. SUDIRMAN KM.7 PERAWAS TG. PANDAN","Prop. Bangka Belitung","SMA","-2.7485000","107.6924000"
"69899943","SMA NEGERI 1 PULAU BESAR","Komplek Perkantoran Kota Terpadu Mandiri Kecamatan Pulau Besar","Prop. Bangka Belitung","SMA","-2.8564600","106.1425280"
"10900449","SMAN 1 MEMBALONG","JL AHMAD YANI MEMBALONG","Prop. Bangka Belitung","SMA","-3.1212000","107.6524000"
"10900880","SMAS YPK TOBOALI BANGKA","JL. JEND. SUDIRMAN TOBOALI","Prop. Bangka Belitung","SMA","-3.0099000","106.4573000"
"10901099","SMAS PGRI","JL. KAMPUNG MELAYU No. 301","Prop. Bangka Belitung","SMA","-2.1174830","106.0982230"
"10901104","SMAN 1 PANGKAL PINANG","JL. USMAN AMBON","Prop. Bangka Belitung","SMA","-2.1250330","106.1050420"
"10900450","SMAN 1 SIJUK","JL. MANUNGGAL SIJUK","Prop. Bangka Belitung","SMA","-2.5684000","107.7706000"
"10901098","SMAS MUHAMMADIYAH","JL. KH AHMAD DAHLAN","Prop. Bangka Belitung","SMA","-2.1464450","106.0924520"
"10901465","SMAN 1 RIAU SILIP","JL. RAYA BELINYU","Prop. Bangka Belitung","SMA","-1.7353000","105.8778000"
"10900211","SMAS HARAPAN SUNGAILIAT","JL.CENDRAWASIH SUNGAILIAT","Prop. Bangka Belitung","SMA","-1.8599000","106.1109000"
