"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"40501606","SMAN 1 BONE","JL. TRANS SULAWESI PANTAI SELATAN","Prop. Gorontalo","SMA",".3157000","123.3966000"
"69899979","SMA NEGERI 2 WONOSARI","Jln.Transmigrasi","Prop. Gorontalo","SMA",".7074160","122.4208940"
"40501100","SMAS TRIDHARMA GORONTALO","JL. ARIF RAHMAN HAKIM","Prop. Gorontalo","SMA",".5621000","123.0597000"
"69880251","SMA NEGERI 10 GORONTALO UTARA","Jl. Trans Sulawesi","Prop. Gorontalo","SMA",".8633400","122.9665100"
"69787169","SMA Negeri 1 Bilato","Jln Tani","Prop. Gorontalo","SMA",".5212000","122.6422000"
"40500461","SMAS MUHAMMADIYAH BATUDAA","JL. HASANUDIN NO. 208","Prop. Gorontalo","SMA",".5633000","122.9615000"
"40500745","SMAN 1 POPAYATO","JL. TRANS SULAWESI","Prop. Gorontalo","SMA",".5077000","121.4659000"
"40500896","SMAN 1 TAPA","JL. TAPA - KABILA NO. 57 A","Prop. Gorontalo","SMA",".6030000","123.0958000"
"40501084","SMAN 2 GORONTALO","JL. RAMBUTAN","Prop. Gorontalo","SMA",".5525800","123.0339417"
"69787041","SMA Negeri 1 Tilango","Jl. Rajawadi Palapa","Prop. Gorontalo","SMA",".5566000","123.0118000"
"40500758","SMAN 1 LEMITO","JL. TRANS SULAWESI","Prop. Gorontalo","SMA",".5457000","121.5808000"
"40500454","SMA NEGERI 2 GORONTALO UTARA","JL. SUPARTO","Prop. Gorontalo","SMA",".9823000","122.4218000"
"60730229","SMA NEGERI 8 GORONTALO UTARA","Dusun ponelo 1 Desa Ponelo Kec.Ponelo kepulauan","Prop. Gorontalo","SMA",".8915000","122.8827000"
"40501680","SMAN 1 BOTUMOITO","JL. SMA","Prop. Gorontalo","SMA",".4957000","122.2940000"
"40500455","SMAN 1 TELAGA","JL. ACHMAD A. WAHAB NO. 10","Prop. Gorontalo","SMA",".5821000","123.0394000"
"69827645","SMA NEGERI 9 GORONTALO UTARA","Jl. Trans Sulawesi","Prop. Gorontalo","SMA",".9486360","122.5008870"
"40500180","SMAN 1 WONOSARI","JL.SISWA","Prop. Gorontalo","SMA",".7049000","122.4590000"
"40500452","SMA NEGERI 1 GORONTALO UTARA","JL. Moh. Thaib Mopili NO. 284","Prop. Gorontalo","SMA",".8432000","122.9131000"
"40501649","SMAN 1 RANDANGAN","DESA MOTOLUHU","Prop. Gorontalo","SMA",".5257000","121.8019000"
"69953289","SMAN 1 PULUBALA","DESA MULYONEGORO","Prop. Gorontalo","SMA",".6277110","122.6918710"
"40501855","SMAN 1 LIMBOTO BARAT","JL. ichsan Suratinoyo","Prop. Gorontalo","SMA",".6450000","122.9174000"
"40501796","SMA NEGERI 4 GORONTALO UTARA","JL. TRANS SULAWESI","Prop. Gorontalo","SMA","1.0179000","122.2054000"
"40501882","SMAS ISLAM AL-AKHYAR","JL. TRANS SULAWESI","Prop. Gorontalo","SMA",".9255000","123.0397000"
"40502189","SMAN 1 ASPARAGA","JL. PT. PG. RAJAWALI","Prop. Gorontalo","SMA",".7620000","122.4870000"
"40501083","SMAN 3 GORONTALO","JL. KI HAJAR DEWANTORO NO.43","Prop. Gorontalo","SMA",".5507200","123.0547533"
"60729084","SMA NEGERI 7 GORONTALO UTARA","Jalan Benteng Undango","Prop. Gorontalo","SMA",".8827650","122.9431650"
"40500449","SMAN 1 BILUHU","JL. BUKE PANAI","Prop. Gorontalo","SMA",".4929000","122.8488000"
"40502029","SMAN 1 BUNTULIA","JL. KAWAH","Prop. Gorontalo","SMA",".4811000","121.9293000"
"69899904","SMA NEGERI 2 TILAMUTA","Jl. By pass, Desa Lahumbo, Kecamatan Tilamuta","Prop. Gorontalo","SMA",".5550583","122.3743917"
"40500897","SMAN 1 SUWAWA","JL. PASAR MINGGU","Prop. Gorontalo","SMA",".5332000","123.1503000"
"40501794","SMA NEGERI 6 GORONTALO UTARA","JL. TRANS SULAWESI","Prop. Gorontalo","SMA",".8512000","122.7555000"
"69946940","SMA NEGERI 5 GORONTALO","Jalan Kutai","Prop. Gorontalo","SMA",".5382686","123.0803277"
"40501795","SMA NEGERI 5 GORONTALO UTARA","Jl. Kusnodanupodjo No. 116","Prop. Gorontalo","SMA",".7917660","122.9492380"
"40500451","SMAN 1 DUNGALIYO","JL. RAJA BOBIHOE","Prop. Gorontalo","SMA",".6010000","122.9020000"
