"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"11002071","SMAN 1 SINGKEP BARAT","JL. RAJA ALI HAJI","Prop. Kepulauan Riau","SMA","-.5476000","104.3839000"
"11003223","SMAN 2 MORO","JL.KEMPAS DUSUN NIUR","Prop. Kepulauan Riau","SMA",".8737700","103.7545720"
"11002813","SMAN 2 SENAYANG","JL. PASIR BUGIS","Prop. Kepulauan Riau","SMA",".0707000","104.6483000"
"11001975","SMAN 6 TANJUNG PINANG","JL. RAYA SENGGARANG KM. 23","Prop. Kepulauan Riau","SMA",".9586650","104.4436933"
"69774886","SMAS KALLISTA","KOMP. COSTA RICA, JL. ENGKU PUTRI BATAM CENTER","Prop. Kepulauan Riau","SMA","1.1175000","104.0998000"
"11002194","SMAN 10 BATAM","JL.TRANSBARELANG","Prop. Kepulauan Riau","SMA",".6609000","104.2623000"
"11002044","SMAN 1 JEMAJA","JL. PADANG MELANG","Prop. Kepulauan Riau","SMA","2.9884000","105.7152000"
"11003244","SMAS MAITREYAWIRA","JL.IR SUTAMI","Prop. Kepulauan Riau","SMA",".9109350","104.4577383"
"11002257","SMAN 2 BINTAN","JL. GESEK KM 25 KAWAL","Prop. Kepulauan Riau","SMA",".9794000","104.5836000"
"11000436","SMAN 4 TANJUNG PINANG","JL. PEMUDA","Prop. Kepulauan Riau","SMA",".9019517","104.4631167"
"11002183","SMAS ANANDA","JL. RADEN PATAH BALOI BLOK III, LUBUK BAJA","Prop. Kepulauan Riau","SMA","1.1383000","104.0129000"
"11002048","SMAN 1 SUBI","JL. PENDIDIKAN","Prop. Kepulauan Riau","SMA","2.9194000","108.8134000"
"11000223","SMAN 2 KARIMUN","JL. RAJA OESMAN","Prop. Kepulauan Riau","SMA",".9983000","103.4103000"
"11002499","SMAN 1 BUNGURAN SELATAN","CEMAGA","Prop. Kepulauan Riau","SMA","3.7869000","108.3493000"
"69920630","SMAS PUTRA PERSADA BATAM","JL. MUHAMMAD KAMPUNG MELAYU","Prop. Kepulauan Riau","SMA","1.1707668","104.1001968"
"11002195","SMAN 11 BATAM","JL. RAJA ALI,  NO. 1","Prop. Kepulauan Riau","SMA","1.1201000","103.9605000"
"69950402","SMA MONTE SIENNA","JL. YOS SUDARSO","Prop. Kepulauan Riau","SMA","1.1820989","104.0098368"
"69815387","SMAS PERMATA HARAPAN","Komp.Batu Batam Mas Blok D & E No. 1,2,3 Batam","Prop. Kepulauan Riau","SMA","1.1369000","104.0184000"
