"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"69888392","SMA YPK AITUMIERI","KAMPUNG KAIBI","Prop. Papua Barat","SMA","-3.0035060","134.3709410"
"60400346","SMAS YPK 2","JL. CENDRAWASIH REMU UTARA","Prop. Papua Barat","SMA","-.8845290","131.2887510"
"60403786","SMA NEGERI 8 RAJA AMPAT","JL. MELATI","Prop. Papua Barat","SMA","-1.0500000","131.0666000"
"60403525","SMAN ORANSBARI","JL. GUNUNG WONDIF","Prop. Papua Barat","SMA","-1.3742000","134.2135000"
"60402064","SMAS YPK IMANUEL MANOKWARI","Jl. Pasir Putih Manokwari","Prop. Papua Barat","SMA","-.8715000","134.0976000"
"69879192","SMA NEGERI KAITARO","SARA","Prop. Papua Barat","SMA","-1.9681770","133.1160680"
"60403397","SMAS YPK BETHEL AIMAS KABUPATEN SORONG","JL. OSOK","Prop. Papua Barat","SMA","-.9564517","131.3514750"
"60403663","SMAS YPPK ST ARNOLDUS YANSEN","BINTUNI","Prop. Papua Barat","SMA","-2.0835000","133.6975000"
"69879194","SMA NEGERI KAMUNDAN","Kampung Kalitami Distrik Kamundan","Prop. Papua Barat","SMA","-2.1768690","132.6818890"
"60403914","SMAN MOMIWAREN","MOMIWAREN","Prop. Papua Barat","SMA","-1.5895000","134.1141000"
"69899492","SMA NEGERI 1 FEF","JL WAREF AYIA KAMPUNG WAYO","Prop. Papua Barat","SMA","-.9415000","132.3357000"
"60401776","SMAN 1 TEMINAMBUAN","JL. BRAWIJAYA","Prop. Papua Barat","SMA","-1.4442000","132.0153000"
"60403419","SMAS YPPK ST DON BOSCO FF","JL. M.T. HARYONO FAKFAK","Prop. Papua Barat","SMA","-2.8547000","132.3533000"
"60402072","SMA NEGERI 1 AITINYO","AITINYO","Prop. Papua Barat","SMA","-1.4929000","132.2779000"
"60400132","SMAN 1 PRAFI","Jalan Pendidikan Aimasi","Prop. Papua Barat","SMA","-.8798000","133.8198000"
"60403402","SMA NEGERI 6 KABUPATEN SORONG","JL. TRIKORA","Prop. Papua Barat","SMA","-1.3962000","130.9795000"
"60402065","SMAN AMBERBAKEN","TANJUNG KABAWI","Prop. Papua Barat","SMA","-.5602000","133.1550000"
"69830662","SMA LABSCHOOL STKIP MUH. KABUPATEN SORONG","Jl. KH, Ahmad Dahlan Pulau Arar","Prop. Papua Barat","SMA","-1.0018026","131.2468466"
"60400314","SMAS PAPUA 1","JL BASUKI RAHMAT","Prop. Papua Barat","SMA","-.9137000","131.3315000"
"60401962","SMAS YPK BINTUNI","JL. RAYA BINTUNI","Prop. Papua Barat","SMA","-2.1231000","133.5522000"
"60401552","SMAS YAPIS MANOKWARI","JL. S.  CONDRONEGORO, SH","Prop. Papua Barat","SMA","-.8608000","134.0659000"
"60403921","SMA NEGERI 1 AIFAT","JL. KUMURKEK AYAWASI","Prop. Papua Barat","SMA","-1.4088000","132.4173000"
"60403712","SMAS YPPK AGUSTINUS","JL. RAJAWALI NO.43","Prop. Papua Barat","SMA","-.8846000","131.2895000"
"60403596","SMAN KARAS","KAMP. TANJUNG PURKADI","Prop. Papua Barat","SMA","-3.4731000","132.7591000"
"60401877","SMA NEGERI 2 RAJA AMPAT","JL. KI HAJAR DEWANTARA","Prop. Papua Barat","SMA","-1.8597000","129.7898000"
"60400317","SMAS ISLAM GUPPI","JL. JEND.SUDIRMAN PASAR BARU","Prop. Papua Barat","SMA","-.8846700","131.2687220"
"69900980","SMA Negeri 2","JL. UTARUM AIR MERAH KAIMANA PAPUA BARAT","Prop. Papua Barat","SMA","-3.6597000","133.6958000"
"69830661","SMA NEGERI 10 KABUPATEN SORONG","Jl. Mambruk No. 24","Prop. Papua Barat","SMA","-1.4582290","131.2447950"
"60404141","SMA NEGERI 12 RAJA AMPAT","KAMPUNG FOLLEY","Prop. Papua Barat","SMA","-1.7314000","130.3216000"
"60403661","SMAN MEYADO","Jln.Pasir Putih Meyado","Prop. Papua Barat","SMA","-1.7288000","132.7066000"
"60400108","SMAS BINA TARUNA PAPUA MASNI","JL. POROS SP - 6 , SP - 7","Prop. Papua Barat","SMA","-.7995000","133.7264000"
"60402040","SMAS MUHAMMADIYAH AL-AMIN","JL. MERPATI NO. 17","Prop. Papua Barat","SMA","-.8815000","131.2906000"
"60403581","SMA NEGERI 7 KABUPATEN SORONG","MAYAMUK","Prop. Papua Barat","SMA","-1.0601067","131.2946666"
"60404139","SMA NEGERI 10 RAJA AMPAT","KAMPUNG URBINASOPEN","Prop. Papua Barat","SMA","-.3786460","131.2484620"
"60404128","SMAS YAPIS KAIMANA","JLN. UTARUM AIR MERAH","Prop. Papua Barat","SMA","-3.6546366","133.7247800"
"60401366","SMA NEGERI 2 KABUPATEN SORONG","JL.NANGKa MALAWILI","Prop. Papua Barat","SMA","-.9566517","131.3204046"
"60401125","SMAN 2 FAKFAK","JL. LA TONDE FF","Prop. Papua Barat","SMA","-2.8769000","132.3897000"
"69799877","SMA NEGERI KOKODA","JL. TEGERAI","Prop. Papua Barat","SMA","-2.0622000","132.2691000"
"60400378","SMAN 1 SORONG","JL. D. TOBA NO.2 KOTA SORONG","Prop. Papua Barat","SMA","-.8651000","131.2540000"
"60403662","SMAN TOFOI","TOFOI","Prop. Papua Barat","SMA","-2.6047000","133.2349000"
"60403782","SMA NEGERI 4 RAJA AMPAT","KAMPUNG LILINTA","Prop. Papua Barat","SMA","-2.0481000","130.2709000"
"60401774","SMA NEGERI 1 AYAMARU","JL. MARKUS SALOSSA, KAMP. FRAMU","Prop. Papua Barat","SMA","-1.2427000","132.0676000"
"60402057","SMAS GUPPI RAJA AMPAT","KAMPUNG FAFANLAP","Prop. Papua Barat","SMA","-.2237000","130.8982000"
"60401551","SMAS YABT MANOKWARI","JL. PAHLAWAN","Prop. Papua Barat","SMA","-.8671000","134.0601000"
"69879191","SMAN Saengga","Saengga","Prop. Papua Barat","SMA","-2.6847650","133.4646000"
