"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"69894294","SMA IT WAHDAH ISLAMIYAH","JL. POROS MAJENE REA BARAT","Prop. Sulawesi Barat","SMA","-3.3795349","119.2747773"
"40605303","SMAN 1 KALUMPANG","KARAMA","Prop. Sulawesi Barat","SMA","-2.3954000","119.6457000"
"60728425","SMAN 2 KAROSSA","KAROSSA","Prop. Sulawesi Barat","SMA","-1.8365000","119.7154000"
"40601024","SMAN 1 MAMASA","JL. PENDIDIKAN NO. 277","Prop. Sulawesi Barat","SMA","-2.9441000","119.3813000"
"69950236","SMA NEGERI 1 TUBBI TARAMANU","Padang Mawalle","Prop. Sulawesi Barat","SMA","-3.2785208","119.0367555"
"40604655","SMAN 3 MAMUJU","JL. SOEKARNO HATTA NO. 165","Prop. Sulawesi Barat","SMA","-2.6928000","118.8855000"
"69953566","SMA NEGERI 3 BAMBANG","BANGA","Prop. Sulawesi Barat","SMA","-2.8893509","119.2353097"
"40602586","SMAN 3 MAJENE","JL. LETJEN HERTASNING","Prop. Sulawesi Barat","SMA","-3.5416000","118.9819000"
"40600231","SMAN 1 PANGALE","JL. POROS MAMUJU - PASANGKAYU","Prop. Sulawesi Barat","SMA","-2.2715950","119.1999430"
"40600633","SMAS YPPP WONOMULYO","JL. GATOT SUBROTO","Prop. Sulawesi Barat","SMA","-3.4139000","119.3140000"
"40604353","SMAN 1 SAMPAGA","JL. DESA BUNDE","Prop. Sulawesi Barat","SMA","-2.3531000","119.1749000"
"69947005","SMAN 1 MEHALAAN","Jl. Poros Salukonta","Prop. Sulawesi Barat","SMA","-3.0381955","119.2172686"
"40601309","SMAN 1 PAMBOANG","PAMBOANG","Prop. Sulawesi Barat","SMA","-3.4855000","118.8989000"
"40602679","SMAN 1 BAMBANG","TOMBA","Prop. Sulawesi Barat","SMA","-2.9506000","119.1862000"
"40604570","SMAN 1 BONEHAU","Pabettengan","Prop. Sulawesi Barat","SMA","-2.5012000","119.3515000"
"60728432","SMAN 1 SIMBORO","SALETTO","Prop. Sulawesi Barat","SMA","-2.7450000","118.8362000"
"69954843","SMA NEGERI MASEWE","Jl. Matari Allo","Prop. Sulawesi Barat","SMA","-3.1269950","119.4805500"
"40600230","SMAN 1 BUDONG-BUDONG","JL. PENDIDIKAN BABANA","Prop. Sulawesi Barat","SMA","-2.0854000","119.2026000"
"40604959","SMAN 1 TIKKE RAYA","JL. TRANS SULAWESI","Prop. Sulawesi Barat","SMA","-1.3398000","119.3690000"
"40601488","SMAN 1 MALUNDA","MALUNDA","Prop. Sulawesi Barat","SMA","-3.0198000","118.8610000"
"40600650","SMAN 1 POLEWALI","JL. H. ANDI DEPU NO. 116","Prop. Sulawesi Barat","SMA","-3.4160000","119.3193000"
"40600654","SMAN 3 POLEWALI","JL. KH. AGUS SALIM POLEWALI","Prop. Sulawesi Barat","SMA","-3.4050000","119.3144000"
"40600747","SMAS PPM AL IKHLAS","JL. MAJENE KM. 27 LAMPOKO","Prop. Sulawesi Barat","SMA","-3.4883000","119.1304000"
"40601055","SMAN 1 NOSU","NOSU","Prop. Sulawesi Barat","SMA","-3.1144000","119.4662000"
"40600210","SMAS BUDI MULIA","JL. VETERAN KALUKKU","Prop. Sulawesi Barat","SMA","-2.5508000","119.1196000"
"69786227","SMAN 1 LARIANG","JALAN TRANS SULAWESI","Prop. Sulawesi Barat","SMA","-1.3395000","119.3928000"
"40600227","SMAN 1 MAMUJU","JL. KUMBANG LOLLO NO. 1","Prop. Sulawesi Barat","SMA","-2.6748000","118.8894000"
"69822830","SMAN MATAKALI","JL.POROS MAKKOMBONG","Prop. Sulawesi Barat","SMA","-3.3844000","119.2811000"
"69760850","SMAN 4 POLEWALI","jl pameran pembangunan","Prop. Sulawesi Barat","SMA","-3.4026320","119.3300750"
"69899684","SMA NEGERI 1 SARJO","JL. H. Muh. Saleh","Prop. Sulawesi Barat","SMA","-.8743000","119.5501000"
"40601859","SMAN 1 SARUDU","JL. TRANS SULAWESI","Prop. Sulawesi Barat","SMA","-1.6901000","119.2879000"
"40600651","SMAN 1 TINAMBUNG","JL. Poros Majene Balanipa","Prop. Sulawesi Barat","SMA","-3.5015000","119.0369000"
"60728430","SMAN 2 BUDONG-BUDONG","LUMU","Prop. Sulawesi Barat","SMA","-2.5554000","119.4235000"
"40600224","SMAS PGRI PAPALANG","JL. POROS TOPORE","Prop. Sulawesi Barat","SMA","-2.4218000","119.1600000"
"40600649","SMAN 1 CAMPALAGIAN","JL. POROS MAJENE","Prop. Sulawesi Barat","SMA","-3.4799000","119.1456000"
"40604958","SMAN 1 DAPURANG","JL. TRANS SULAWESI","Prop. Sulawesi Barat","SMA","-1.7439000","119.3494000"
"40604354","SMAN 1 TOBADAK","TOBADAK II","Prop. Sulawesi Barat","SMA","-2.1148000","119.3585000"
"40602680","SMAS NUSA BANGSA","JL. POROS TARINDING","Prop. Sulawesi Barat","SMA","-2.6834000","119.1621000"
"40605005","SMAS DHI MAPILI","JL. MAPILLI","Prop. Sulawesi Barat","SMA","-3.4020000","119.1850000"
"40601053","SMAN 1 SUMARORONG","Jalan Pendidikan No. 27 Sumarorong","Prop. Sulawesi Barat","SMA","-3.1335000","119.3029000"
"40605304","SMAN 1 PAPALANG","JL. ANDI MAKKASAU NO. 24","Prop. Sulawesi Barat","SMA","-2.3887000","119.1743000"
"40601852","SMAN 1 BAMBALAMUTU","JL. SAWI BAMBALAMOTU","Prop. Sulawesi Barat","SMA","-1.0976000","119.4606000"
"69822829","SMAN 1 BUNTUMALANGKA","KANAN NO. 15 SALUTAMBUN","Prop. Sulawesi Barat","SMA","-2.7975000","119.2684000"
"40601193","SMAS PGRI SENDANA","TAMMERODO","Prop. Sulawesi Barat","SMA","-3.2151000","118.8395000"
"40600648","SMAN 1 ALU","JL. PENDIDIKAN","Prop. Sulawesi Barat","SMA","-3.4103000","119.3187000"
"69852839","SMA NEGERI 2 BAMBANG","Saluassing","Prop. Sulawesi Barat","SMA","-2.9258250","119.1974940"
"40601311","SMAN 2 MAJENE","JL. CHAIRIL ANWAR NO.11","Prop. Sulawesi Barat","SMA","-3.5434000","118.9813000"
"40601308","SMAN 1 MAJENE","JL. M. DJUD P NO.2","Prop. Sulawesi Barat","SMA","-3.5462000","118.9738000"
"69950235","SMA NEGERI 2 CAMPALAGIAN","Katumbangan","Prop. Sulawesi Barat","SMA","-3.4712604","119.1702799"
"69830629","SMAN 3 KALUKKU","TEBELALANG","Prop. Sulawesi Barat","SMA","-2.6473570","119.1436570"
"69899277","SMA NEGERI 1 DURIPOKU","Dusun Mata Allo","Prop. Sulawesi Barat","SMA","-1.6530670","119.4188310"
"40600652","SMAN 1 WONOMULYO","JL. GATOT SOEBROTO NO.3","Prop. Sulawesi Barat","SMA","-3.5016000","119.0370000"
"60728431","SMAN 2 BONEHAU","HINUA","Prop. Sulawesi Barat","SMA","-2.5331000","119.3104000"
"40600653","SMAN 2 POLEWALI","JL. HOS COKROAMINOTO","Prop. Sulawesi Barat","SMA","-3.4090000","119.3187000"
"69757502","SMAN 2 BUNTU MALANGKA","SODANGAN","Prop. Sulawesi Barat","SMA","-2.7891000","119.2691000"
"40600989","SMAS PERINTIS SINDAGAMANIK","SINDAGAMANIK","Prop. Sulawesi Barat","SMA","-3.0175000","119.2776000"
"69833165","SMA NEGERI 2 PASANGKAYU","PASANGKAYU","Prop. Sulawesi Barat","SMA","-1.1996000","119.3760200"
"40604671","SMAN 1 MAMBI","MAMBI","Prop. Sulawesi Barat","SMA","-2.9522000","119.1756000"
"69905126","SMA NEGERI 2 TOBADAK","Dusun Pandoang-Doang","Prop. Sulawesi Barat","SMA","-2.1276229","119.3501716"
"40601310","SMAN 1 SENDANA","JL. KEMAKMURAN NO.20 SOMBA","Prop. Sulawesi Barat","SMA","-3.3766000","118.8537000"
"69900176","SMA NEGERI 1 TAPALANG BARAT","Labuang Rano","Prop. Sulawesi Barat","SMA","-2.7988252","118.7997903"
"40604642","SMAN 1 TOMMO","TOMMO","Prop. Sulawesi Barat","SMA","-2.3159000","119.2975000"
"69950666","SMAN 1 MESSAWA","PALADAN","Prop. Sulawesi Barat","SMA","-3.2337683","119.3585635"
"69786226","SMAN 1 BAMBAIRA","JALAN TRANS SULAWESI","Prop. Sulawesi Barat","SMA","-.9762000","119.5042000"
"40604617","SMAN 1 ARALLE","ARALLE","Prop. Sulawesi Barat","SMA","-2.8821000","119.1497000"
"60728421","SMAN 3 BUDONG-BUDONG","Jalan Pendidikan","Prop. Sulawesi Barat","SMA","-2.0722000","119.3003000"
"40605623","SMAN 1 KAROSSA","JL. POROS KAROSSA PASANGKAYU","Prop. Sulawesi Barat","SMA","-1.8040000","119.3924000"
"40601054","SMAN 1 SESENA PADANG","OROBUA","Prop. Sulawesi Barat","SMA","-2.9714000","119.3921000"
"69774910","SMAN 2 TOMMO","Desa Kakullasan Tommo","Prop. Sulawesi Barat","SMA","-2.2755000","119.2141000"
"40604844","SMAS ESRI MALABO","MALABO","Prop. Sulawesi Barat","SMA","-3.0163000","119.3100000"
"40600990","SMAN 1 BALLA","BALLA","Prop. Sulawesi Barat","SMA","-3.0033000","119.3245000"
"69958933","SMA NEGERI 1 TAPANGO","Jl. KUA Desa Tapango","Prop. Sulawesi Barat","SMA",".0000000",".0000000"
"40605658","SMAN 2 TAPALANG","Taan","Prop. Sulawesi Barat","SMA","-2.8335000","118.9494000"
"69905907","SMA NEGERI 2 TOPOYO","Salopangkang","Prop. Sulawesi Barat","SMA","-1.9984516","119.4704854"
"40600228","SMAN 1 TAPALANG","JL. POROS TAPALANG - MAJENE","Prop. Sulawesi Barat","SMA","-2.6595000","118.8484000"
"40601851","SMAN 1 PASANGKAYU","JL. ANDI DEPU","Prop. Sulawesi Barat","SMA","-1.1765000","119.3609000"
"69947840","SMA NEGERI 1 RANTEBULAHAN TIMUR","Bambang Buda","Prop. Sulawesi Barat","SMA","-2.9942563","119.2224379"
"40604355","SMAN 1 TOPOYO","JL. POROS TUMBU TOPOYO","Prop. Sulawesi Barat","SMA","-2.0536500","119.2730330"
