"schoolId","schoolName","schoolAddress","province","school_level","lat","long"
"30402586","SMAS AGAPE TANJUNG SELOR","JL. SALAK","Prop. Kalimantan Utara","SMA","2.8458750","117.3712233"
"30405856","SMAN 5 MALINAU","LONG LOREH","Prop. Kalimantan Utara","SMA","3.2095000","116.4942000"
"30402827","SMAS KATOLIK HENRICUS LEVEN","JL. RAJA PANDITA","Prop. Kalimantan Utara","SMA","3.5741430","116.6060420"
"30402814","SMAN 2 NUNUKAN","JL. KOMP. PASIR PUTIH","Prop. Kalimantan Utara","SMA","4.1345000","117.6511000"
"30402830","SMAS PEMBANGUNAN","JL. AJI NATA JAYA","Prop. Kalimantan Utara","SMA","3.5898000","116.6263000"
"69830133","SMAN 11 MALINAU","JLN KOFOL RT 1 DESA LONG BERANG","Prop. Kalimantan Utara","SMA","3.7650380","116.1979960"
"69822480","SMAN 13 MALINAU","JL.SMP DESA LONG SULE KEC.KAYAN HILIR","Prop. Kalimantan Utara","SMA","1.7767000","115.3204000"
"69822474","SMAN 8 MALINAU","JLN.CIPTA UTAMA KUALA LAPANG","Prop. Kalimantan Utara","SMA","3.5327000","116.6192000"
"30402595","SMAN 1 PESO","JL. S. MOMING RT II","Prop. Kalimantan Utara","SMA","2.6990000","116.7911000"
"69947936","SMA NEGERI 16 MALINAU","Desa Tanjung Nanga RT.002","Prop. Kalimantan Utara","SMA","3.1119656","116.3932939"
"69952231","SMA INTEGRAL HIDAYATULLAH TANJUNG SELOR","Jl.Jelarai Raya","Prop. Kalimantan Utara","SMA","2.7308385","117.3965356"
"30405857","SMAN 6 MALINAU","MAHAK BARU","Prop. Kalimantan Utara","SMA","1.5050000","115.2141000"
"30407807","SMA SALIMBATU","DESA SALIMBATU","Prop. Kalimantan Utara","SMA","3.0663000","117.4008000"
"30405246","SMAN 1 NUNUKAN SELATAN","JL. R.A BESSING RT. 09","Prop. Kalimantan Utara","SMA","4.0669000","117.7320000"
"30402593","SMAN 1 TANJUNG PALAS","JL. PRAMUKA","Prop. Kalimantan Utara","SMA","2.8314717","117.3503800"
"30402807","SMA NEGERI 1 KRAYAN SELATAN","JL. PENDIDIKAN","Prop. Kalimantan Utara","SMA","3.7645000","115.7007000"
"30401682","SMAS MULAWARMAN TARAKAN","JL. SEROJA RT. 31","Prop. Kalimantan Utara","SMA","3.3161950","117.5829367"
"30402811","SMAN 1 SEBATIK","JL. DIPONEGORO","Prop. Kalimantan Utara","SMA","4.0931000","117.9114000"
"30405858","SMAN 7 MALINAU","LONG PUJUNGAN","Prop. Kalimantan Utara","SMA","2.7003000","115.6893000"
"30404556","SMAN 3 MALINAU","Jln. AJi Pentes RT III Malinau Utara","Prop. Kalimantan Utara","SMA","3.6029000","116.6236000"
"30400461","SMAS DARMA BAKTI","PELITA KANAAN","Prop. Kalimantan Utara","SMA","3.5743440","116.6120780"
"30401680","SMAS FRATER DON BOSCO","PATIMURA   RT. 18 NO. 01 TARAKAN","Prop. Kalimantan Utara","SMA","3.3071267","117.6060250"
"30402590","SMAN 1 TANJUNG PALAS BARAT","JL. BUDI UTOMO","Prop. Kalimantan Utara","SMA","2.7238000","117.1276000"
"30402812","SMAN 1 SEBUKU","JL. TRANS LUMBIS","Prop. Kalimantan Utara","SMA","4.0028000","117.0239000"
"30402813","SMA NEGERI 1 SEMBAKUNG","JALAN PENDIDIKAN","Prop. Kalimantan Utara","SMA","3.8143000","117.5219000"
"30401697","SMAN 1 TARAKAN","KH. DEWANTARA NO.18 TARAKAN","Prop. Kalimantan Utara","SMA","3.3066417","117.5863683"
"30401710","SMAN 2 TARAKAN","JL. GUNUNG KERINCI","Prop. Kalimantan Utara","SMA","3.3083417","117.6246467"
"30407353","SMA NEGERI 1 SEBATIK TENGAH","JL. SMA RT. 02 Dusun Limau","Prop. Kalimantan Utara","SMA","4.1560000","117.8224000"
"30400534","SMAN 1 NUNUKAN","JL. FATAHILLAH no. 137","Prop. Kalimantan Utara","SMA","4.1289000","117.6546000"
"30405599","SMAN 1 TANJUNG PALAS TIMUR","JL. PENDIDIKAN, RT.V","Prop. Kalimantan Utara","SMA","2.6185000","117.7995000"
"30402810","SMAN 1 LUMBIS","JL. PEMBANGUNAN","Prop. Kalimantan Utara","SMA","3.7370000","116.7501000"
"69888489","SMA MUHAMMADIYAH NUNUKAN","JL. MULAWARMAN ,RT.7 NUNUKAN TIMUR","Prop. Kalimantan Utara","SMA","3.8834092","117.5390446"
"30402588","SMAS BULUNGAN","JL. HAJI MASKUR","Prop. Kalimantan Utara","SMA","2.8418383","117.3629217"
"69822475","SMAN 9 MALINAU","Jl. Sungai Anai RT. III LONG AMPUNG","Prop. Kalimantan Utara","SMA","1.5864000","114.9208000"
"30402808","SMAS K ST GABRIEL NUNUKAN","JL. FATAHILLAH RT.10","Prop. Kalimantan Utara","SMA","4.1029000","117.6281000"
"69900137","SMA AL-ANSHAR TANJUNG SELOR","JL. SABANAR LAMA","Prop. Kalimantan Utara","SMA","2.8681733","117.3903433"
"30405634","SMAN 4 MALINAU","MENTARANG","Prop. Kalimantan Utara","SMA","3.5184000","116.5188000"
"30402589","SMAN 2 Tana Tidung","JLN. PENDIDIKAN RT II","Prop. Kalimantan Utara","SMA","3.7044000","117.7116000"
"30400533","SMAN 1 KRAYAN","JL. KAMPUNG BARU","Prop. Kalimantan Utara","SMA","3.8621000","115.7098000"
"30402829","SMAN 2 MALINAU","Jl. Tanksi Lama Rt. 1","Prop. Kalimantan Utara","SMA","1.5933000","114.9459000"
"30402809","SMAS K TERPADU KERAYAN","JL. KASMIR FORET - LONG BAWAN","Prop. Kalimantan Utara","SMA","3.8771000","115.7087000"
"30401711","SMAN 3 TARAKAN","JL. PANGERAN AJI ISKANDAR","Prop. Kalimantan Utara","SMA","3.3777408","117.5525445"
"69878019","SMA NEGERI 14 MALINAU","DESA DATA DIAN","Prop. Kalimantan Utara","SMA","2.0268810","115.5989580"
"69949854","SMA NEGERI 15 MALINAU","Desa Wisata Setulang","Prop. Kalimantan Utara","SMA","3.3061297","116.5351098"
"30401677","SMAS HANG TUAH TARAKAN","RE. MARTADINATA RT. 13 NO. 30","Prop. Kalimantan Utara","SMA","3.3081767","117.5996017"
"30405703","SMAN 1 SEKATAK","JL. POROS TRANS KALTIM","Prop. Kalimantan Utara","SMA","3.2948000","117.0702000"
"69821202","SMAN 10 MALINAU","JLN.PENDIDIKAN","Prop. Kalimantan Utara","SMA","1.4940000","115.5571000"
"30401696","SMAS PATRA DARMA","JL. HALMAHERA RT. 7 NO. 1","Prop. Kalimantan Utara","SMA","3.3087767","117.6020367"
"69799872","SMA Negeri 2 Tanjung Selor","Jl.Selimau I","Prop. Kalimantan Utara","SMA","2.8522640","117.4208313"
"30402594","SMAN 1 TANJUNG SELOR","JL. KOL. SOETADJI","Prop. Kalimantan Utara","SMA","2.8442233","117.3717183"
"30402592","SMA Negeri Terpadu Unggulan 1 Tana Tidung","JLN. PERINTIS RT. VI  RW. V","Prop. Kalimantan Utara","SMA","3.5898000","116.9089000"
"30402817","SMA TARUNA SEBATIK UTARA","JL. HJ. TIKA RT.08 DESA PANCANG","Prop. Kalimantan Utara","SMA","4.1028000","117.8189000"
"30405534","SMAS TUNAS KASIH","JL. KH. DEWANTRA RT. XII NO. 95","Prop. Kalimantan Utara","SMA","3.3068050","117.5854617"
"30402591","SMAN 1 BUNYU","JL. TANJUNG HANDASA","Prop. Kalimantan Utara","SMA","3.4675000","117.8433000"
"69821201","SMAN 12 MALINAU","Jl. Desa Long pada RT. III, Kecamatan Sungai Tubu","Prop. Kalimantan Utara","SMA","3.3822000","116.0589000"
"30402587","SMAN 1 Tana Tidung","JLN. AJI PUTRA RT.IV  KEC. SESAYAP HILIR","Prop. Kalimantan Utara","SMA","3.5181000","117.1631000"
"30400462","SMAN 1 MALINAU","TANJUNG  BELIMBING","Prop. Kalimantan Utara","SMA","3.5694000","116.6074000"
"30405705","SMAN 1 TANJUNG PALAS UTARA","JL. KEMUNING","Prop. Kalimantan Utara","SMA","3.0432000","117.2141000"
"30401681","SMAS MUHAMMADIYAH TARAKAN","LADANG III NO. 1","Prop. Kalimantan Utara","SMA","3.3094283","117.6017233"
