schoolId,schoolName,schoolAddress,province,school_level,lat,long
20100184,SMAS MUHAMMADIYAH 14 JAKARTA,JL. DANAU LIMBOTO NO. 2,Prop. D.K.I. Jakarta,SMA,-6.208,106.8082
20103424,SMAS ARENA SISWA 2,JL. KRAMAT ASEM RAYA NO. 46,Prop. D.K.I. Jakarta,SMA,-6.2035,106.8707
20101625,SMAN 16 JAKARTA,JL. BELIBIS TERUSAN NO. 16,Prop. D.K.I. Jakarta,SMA,-6.1933,106.7862
20103284,SMAN 14 JAKARTA,JL. SMA BARAT CILILITAN,Prop. D.K.I. Jakarta,SMA,-6.2563,106.8678
20101622,SMAN 2 JAKARTA,JL. GAJAH MADA NO. 175,Prop. D.K.I. Jakarta,SMA,-6.1485,106.8161
20100795,SMAN 73 JAKARTA,JL. RAYA CAKUNG CILINCING,Prop. D.K.I. Jakarta,SMA,-6.1115,106.9244
20103181,SMAS MUHAMMADIYAH 12 JAKARTA,JL. KHA DAHLAN NO. 20,Prop. D.K.I. Jakarta,SMA,-6.2088,106.863
20107400,SMAS YAPPENDA,JL. SWASEMBADA TIMUR V NO. 10,Prop. D.K.I. Jakarta,SMA,-6.1252,106.8905
20103425,SMAS ANGKASA 2 H PERDANAKUSUMA,AVIA KOMPLEK SKADRON,Prop. D.K.I. Jakarta,SMA,-6.2755,106.8883
20107275,SMAS 28 OKTOBER 1928,JL. Mampang Prapatan XI,Prop. D.K.I. Jakarta,SMA,-6.2629,106.8176
20107398,SMAS WIJAYA KUSUMA JAKARTA,JL. BANDENGAN UTARA NO. 80,Prop. D.K.I. Jakarta,SMA,-6.1359,106.8017
20103204,SMAS DIPONEGORO 2 JAKARTA,JL. KAYU TINGGI CAKUNG,Prop. D.K.I. Jakarta,SMA,-6.1798,106.9479
20107382,SMAS KRISTEN IPEKA PLUIT,JL. PLUIT TIMUR B UTARA NO. 1,Prop. D.K.I. Jakarta,SMA,-6.1211,106.7743
20107342,SMAS YMIK 2 JAKARTA,MANGGARAI UTARA VII,Prop. D.K.I. Jakarta,SMA,-6.2112,106.8522
20104438,SMAS SUMPAH PEMUDA,JL.RAYA JOGLO NO.36,Prop. D.K.I. Jakarta,SMA,-6.2204,106.7369
20177916,SMAS LENTERA INDONESIA,JL. SULTAN ISKANDAR MUDA NO. 98,Prop. D.K.I. Jakarta,SMA,-6.251,106.7763
20100603,SMAS KRISTEN YUSUF,JL. ARWANA 2/16 JEMBATAN DUA,Prop. D.K.I. Jakarta,SMA,-6.1414,106.7948
69856892,SMA NORTH JAKARTA INTERCULTURAL SCHOOL,JL. BOULEVARD BUKIT GADING RAYA,Prop. D.K.I. Jakarta,SMA,-6.158553,106.896025
20107374,SMA DARMA SATRIA PERSADA,JL. KOMPLEK TELUK INDAH BLOK Q2 NO. 2-4,Prop. D.K.I. Jakarta,SMA,-6.1392,106.774
20100183,SMAS MUHAMMADIYAH 16 JAKARTA,JL. KALIBARU BARAT NO. 52D,Prop. D.K.I. Jakarta,SMA,-6.1699,106.8465
20103238,SMAS IGN SLAMET RIYADI,JL. RAYA BOGOR KM.24,Prop. D.K.I. Jakarta,SMA,-6.3169,106.8624
20107307,SMAS ISLAM AL-KHOLIDIN JAKARTA,Jalan Wijaya I Blok O Komp Masjid Syarif Hidayatullah,Prop. D.K.I. Jakarta,SMA,-6.2471,106.8063
20100811,SMAN 41 JAKARTA,JL. LAKS. RE MARTADINATA,Prop. D.K.I. Jakarta,SMA,-6.1304,106.8525
20101327,SMAS 3 KALAM KUDUS,JL.GREEN GARDEN B4 / 1,Prop. D.K.I. Jakarta,SMA,-6.1894,106.7614
20107399,SMAS YANIIC JAKARTA,JL. TELUK SEMANGKA NO. 103,Prop. D.K.I. Jakarta,SMA,-6.1411,106.9278
20103218,SMAS BUDAYA JAKARTA,JL. DERMAGA BARU KLENDER,Prop. D.K.I. Jakarta,SMA,-6.2189,106.9067
